probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,1,-0.8710887838598138,1.1234860043681205,729.9703009597123,540.0,0.15,0.09954953079110851,0.02062819840107579,ball4_x-0.87_y+1.12_d0.15.png,1789038410.523875,-0.0003727313854799519,0.02749459239698293,-0.02062819840107579,36.61381912231445,363.2689819335937,35.59559631347656,7487,48.817887273601265,"[703.5744624014959, 584.2723387204488]",12
ball4,0,1,-0.8710887838598138,1.1234860043681205,729.9703009597123,540.0,0.3,0.2700154360231686,0.29566262258293535,ball4_x-0.87_y+1.12_d0.30.png,1789038411.8880062,-0.0021167381235230208,0.03062539640464177,-0.29566262258293535,36.61434936523437,363.2620239257812,35.4419364929199,32681,101.99355563158127,"[688.3007863896454, 605.162602123558]",12
ball4,1,1,0.46139603864232515,-0.32054217559810827,844.9851504798561,540.0,0.15,0.15172302205265709,0.05213975274634493,ball4_x+0.46_y-0.32_d0.15.png,1789038414.8160653,0.008823231024098276,-0.0040654099030303925,-0.05213975274634493,38.5042495727539,362.673126220703,35.57010650634765,22458,84.54941409563742,"[879.9918514560513, 559.3467806572269]",12
ball4,1,1,0.46139603864232515,-0.32054217559810827,844.9851504798561,540.0,0.3,0.31235452391592133,0.32278243709960747,ball4_x+0.46_y-0.32_d0.30.png,1789038416.1802468,0.019214735264892722,0.022511942973286025,-0.32278243709960747,38.50091552734375,362.6799926757812,35.42196655273437,66088,145.03952481346028,"[878.1189474639874, 568.452881007142]",12
ball4,2,1,1.7938808611444654,-1.7645703555643384,960.0,540.0,0.15,0.1825295870732795,0.07782796896574666,ball4_x+1.79_y-1.76_d0.15.png,1789038420.0844913,0.006282432391692083,0.022366810315796216,-0.07782796896574666,40.3640556335449,362.0953979492187,35.54798889160156,22102,83.87660641939527,"[1088.844810424396, 511.42629626278165]",12
ball4,2,1,1.7938808611444654,-1.7645703555643384,960.0,540.0,0.3,0.3651520778313042,0.3518809081875446,ball4_x+1.79_y-1.76_d0.30.png,1789038421.448585,0.00832673760989593,0.022403728625165976,-0.3518809081875446,40.3687744140625,362.0915222167968,35.39902877807617,63458,142.12427223191324,"[1093.960871757698, 521.8406977843613]",12
ball4,3,1,3.126365683646604,-3.208598535530567,1075.0148495201438,540.0,0.15,0.22469152634078782,0.1118275062471156,ball4_x+3.13_y-3.21_d0.15.png,1789038424.1807463,0.011537635264296497,0.016622046543215595,-0.1118275062471156,42.25267791748047,361.5126647949218,35.522159576416,11914,61.582010230209946,"[1324.6029041463823, 485.82793352358567]",12
ball4,3,1,3.126365683646604,-3.208598535530567,1075.0148495201438,540.0,0.3,0.4063533205014451,0.3611674571229145,ball4_x+3.13_y-3.21_d0.30.png,1789038425.5488963,0.017712619135892636,0.014401435896950865,-0.3611674571229145,42.25653076171875,361.5026550292968,35.37421798706054,60800,139.11592676604096,"[1350.7358059210526, 435.4636842105263]",12
ball4,4,1,4.458850506148746,-4.652626715496798,1190.0296990402878,540.0,0.15,0.2692123699277502,0.08936252750155801,ball4_x+4.46_y-4.65_d0.15.png,1789038428.2770185,0.013361913154430383,0.012260931953204768,-0.08936252750155801,44.13272094726562,360.9112243652343,35.48212814331054,10208,57.00269570962531,"[1614.7676332288402, 292.12950626959247]",12
ball4,4,1,4.458850506148746,-4.652626715496798,1190.0296990402878,540.0,0.3,0.45449295500385034,0.35350907153851663,ball4_x+4.46_y-4.65_d0.30.png,1789038429.6450894,0.01940068879624981,0.01572814763750525,-0.35350907153851663,44.13607025146484,360.9185791015625,35.35173416137695,25869,90.74336584945746,"[1580.9064903939077, 426.7186207429742]",12
