t,Fx,Fy,Fz,Tx,Ty,Tz
1788794207.589450,0.00144,-0.0031,-0.04419,-0.00017,-8e-05,0.0001
1788794207.609492,0.00053,0.00215,-0.06035,3e-05,8e-05,0.00012
1788794207.628884,-0.00155,0.00513,-0.04648,-0.00015,-1e-05,8e-05
1788794207.649010,0.00023,0.00535,-0.06168,-0.00021,-7e-05,0.00015
1788794207.669221,-0.00048,0.00304,-0.04941,-0.00018,-0.00012,0.00014
1788794207.689442,0.00076,0.00215,-0.07972,7e-05,-6e-05,0.00023
1788794207.709118,-0.0008,0.00593,-0.08831,0.00013,0.00017,0.00027
1788794207.729388,-0.00446,0.00613,-0.06787,2e-05,7e-05,0.00012
1788794207.749169,0.00239,-0.00016,-0.096,-5e-05,-0.0002,0.00041
1788794207.769218,0.00058,-0.00183,-0.09856,3e-05,-4e-05,0.00045
1788794207.789406,-0.00407,-0.00013,-0.09917,0.00017,-2e-05,0.00033
1788794207.808909,-0.00283,-0.00347,-0.08509,0.00017,4e-05,0.00012
1788794207.829529,-0.00185,-0.00021,-0.08496,5e-05,-3e-05,0.00015
1788794207.848780,-0.00225,0.00209,-0.10041,1e-05,-0.0,0.00024
1788794207.869711,-0.0035,0.00043,-0.10089,6e-05,-6e-05,0.00014
1788794207.888888,-0.00327,0.00204,-0.11411,-9e-05,-0.00011,0.00029
1788794207.909061,-1e-05,0.00377,-0.11215,4e-05,-5e-05,0.00023
1788794207.929021,0.00127,0.00263,-0.12057,5e-05,-0.00011,0.00022
1788794207.949252,-0.00321,-0.00023,-0.1143,0.00025,7e-05,2e-05
1788794207.968877,0.00048,0.0034,-0.10008,-3e-05,-0.00013,0.00014
1788794207.989118,-0.00044,0.00399,-0.09333,-9e-05,-0.00022,-2e-05
1788794208.009585,0.00101,-0.00041,-0.1285,6e-05,-0.00011,4e-05
1788794208.029517,-0.00084,-0.00046,-0.10026,0.0001,-0.00011,-0.00016
1788794208.048911,-0.00043,0.00354,-0.11438,8e-05,-6e-05,9e-05
1788794208.069045,-0.00218,0.0023,-0.12441,0.00025,1e-05,2e-05
1788794208.089484,-0.00408,0.00707,-0.1077,-1e-05,-6e-05,5e-05
1788794208.109723,0.00106,0.00027,-0.12517,7e-05,-0.00012,0.00011
1788794208.128638,0.00119,0.00216,-0.12084,0.0,-0.00012,8e-05
