sensor,width_px,height_px,seed,fz_mae,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,n_train,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,batch,seconds
medium_1mm_r1,160,90,2,0.07123659551143646,0.23985648155212402,0.928794801235199,0.03580905869603157,0.14833584427833557,891,109,1.872209906578064,0.0007198583916760981,0.0011490582255646586,0.00021307510905899107,30,64,3.1
medium_1mm_r1,160,90,3,0.10213519632816315,0.23985648155212402,0.8703832030296326,0.024587120860815048,0.14833584427833557,891,109,1.872209906578064,0.0006374846561811864,0.0005162337911315262,0.0002607962815091014,30,64,3.1
medium_1mm_r1,160,90,4,0.052257709205150604,0.23985648155212402,0.9609953165054321,0.02734548971056938,0.14833584427833557,891,109,1.872209906578064,0.001054013497196138,0.0009742743568494916,0.0002234623534604907,30,64,3.1
soft_2mm_r1,1920,1080,0,0.03885079547762871,0.3079378604888916,0.9857349991798401,0.02453574538230896,0.14290961623191833,899,101,1.9325799942016602,0.0004749177023768425,0.0007356982678174973,0.00017057554214261472,30,4,343.9
soft_2mm_r1,1920,1080,1,0.05168374627828598,0.3079378604888916,0.978744626045227,0.026579922065138817,0.14290961623191833,899,101,1.9325799942016602,0.0007271230570040643,0.0007932886946946383,0.0001812746049836278,30,4,343.0
soft_2mm_r1,1920,1080,2,0.04500820115208626,0.3079378604888916,0.9810497164726257,0.02245689369738102,0.14290961623191833,899,101,1.9325799942016602,0.0004621224943548441,0.0005157722043804824,0.00018686351540964097,30,4,342.1
soft_2mm_r1,1920,1080,3,0.09260522574186325,0.3079378604888916,0.9424567222595215,0.018381623551249504,0.14290961623191833,899,101,1.9325799942016602,0.0005835437914356589,0.0006868423661217093,0.00018080971494782716,30,4,342.2
soft_2mm_r1,1920,1080,4,0.06085209921002388,0.3079378604888916,0.9702060222625732,0.026511330157518387,0.14290961623191833,899,101,1.9325799942016602,0.000659715267829597,0.0007670259801670909,0.00017386599211022258,30,4,342.4
soft_2mm_r1,640,360,0,0.04815506190061569,0.3079378604888916,0.9813176393508911,0.020486894994974136,0.14290961623191833,899,101,1.9325799942016602,0.00047623374848626554,0.000560151063837111,0.00017760037735570222,30,44,40.0
soft_2mm_r1,640,360,1,0.045300327241420746,0.3079378604888916,0.9818594455718994,0.024190904572606087,0.14290961623191833,899,101,1.9325799942016602,0.0008328987751156092,0.0007606314611621201,0.0001676810352364555,30,44,39.3
soft_2mm_r1,640,360,2,0.03593458607792854,0.3079378604888916,0.9881451725959778,0.03335181251168251,0.14290961623191833,899,101,1.9325799942016602,0.0012390832416713238,0.0005242860061116517,0.00016446768131572753,30,44,39.4
soft_2mm_r1,640,360,3,0.04013041779398918,0.3079378604888916,0.9833871722221375,0.02282446064054966,0.14290961623191833,899,101,1.9325799942016602,0.0008467795560136437,0.0008846956770867109,0.00017072803166229278,30,44,39.2
soft_2mm_r1,640,360,4,0.043964117765426636,0.3079378604888916,0.982744574546814,0.03311894088983536,0.14290961623191833,899,101,1.9325799942016602,0.0006224274984560907,0.0009174676379188895,0.0001768694637576118,30,44,39.3
soft_2mm_r1,160,90,0,0.04649699851870537,0.3079378604888916,0.9819347262382507,0.02207997255027294,0.14290961623191833,899,101,1.9325799942016602,0.0005511962226592004,0.0005068258033134043,0.00020801456412300467,30,64,4.2
soft_2mm_r1,160,90,1,0.040684737265110016,0.3079378604888916,0.9847903251647949,0.026829421520233154,0.14290961623191833,899,101,1.9325799942016602,0.0005418744403868914,0.00045282384962774813,0.00019456913287285715,30,64,3.2
soft_2mm_r1,160,90,2,0.04593615606427193,0.3079378604888916,0.9819144010543823,0.03131197765469551,0.14290961623191833,899,101,1.9325799942016602,0.0009659599745646119,0.0011448245495557785,0.00016852027329150587,30,64,3.2
soft_2mm_r1,160,90,3,0.049507949501276016,0.3079378604888916,0.9748967289924622,0.030288701876997948,0.14290961623191833,899,101,1.9325799942016602,0.0005968281184323132,0.0011362815275788307,0.0001687634503468871,30,64,3.2
soft_2mm_r1,160,90,4,0.04029213637113571,0.3079378604888916,0.9845947027206421,0.017561912536621094,0.14290961623191833,899,101,1.9325799942016602,0.0005090875783935189,0.0004065035900566727,0.00016912072896957397,30,64,3.3
