sensor,width_px,height_px,split,seed,fx_mae,fy_mae,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds,hardness,thickness_mm,suspect_hardware
hard_3mm_r1,8,5,cycle,0,0.0830551460385322,0.0752895325422287,0.110572837293148,0.1372435241937637,0.4045059382915497,0.911552369594574,0.1019955277442932,0.1838189959526062,0.6348602175712585,0.117027148604393,0.1272935569286346,70,84,none,1,679,167,154,1.885159969329834,0.0018384644063189,0.002256290288642,0.0002019348321482,30,30,30,0.3438993630949984,0.3693547163180962,64,64,1,3.7,hard,3,False
hard_3mm_r1,8,5,cycle,1,0.1061153039336204,0.0831363350152969,0.1448986530303955,0.2129690647125244,0.4045059382915497,0.7870215773582458,0.1342677026987075,0.1838189959526062,-0.4638340473175049,0.1644113361835479,0.1902747154235839,70,84,none,1,679,167,154,1.885159969329834,0.0018834787188097,0.0027642061468213,0.0001800638274289,30,30,29,0.3065132736633031,0.3640141629887198,64,64,1,2.1,hard,3,False
hard_3mm_r1,8,5,cycle,2,0.0567668825387954,0.0661065056920051,0.1317716389894485,0.1838986575603485,0.4045059382915497,0.8411966562271118,0.0580919310450553,0.1838189959526062,0.8366492986679077,0.0905388742685318,0.1685574203729629,70,84,none,1,679,167,154,1.885159969329834,0.001546746934764,0.0013471168931573,0.0002073009090963,30,30,25,0.3936853788035959,0.3534836455019648,64,64,1,2.1,hard,3,False
hard_3mm_r2,1920,1080,cycle,0,0.0387279391288757,0.0418800488114357,0.0473020747303962,0.0616387799382209,0.2979480624198913,0.9726793766021729,0.0468408167362213,0.1721290946006775,0.8810806274414062,0.0669478327035904,0.0643973425030708,87,67,none,2,673,173,154,2.0113799571990967,0.0009467422496527,0.0008556362008675,0.0001067704361048,30,30,30,0.2338079915535574,0.252841005952372,64,4,16,251.5,hard,3,False
hard_3mm_r2,1920,1080,cycle,1,0.0265004634857177,0.0515151880681514,0.049094520509243,0.0639520287513732,0.2979480624198913,0.9705902934074402,0.05225745216012,0.1721290946006775,0.899673342704773,0.0452183000743389,0.0606611371040344,87,67,none,2,673,173,154,2.0113799571990967,0.0011262923944741,0.0006160304765217,0.0001174080898636,30,30,30,0.1461429418151835,0.2508705900928188,64,4,16,250.5,hard,3,False
hard_3mm_r2,1920,1080,cycle,2,0.0270710214972496,0.0297011025249958,0.0582635812461376,0.0727728903293609,0.2979480624198913,0.9619178175926208,0.03645746037364,0.1721290946006775,0.9443880915641784,0.0442298650741577,0.0637483745813369,87,67,none,2,673,173,154,2.0113799571990967,0.0009977074805647,0.0006446372717618,0.0001052341394824,30,30,28,0.2096886609585465,0.2357356708518342,64,4,16,249.4,hard,3,False
hard_3mm_r2,1280,720,cycle,0,0.0497626028954982,0.0459719337522983,0.0490000694990158,0.0649856179952621,0.2979480624198913,0.9696319699287416,0.0430959276854991,0.1721290946006775,0.9279081225395204,0.0553895942866802,0.0633739680051803,87,67,none,2,673,173,154,2.0113799571990967,0.0008961933781392,0.000732684507966,0.0001151473115896,30,30,30,0.1606345592512241,0.2511675612774887,64,11,6,111.3,hard,3,False
hard_3mm_r2,1280,720,cycle,1,0.0270930547267198,0.0323418751358985,0.0518875122070312,0.0652450025081634,0.2979480624198913,0.969389021396637,0.0320679619908332,0.1721290946006775,0.958588480949402,0.0280088037252426,0.0697797909379005,87,67,none,2,673,173,154,2.0113799571990967,0.000714557012543,0.0006444590399041,0.0001122754110838,30,30,20,0.2206237790843175,0.2245220049268248,64,11,6,110.6,hard,3,False
hard_3mm_r2,1280,720,cycle,2,0.0296416040509939,0.0327464714646339,0.0485998876392841,0.0649491995573043,0.2979480624198913,0.9696660041809082,0.0307180732488632,0.1721290946006775,0.9581857323646544,0.0386067181825637,0.0685581490397453,87,67,none,2,673,173,154,2.0113799571990967,0.0007412618724629,0.0006454417598433,0.0001145245187217,30,30,25,0.1926146132807852,0.2410853715301249,64,11,6,110.3,hard,3,False
hard_3mm_r2,854,480,cycle,0,0.0216938033699989,0.0327098667621612,0.0507096610963344,0.0633373260498046,0.2979480624198913,0.9711529016494752,0.0311746504157781,0.1721290946006775,0.9575008153915404,0.0399026609957218,0.0614328235387802,87,67,none,2,673,173,154,2.0113799571990967,0.0008059625979512,0.0007682168507017,0.0001046622855938,30,30,30,0.1481285775398605,0.2221814669625607,64,24,3,51.9,hard,3,False
