sensor,axis,width_px,median,min,max,suspect_hardware
soft_3mm_r1,Fz,32,0.0652498304843902,0.0562231577932834,0.071214310824871,False
soft_3mm_r1,Fz,48,0.057066049426794,0.0558112002909183,0.063168853521347,False
soft_3mm_r1,Fz,80,0.0571331344544887,0.0565236210823059,0.0662252455949783,False
soft_3mm_r1,Fz,160,0.0672488734126091,0.0643370226025581,0.0881430730223655,False
soft_3mm_r1,Fz,320,0.0723726600408554,0.0705145299434661,0.09615408629179,False
soft_3mm_r1,Fz,426,0.0644802302122116,0.0620657615363597,0.0706223025918006,False
soft_3mm_r1,Fz,640,0.0728062614798545,0.0698300078511238,0.0937770903110504,False
soft_3mm_r1,Fz,854,0.0645065680146217,0.0580663420259952,0.0695786550641059,False
soft_3mm_r1,Fz,1280,0.0608789101243019,0.0606369711458683,0.0710896253585815,False
soft_3mm_r1,Fz,1920,0.0604847073554992,0.0567003414034843,0.0684316381812095,False
soft_3mm_r2,Fx,8,0.0458664186298847,0.0366117842495441,0.0815751403570175,False
soft_3mm_r2,Fx,16,0.0315992124378681,0.0245794802904129,0.0319573916494846,False
soft_3mm_r2,Fx,32,0.0268211849033832,0.0219291467219591,0.0310462974011898,False
soft_3mm_r2,Fx,48,0.0228869933634996,0.0215158015489578,0.0232170298695564,False
soft_3mm_r2,Fx,80,0.0241637211292982,0.0208042096346616,0.0246930867433547,False
soft_3mm_r2,Fx,160,0.0288428347557783,0.0280799251049757,0.0725481957197189,False
soft_3mm_r2,Fx,320,0.0440953262150287,0.0341821201145648,0.0483245626091957,False
soft_3mm_r2,Fx,426,0.0257356818765401,0.0244781784713268,0.0272296257317066,False
soft_3mm_r2,Fx,640,0.0346029251813888,0.0265360679477453,0.036705907434225,False
soft_3mm_r2,Fx,854,0.0295822750777006,0.0219660345464944,0.0354755260050296,False
soft_3mm_r2,Fx,1280,0.0367990769445896,0.0238958448171615,0.0400810874998569,False
soft_3mm_r2,Fx,1920,0.0373218804597854,0.0323393121361732,0.0414927192032337,False
soft_3mm_r2,Fy,8,0.0819639265537262,0.0706909969449043,0.0859341993927955,False
soft_3mm_r2,Fy,16,0.0594435036182403,0.0579036995768547,0.060218121856451,False
soft_3mm_r2,Fy,32,0.0467617250978946,0.0432512573897838,0.0511283762753009,False
soft_3mm_r2,Fy,48,0.0453123897314071,0.0429097041487693,0.0488852635025978,False
soft_3mm_r2,Fy,80,0.0445436649024486,0.0397260673344135,0.0527649037539958,False
soft_3mm_r2,Fy,160,0.0381398163735866,0.0358546674251556,0.0637058094143867,False
soft_3mm_r2,Fy,320,0.0444558225572109,0.0374467521905899,0.0496631078422069,False
soft_3mm_r2,Fy,426,0.0352137386798858,0.0346367470920085,0.0429534651339054,False
soft_3mm_r2,Fy,640,0.0383090078830719,0.0323933884501457,0.0418326333165168,False
soft_3mm_r2,Fy,854,0.0417430363595485,0.0397475324571132,0.045561034232378,False
soft_3mm_r2,Fy,1280,0.0444029979407787,0.0433341450989246,0.0572661980986595,False
soft_3mm_r2,Fy,1920,0.0576913394033908,0.0517705120146274,0.0856216549873352,False
soft_3mm_r2,Fz,8,0.1020299866795539,0.0875723361968994,0.1567927896976471,False
soft_3mm_r2,Fz,16,0.071091391146183,0.0639014840126037,0.078847199678421,False
soft_3mm_r2,Fz,32,0.0675810277462005,0.0608628205955028,0.0784160941839218,False
soft_3mm_r2,Fz,48,0.0584181025624275,0.0519155152142047,0.0601058676838874,False
soft_3mm_r2,Fz,80,0.0491091050207614,0.045803278684616,0.056478451937437,False
soft_3mm_r2,Fz,160,0.0579462014138698,0.0561804547905921,0.0840169787406921,False
soft_3mm_r2,Fz,320,0.0545559152960777,0.0490158312022686,0.0638146251440048,False
soft_3mm_r2,Fz,426,0.0520160868763923,0.050901360809803,0.0552251823246479,False
soft_3mm_r2,Fz,640,0.0629531890153884,0.0538349263370037,0.0701629742980003,False
soft_3mm_r2,Fz,854,0.0525937043130397,0.0511037074029445,0.0638034269213676,False
soft_3mm_r2,Fz,1280,0.0624034442007541,0.0408538505434989,0.0684181004762649,False
soft_3mm_r2,Fz,1920,0.0561446510255336,0.0513194575905799,0.0833401158452034,False
medium_1mm_r1,Fx,8,0.0335615426301956,0.033524565398693,0.0336595401167869,False
medium_1mm_r1,Fx,16,0.0252140630036592,0.021827483549714,0.041921030730009,False
medium_1mm_r1,Fx,32,0.0190164092928171,0.0180870275944471,0.0191635806113481,False
medium_1mm_r1,Fx,48,0.0163375344127416,0.0161822494119405,0.0195967722684144,False
medium_1mm_r1,Fx,80,0.0217437278479337,0.0197557248175144,0.0378902815282344,False
medium_1mm_r1,Fx,160,0.0378977246582508,0.026456469669938,0.0432055965065956,False
medium_1mm_r1,Fx,320,0.0322267226874828,0.0229582656174898,0.0336052253842353,False
medium_1mm_r1,Fx,426,0.0254041999578475,0.0239105410873889,0.0381298996508121,False
medium_1mm_r1,Fx,640,0.0366961769759655,0.0308713968843221,0.0371899344027042,False
medium_1mm_r1,Fx,854,0.022912411019206,0.0203439127653837,0.0273312237113714,False
medium_1mm_r1,Fx,1280,0.0263573415577411,0.0250026937574148,0.0333379730582237,False
medium_1mm_r1,Fx,1920,0.023695271462202,0.0215040240436792,0.0409810096025466,False
medium_1mm_r1,Fy,8,0.0345264486968517,0.026610167697072,0.048254620283842,False
medium_1mm_r1,Fy,16,0.0262308809906244,0.0243912693113088,0.0283697806298732,False
medium_1mm_r1,Fy,32,0.0174040924757719,0.0171544458717107,0.0186891034245491,False
medium_1mm_r1,Fy,48,0.0162208955734968,0.0150660574436187,0.0170471463352441,False
medium_1mm_r1,Fy,80,0.0197130646556615,0.0175387803465127,0.0216934960335493,False
medium_1mm_r1,Fy,160,0.0247053690254688,0.0240843743085861,0.0254477374255657,False
medium_1mm_r1,Fy,320,0.021671637892723,0.0173511300235986,0.0286119170486927,False
medium_1mm_r1,Fy,426,0.0210470110177993,0.0188776645809412,0.021916214376688,False
medium_1mm_r1,Fy,640,0.0195825137197971,0.01914057508111,0.0208368357270956,False
medium_1mm_r1,Fy,854,0.0271986406296491,0.0217518098652362,0.0417349115014076,False
medium_1mm_r1,Fy,1280,0.0206276215612888,0.0191602185368537,0.0282474439591169,False
medium_1mm_r1,Fy,1920,0.0254686456173658,0.0215422268956899,0.0279282946139574,False
