sensor,probe,width_px,mae_mm
hard_3mm_r2,cyl4,8,0.235585271282674
hard_3mm_r2,cyl4,16,0.235585271282674
hard_3mm_r2,cyl4,32,0.15545709514486905
hard_3mm_r2,cyl4,48,0.050771749480248624
hard_3mm_r2,cyl4,80,0.0419005843760383
hard_3mm_r2,cyl4,160,0.0419163851948392
hard_3mm_r2,cyl4,320,0.043269746838690025
hard_3mm_r2,cyl4,426,0.04399182171988603
hard_3mm_r2,cyl4,640,0.04529467401522512
hard_3mm_r2,cyl4,854,0.0461346161501419
hard_3mm_r2,cyl4,1280,0.046206247894645905
hard_3mm_r2,cyl4,1920,0.046281646838964206
hard_3mm_r2,cube4,8,0.18351987327742356
hard_3mm_r2,cube4,16,0.18351987327742356
hard_3mm_r2,cube4,32,0.18351987327742356
hard_3mm_r2,cube4,48,0.11052002460368254
hard_3mm_r2,cube4,80,0.07043952942498304
hard_3mm_r2,cube4,160,0.066962097591239
hard_3mm_r2,cube4,320,0.0679788298965273
hard_3mm_r2,cube4,426,0.06807446554906943
hard_3mm_r2,cube4,640,0.06905192460226796
hard_3mm_r2,cube4,854,0.06912688737718044
hard_3mm_r2,cube4,1280,0.06868390565720978
hard_3mm_r2,cube4,1920,0.06710229268280447
