t,Fx,Fy,Fz,Tx,Ty,Tz
1788453665.413119,0.00551,-0.00177,-0.05053,0.00016,2e-05,0.00015
1788453665.433286,0.00461,0.0001,-0.03701,0.00021,1e-05,7e-05
1788453665.452377,0.0111,-0.00404,-0.04033,-0.00016,-0.00023,0.00021
1788453665.472757,0.00369,-0.00671,-0.05025,9e-05,-0.00018,0.0001
1788453665.492924,0.0009,-0.0016,-0.05747,0.0004,6e-05,-6e-05
1788453665.513059,0.00299,-0.00061,-0.02728,6e-05,-0.00011,-0.00014
1788453665.533260,0.00774,-0.00198,-0.04777,0.0002,-6e-05,0.00014
1788453665.552479,0.00441,-0.00257,-0.06794,0.00021,0.00015,0.00026
1788453665.572853,0.00471,-0.00517,-0.06785,8e-05,-0.0001,0.00031
1788453665.593039,0.00616,0.00093,-0.0481,0.00016,-1e-05,0.00011
1788453665.612313,0.0035,-0.00051,-0.05716,0.00033,9e-05,0.00021
1788453665.632523,0.00467,-0.00206,-0.05067,7e-05,4e-05,0.00026
1788453665.653017,0.0054,0.00239,-0.05202,0.00016,-0.00012,2e-05
1788453665.672497,0.00202,-0.01184,-0.07144,7e-05,-0.00028,0.00025
1788453665.693137,0.00216,-0.01227,-0.09278,0.00029,-0.00018,8e-05
1788453665.713481,0.00665,-0.00917,-0.09877,2e-05,-0.00012,0.00026
1788453665.732742,0.00167,0.00031,-0.08131,0.0002,3e-05,2e-05
1788453665.752912,0.00011,-0.00741,-0.08394,0.00011,-0.00012,0.0002
1788453665.773345,0.00512,-0.00507,-0.09008,0.00024,-0.00011,7e-05
1788453665.792953,0.00836,-0.00778,-0.09499,3e-05,-8e-05,0.00011
1788453665.813232,0.00388,-0.00071,-0.08672,-0.0,-0.00015,0.00021
1788453665.832542,0.0078,-0.00821,-0.08522,5e-05,-0.00014,0.00024
1788453665.852943,0.00273,-0.00792,-0.07886,4e-05,-9e-05,0.0002
1788453665.872346,0.00539,-0.00061,-0.08854,0.00012,-0.00014,0.00024
1788453665.893031,0.00546,0.0006,-0.06374,2e-05,-0.00012,8e-05
1788453665.912258,0.00239,-0.00773,-0.09167,0.00031,9e-05,0.00022
1788453665.932658,0.0031,-0.00587,-0.09268,0.00015,-5e-05,0.00023
1788453665.952935,0.00281,-0.00378,-0.07204,0.00015,-8e-05,0.00012
1788453665.973329,0.00827,-0.0042,-0.10053,0.0001,-0.0002,0.00027
1788453665.992508,0.00247,-0.00165,-0.06628,-3e-05,-0.00015,0.00014
1788453666.012877,-0.00494,0.00059,-0.08417,9e-05,-0.00012,7e-05
1788453666.033194,0.00501,-0.00423,-0.08027,-0.00011,-0.00015,0.00027
1788453666.053010,0.00803,-0.00251,-0.09535,0.00022,-2e-05,0.00028
1788453666.073233,0.00339,-0.007,-0.08944,4e-05,-0.00024,0.00035
1788453666.092506,0.00591,-0.00079,-0.10325,0.00017,-1e-05,0.0003
1788453666.113017,0.00167,-0.00334,-0.08635,4e-05,-6e-05,0.00027
1788453666.132248,0.00815,-0.00905,-0.10631,0.00043,8e-05,0.00029
1788453666.152795,0.00212,-0.00451,-0.11295,0.00043,0.00022,0.00031
1788453666.173069,0.00751,-0.00327,-0.09482,9e-05,-0.00012,0.0002
1788453666.193363,0.00661,-0.00277,-0.09964,0.00018,-4e-05,0.0003
1788453666.212579,0.00509,0.00244,-0.07921,0.00026,8e-05,0.00013
1788453666.233017,0.00057,-0.00287,-0.06967,-0.0,-0.00019,0.0002
1788453666.252363,0.00276,-0.00622,-0.08221,-1e-05,-0.00017,0.00018
1788453666.272788,0.00221,0.00395,-0.07886,6e-05,-9e-05,9e-05
1788453666.293031,0.00588,-0.0094,-0.06163,-2e-05,-0.00011,9e-05
1788453666.312417,0.00103,-0.00184,-0.0791,0.00045,-2e-05,-6e-05
1788453666.333154,0.00745,-0.00992,-0.09385,0.00025,0.00013,0.00027
1788453666.352917,0.01006,-0.00583,-0.07261,0.00018,2e-05,7e-05
1788453666.373124,0.00428,-0.00637,-0.08503,0.00019,-6e-05,7e-05
1788453666.392244,0.00419,-0.00153,-0.08996,0.00044,0.00018,0.0001
1788453666.412841,0.00708,-0.00511,-0.05564,-4e-05,-0.0001,1e-05
1788453666.433204,0.00465,-0.00532,-0.07052,7e-05,-0.0,0.00017
1788453666.452414,0.00875,-0.0057,-0.09574,0.00012,-0.00012,0.00028
1788453666.473032,-0.00031,-0.0013,-0.09288,5e-05,7e-05,0.00039
1788453666.493665,0.00853,-0.00389,-0.07726,9e-05,-2e-05,0.00017
1788453666.512703,0.00133,0.00258,-0.07627,9e-05,-0.00015,0.00019
1788453666.532894,0.00963,-0.0044,-0.06023,-0.00012,-0.00018,9e-05
1788453666.553157,0.00176,-0.00176,-0.07083,-1e-05,-0.00013,0.00016
1788453666.573323,0.0071,-0.00151,-0.10821,0.0003,3e-05,0.00029
1788453666.592421,0.00665,-0.00652,-0.10823,0.00022,0.00011,0.0003
1788453666.612458,0.0104,0.00136,-0.06922,-0.00014,-0.00014,0.00012
1788453666.632533,0.00809,0.00239,-0.09091,0.00024,4e-05,0.00025
1788453666.652494,0.00614,-0.00449,-0.06857,0.0,-0.00014,8e-05
1788453666.672549,0.00891,-0.00273,-0.07444,0.00015,0.00013,0.0002
1788453666.692699,0.0059,0.00195,-0.09597,0.0002,-8e-05,0.00022
