sensor,probe,width_px,mae_mm
medium_3mm_r1,cube4,80,0.1099886604549465
medium_3mm_r1,cube4,160,0.1028626491922596
medium_3mm_r1,cube4,320,0.0930317459303596
medium_3mm_r1,cube4,426,0.0880527653696117
medium_3mm_r1,cube4,640,0.0972192270956414
medium_3mm_r1,cube4,854,0.0993724157067118
medium_3mm_r1,cube4,1280,0.1113612480115868
medium_3mm_r1,cube4,1920,0.1311076627077637
medium_3mm_r2,cyl4,16,0.5406742917543398
medium_3mm_r2,cyl4,32,0.2401636024097722
medium_3mm_r2,cyl4,48,0.0722625310391929
medium_3mm_r2,cyl4,80,0.0623949344011095
medium_3mm_r2,cyl4,160,0.0739074407038459
medium_3mm_r2,cyl4,320,0.0726492646120979
medium_3mm_r2,cyl4,426,0.069084023065955
medium_3mm_r2,cyl4,640,0.0624405092145698
medium_3mm_r2,cyl4,854,0.058644975902913
medium_3mm_r2,cyl4,1280,0.0528121027603817
medium_3mm_r2,cyl4,1920,0.0409864924735643
medium_3mm_r2,cube4,16,0.4933191380865474
medium_3mm_r2,cube4,32,0.1742940282540619
medium_3mm_r2,cube4,48,0.0513899565040632
medium_3mm_r2,cube4,80,0.0820652574062344
medium_3mm_r2,cube4,160,0.0942301751807329
medium_3mm_r2,cube4,320,0.0904415813346701
medium_3mm_r2,cube4,426,0.0861788005640106
medium_3mm_r2,cube4,640,0.0806881783912576
medium_3mm_r2,cube4,854,0.0729948128645616
medium_3mm_r2,cube4,1280,0.0632961322625475
medium_3mm_r2,cube4,1920,0.0489344792424386
hard_1mm_r1,cyl4,8,0.5096259926410522
hard_1mm_r1,cyl4,16,0.2842552519678578
hard_1mm_r1,cyl4,32,0.179734506295417
hard_1mm_r1,cyl4,48,0.0734224472677051
hard_1mm_r1,cyl4,80,0.0492520110945303
hard_1mm_r1,cyl4,160,0.0580744989469015
hard_1mm_r1,cyl4,320,0.0461265582330057
hard_1mm_r1,cyl4,426,0.0411175962281503
hard_1mm_r1,cyl4,640,0.0304094110880082
hard_1mm_r1,cyl4,854,0.0262748283267827
hard_1mm_r1,cyl4,1280,0.0215148613936544
hard_1mm_r1,cyl4,1920,0.0277543396006877
hard_1mm_r1,cube4,8,0.5143516367805466
hard_1mm_r1,cube4,16,0.2873583524371152
hard_1mm_r1,cube4,32,0.2174899950506752
