sensor,probe,width_px,mae_mm,suspect_hardware
hard_1mm_r1,cyl4,1280,0.0798688493737252,False
hard_1mm_r1,cyl4,1920,0.0937922255514733,False
hard_1mm_r1,cube4,8,0.5143516367805466,False
hard_1mm_r1,cube4,16,0.3250211103081669,False
hard_1mm_r1,cube4,32,0.2311089116342331,False
hard_1mm_r1,cube4,48,0.1780693102511232,False
hard_1mm_r1,cube4,80,0.1159738221399451,False
hard_1mm_r1,cube4,160,0.1162490391366149,False
hard_1mm_r1,cube4,320,0.1311268617262874,False
hard_1mm_r1,cube4,426,0.1348778147444094,False
hard_1mm_r1,cube4,640,0.1442859217330158,False
hard_1mm_r1,cube4,854,0.1466677284993196,False
hard_1mm_r1,cube4,1280,0.1548807495156889,False
hard_1mm_r1,cube4,1920,0.1640959752529204,False
hard_1mm_r2,cyl4,16,0.4835497714930948,True
hard_1mm_r2,cyl4,32,0.2645550969098187,True
hard_1mm_r2,cyl4,48,0.2122156627517617,True
hard_1mm_r2,cyl4,80,0.1094044530495182,True
hard_1mm_r2,cyl4,160,0.0711906178129587,True
hard_1mm_r2,cyl4,320,0.0619354422287767,True
hard_1mm_r2,cyl4,426,0.0653566719659666,True
hard_1mm_r2,cyl4,640,0.0637285775669577,True
hard_1mm_r2,cyl4,854,0.0645758676746248,True
hard_1mm_r2,cyl4,1280,0.0778741710032863,True
hard_1mm_r2,cyl4,1920,0.0973502945713708,True
hard_1mm_r2,cube4,16,0.4533889824976214,True
hard_1mm_r2,cube4,32,0.2275567676081943,True
hard_1mm_r2,cube4,48,0.1778723840122111,True
hard_1mm_r2,cube4,80,0.085339610296612,True
hard_1mm_r2,cube4,160,0.064686279599897,True
hard_1mm_r2,cube4,320,0.0597660328194156,True
hard_1mm_r2,cube4,426,0.0645700745847742,True
hard_1mm_r2,cube4,640,0.058032918926127,True
hard_1mm_r2,cube4,854,0.0588752689567553,True
hard_1mm_r2,cube4,1280,0.071933676999528,True
hard_1mm_r2,cube4,1920,0.0919698862189737,True
hard_2mm_r1,cyl4,16,0.4422659387681348,False
hard_2mm_r1,cyl4,32,0.2279090810022549,False
hard_2mm_r1,cyl4,48,0.165177481696395,False
hard_2mm_r1,cyl4,80,0.1333283572016619,False
hard_2mm_r1,cyl4,160,0.0981199309927022,False
hard_2mm_r1,cyl4,320,0.0975424545996847,False
hard_2mm_r1,cyl4,426,0.1007226344481239,False
hard_2mm_r1,cyl4,640,0.1015782621765431,False
hard_2mm_r1,cyl4,854,0.104498497580253,False
hard_2mm_r1,cyl4,1280,0.1129866588109198,False
hard_2mm_r1,cyl4,1920,0.1282231596685247,False
hard_2mm_r1,cube4,16,0.4003817522377921,False
hard_2mm_r1,cube4,32,0.1879828193791113,False
hard_2mm_r1,cube4,48,0.1216883800092987,False
hard_2mm_r1,cube4,80,0.1024504749670527,False
hard_2mm_r1,cube4,160,0.0776205649855139,False
hard_2mm_r1,cube4,320,0.0760217365521219,False
hard_2mm_r1,cube4,426,0.0755695400549622,False
hard_2mm_r1,cube4,640,0.0803325991013921,False
hard_2mm_r1,cube4,854,0.0838358093619249,False
hard_2mm_r1,cube4,1280,0.0918558312370034,False
hard_2mm_r1,cube4,1920,0.1053855465301681,False
hard_2mm_r2,cyl4,8,0.6736171387252811,False
hard_2mm_r2,cyl4,16,0.2114147671128547,False
hard_2mm_r2,cyl4,32,0.2138793706389867,False
hard_2mm_r2,cyl4,48,0.1460918404278758,False
hard_2mm_r2,cyl4,80,0.0865482424308648,False
hard_2mm_r2,cyl4,160,0.0432631555928541,False
