thickness_mm,px,delta_intensity,decision_floor
3,-20.0,2.541426,2.5
3,-19.0,2.541153,2.5
3,-18.0,2.546595,2.5
3,-17.0,2.5409796,2.5
3,-16.0,2.5248415,2.5
3,-15.0,2.5164337,2.5
3,-14.0,2.5433705,2.5
3,-13.0,2.6298826,2.5
3,-12.0,2.7860432,2.5
3,-11.0,3.002118,2.5
3,-10.0,3.2499301,2.5
3,-9.0,3.4898174,2.5
3,-8.0,3.6812317,2.5
3,-7.0,3.7930183,2.5
3,-6.0,3.8110683,2.5
3,-5.0,3.7409596,2.5
3,-4.0,3.6048217,2.5
3,-3.0,3.4337327,2.5
3,-2.0,3.2578487,2.5
3,-1.0,3.098211,2.5
3,0.0,2.9642277,2.5
3,1.0,2.8573503,2.5
3,2.0,2.7780232,2.5
3,3.0,2.729504,2.5
3,4.0,2.7160332,2.5
3,5.0,2.7378194,2.5
3,6.0,2.7878742,2.5
3,7.0,2.8541074,2.5
3,8.0,2.9253285,2.5
3,9.0,2.996145,2.5
3,10.0,3.0675635,2.5
3,11.0,3.1437757,2.5
3,12.0,3.2271624,2.5
3,13.0,3.313968,2.5
3,14.0,3.392646,2.5
3,15.0,3.4450758,2.5
3,16.0,3.4522102,2.5
3,17.0,3.40247,2.5
3,18.0,3.2993846,2.5
3,19.0,3.1632206,2.5
3,20.0,3.0248682,2.5
3,21.0,2.9142077,2.5
3,22.0,2.8492222,2.5
3,23.0,2.831188,2.5
3,24.0,2.8473845,2.5
3,25.0,2.8794935,2.5
3,26.0,2.9138086,2.5
3,27.0,2.9482255,2.5
3,28.0,2.993115,2.5
3,29.0,3.064446,2.5
3,30.0,3.1728022,2.5
3,31.0,3.3142586,2.5
3,32.0,3.4688137,2.5
3,33.0,3.6062922,2.5
3,34.0,3.696751,2.5
3,35.0,3.7198722,2.5
3,36.0,3.671509,2.5
3,37.0,3.5657485,2.5
3,38.0,3.4321656,2.5
3,39.0,3.306834,2.5
3,40.0,3.2204359,2.5
3,41.0,3.188353,2.5
