principle,measure,sensor,probe,width_px,density_px_per_mm2,mae_mm
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,48,5.529113593104783,0.0826581618951118
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,80,15.358648869735507,0.0831574029410364
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,160,61.43459547894204,0.0866189192329864
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,320,245.73838191576812,0.0858533296518942
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,426,435.50408785689393,0.0865853695694415
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,640,982.9535276630726,0.0950753920064974
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,854,1750.2044311062532,0.1120988757766235
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,1280,3931.8141106522894,0.1227429752447818
9DTact,shape_mae_vs_resolution,medium_1mm_r1,cyl4,1920,8846.581748967654,0.1377538462379192
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,16,0.5437167309244376,0.1732532334510796
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,32,2.1748669236977505,0.2157317669443754
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,48,4.893450578319937,0.0871419107876686
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,80,13.59291827311094,0.0769238208382117
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,160,54.37167309244376,0.085651016394515
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,320,217.48669236977503,0.0813729790986742
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,426,385.4356932079813,0.0750725428188472
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,640,869.9467694791002,0.0783149535290043
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,854,1548.989497386278,0.061717988322418
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,1280,3479.787077916401,0.0582139125915777
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cube4,1920,7829.520925311901,0.0492800402931567
9DTact,shape_mae_vs_resolution,medium_2mm_r2,cyl4,16,0.5437167309244376,0.1661530517710197
