t,x,y,z,rx,ry,rz
1788868632.335306,37.9578,362.9037,35.926,179.7411,1.6102,-94.8124
1788868632.355489,37.9573,362.9035,35.9277,179.7409,1.6101,-94.8124
1788868632.375701,37.9582,362.9034,35.926,179.7407,1.6101,-94.8126
1788868632.395914,37.9587,362.9034,35.926,179.741,1.6101,-94.8124
1788868632.416066,37.9572,362.9039,35.929,179.7409,1.6104,-94.8124
1788868632.436237,37.9573,362.9035,35.9277,179.7409,1.6101,-94.8124
1788868632.456391,37.9586,362.9038,35.929,179.7409,1.6104,-94.8126
1788868632.476573,37.959,362.9016,35.9272,179.741,1.6099,-94.8124
1788868632.499309,37.9576,362.9017,35.9272,179.741,1.6099,-94.8124
1788868632.519495,37.9575,362.9022,35.9317,179.7408,1.6108,-94.8124
1788868632.539656,37.9577,362.9086,35.9389,179.7407,1.611,-94.8128
1788868632.561647,37.9568,362.9065,35.9388,179.7408,1.6106,-94.8124
1788868632.581856,37.9589,362.9023,35.9383,179.741,1.6099,-94.8126
1788868632.601933,37.9571,362.9048,35.9366,179.7409,1.6104,-94.8126
1788868632.622097,37.9574,362.9029,35.9396,179.7409,1.6101,-94.8126
1788868632.642285,37.9573,362.9034,35.9392,179.7409,1.6104,-94.8124
1788868632.662486,37.9571,362.9048,35.9383,179.7409,1.6104,-94.8126
1788868632.682685,37.9584,362.905,35.9397,179.7408,1.6106,-94.8128
1788868632.702865,37.957,362.9052,35.9397,179.7408,1.6106,-94.8124
1788868632.723042,37.9585,362.9046,35.9383,179.7409,1.6104,-94.8128
1788868632.743198,37.9581,362.9063,35.9388,179.7408,1.6106,-94.8126
1788868632.763406,37.9585,362.9046,35.9383,179.7409,1.6104,-94.8126
1788868632.784120,37.9587,362.9033,35.9392,179.7409,1.6104,-94.8128
1788868632.804202,37.9571,362.9047,35.94,179.7409,1.6104,-94.8126
1788868632.824513,37.9589,362.9023,35.9383,179.741,1.6099,-94.8128
1788868632.844663,37.9588,362.9027,35.9396,179.7409,1.6101,-94.8128
1788868632.864737,37.9586,362.904,35.9404,179.7409,1.6101,-94.8128
1788868632.884822,37.9583,362.9026,35.9396,179.7407,1.6101,-94.8128
1788868632.904914,37.9573,362.9033,35.9409,179.7409,1.6104,-94.8126
1788868632.924997,37.9584,362.9049,35.9414,179.7408,1.6106,-94.8128
1788868632.965234,37.9581,362.9066,35.9435,179.7408,1.6108,-94.8128
1788868632.985414,37.9601,362.9075,35.9443,179.7406,1.6107,-94.8133
1788868633.005570,37.9592,362.9081,35.9457,179.7407,1.611,-94.813
1788868633.025751,37.9587,362.9108,35.9488,179.7405,1.6116,-94.8128
1788868633.045829,37.9591,362.9086,35.947,179.7407,1.6112,-94.8128
1788868633.065923,37.9585,362.9116,35.9482,179.7406,1.6114,-94.8128
1788868633.086088,37.9586,362.9085,35.947,179.7404,1.6111,-94.813
1788868633.106241,37.9573,362.9081,35.9474,179.7405,1.6109,-94.8126
1788868633.126415,37.9591,362.9086,35.947,179.7407,1.6112,-94.8128
1788868633.146588,37.9591,362.9085,35.9487,179.7407,1.6112,-94.8128
1788868633.166744,37.9586,362.9111,35.9486,179.7407,1.6112,-94.8128
1788868633.186914,37.9589,362.9094,35.9465,179.7407,1.611,-94.813
1788868633.207073,37.9592,362.908,35.9491,179.7407,1.611,-94.813
1788868633.249809,37.9589,362.9097,35.9495,179.7407,1.6112,-94.813
1788868633.269883,37.9593,362.9074,35.9494,179.7408,1.6108,-94.813
1788868633.289965,37.9594,362.907,35.9481,179.7408,1.6106,-94.813
1788868633.310035,37.9601,362.9077,35.9491,179.7405,1.6109,-94.8133
1788868633.330102,37.9593,362.9075,35.9494,179.7408,1.6108,-94.8133
1788868633.350217,37.959,362.9092,35.9499,179.7407,1.611,-94.813
1788868633.370322,37.9587,362.9078,35.9508,179.7405,1.6109,-94.813
1788868633.410472,37.9598,362.909,35.9499,179.7405,1.6109,-94.8133
1788868633.430711,37.9579,362.9075,35.9511,179.7408,1.6108,-94.8128
1788868633.450830,37.9601,362.9077,35.9508,179.7405,1.6109,-94.8133
1788868633.471015,37.961,362.9055,35.9507,179.7408,1.6106,-94.8133
1788868633.491155,37.9602,362.9071,35.9511,179.7406,1.6107,-94.8133
1788868633.511314,37.9603,362.9095,35.9512,179.7407,1.6112,-94.813
1788868633.531446,37.9594,362.9069,35.9498,179.7408,1.6106,-94.8128
1788868633.551579,37.9593,362.9074,35.9511,179.7408,1.6108,-94.813
1788868633.571726,37.9587,362.9078,35.9508,179.7405,1.6109,-94.813
1788868633.591890,37.9594,362.9069,35.9498,179.7408,1.6106,-94.8128
1788868633.612035,37.959,362.9063,35.9502,179.7407,1.6103,-94.8128
1788868633.632119,37.9594,362.9069,35.9515,179.7408,1.6106,-94.8128
1788868633.652256,37.9595,362.9064,35.9502,179.7409,1.6104,-94.8128
1788868633.672419,37.9595,362.9064,35.9502,179.7409,1.6104,-94.813
1788868633.692575,37.9604,362.909,35.9516,179.7407,1.611,-94.8133
1788868633.712724,37.9594,362.9069,35.9515,179.7408,1.6106,-94.813
1788868633.752894,37.9587,362.908,35.9523,179.7406,1.6105,-94.813
1788868633.773108,37.9595,362.9064,35.9502,179.7409,1.6104,-94.813
1788868633.793203,37.9594,362.9069,35.9515,179.7408,1.6106,-94.813
1788868633.813372,37.9595,362.9063,35.9519,179.7409,1.6104,-94.8128
1788868633.853689,37.9607,362.9043,35.9514,179.7407,1.6101,-94.8133
1788868633.873719,37.959,362.909,35.9533,179.7407,1.611,-94.813
1788868633.893871,37.9598,362.9046,35.9514,179.7409,1.6101,-94.813
1788868633.913956,37.9591,362.9085,35.9537,179.7408,1.6108,-94.813
1788868633.934023,37.9588,362.9072,35.9528,179.7406,1.6107,-94.813
1788868633.955785,37.9595,362.9063,35.9519,179.7409,1.6104,-94.813
1788868633.975858,37.9588,362.9072,35.9528,179.7406,1.6107,-94.8128
1788868633.995929,37.9605,362.9084,35.9537,179.7408,1.6108,-94.8133
1788868634.016030,37.9591,362.9085,35.9537,179.7408,1.6108,-94.813
1788868634.036102,37.9603,362.9065,35.9532,179.7406,1.6105,-94.8133
1788868634.056171,37.9594,362.9069,35.9515,179.7408,1.6106,-94.813
1788868634.076375,37.9595,362.9063,35.9519,179.7409,1.6104,-94.813
1788868634.096519,37.9595,362.9062,35.9536,179.7409,1.6104,-94.813
1788868634.116655,37.9591,362.9085,35.9537,179.7408,1.6108,-94.813
1788868634.136785,37.9603,362.9065,35.9532,179.7406,1.6105,-94.8133
1788868634.156909,37.961,362.9085,35.9537,179.741,1.6108,-94.813
1788868634.177078,37.9604,362.9056,35.9554,179.7406,1.6107,-94.8133
1788868634.197158,37.9604,362.9061,35.9568,179.7405,1.6109,-94.8133
1788868634.217267,37.9601,362.9078,35.9572,179.7404,1.6111,-94.813
1788868634.239778,37.9587,362.908,35.9572,179.7404,1.6111,-94.8128
1788868634.259865,37.9597,362.91,35.959,179.7403,1.6116,-94.8133
1788868634.280027,37.9585,362.9063,35.9534,179.7403,1.6109,-94.813
1788868634.300238,37.9598,362.909,35.9548,179.7403,1.6116,-94.8133
1788868634.320314,37.9595,362.9108,35.9535,179.7403,1.6118,-94.8133
1788868634.340482,37.9586,362.9115,35.9548,179.7404,1.612,-94.8131
1788868634.360671,37.9589,362.9094,35.9514,179.7405,1.6116,-94.813
1788868634.380804,37.9579,362.912,35.9528,179.7402,1.6122,-94.8131
1788868634.400897,37.9582,362.9107,35.9519,179.7402,1.6122,-94.8128
1788868634.420974,37.9591,362.9132,35.955,179.74,1.6128,-94.8135
1788868634.441045,37.9582,362.9107,35.9519,179.7402,1.6122,-94.8131
1788868634.461118,37.9578,362.9129,35.9537,179.7401,1.6126,-94.8128
1788868634.481180,37.9581,362.9112,35.9533,179.7401,1.6124,-94.8131
1788868634.501245,37.9587,362.9107,35.9536,179.7404,1.6122,-94.8131
1788868634.521317,37.9584,362.9141,35.9511,179.7398,1.6125,-94.8133
1788868634.541380,37.9603,362.9142,35.9476,179.7398,1.6137,-94.8135
1788868634.561471,37.959,362.9138,35.948,179.7398,1.6134,-94.8133
1788868634.581572,37.9588,362.9148,35.949,179.7397,1.6139,-94.8133
1788868634.601633,37.9573,362.9154,35.9486,179.7397,1.6141,-94.8131
1788868634.621730,37.9587,362.9153,35.9486,179.7397,1.6141,-94.8131
1788868634.643308,37.958,362.9165,35.9477,179.7394,1.614,-94.8133
1788868634.663455,37.9589,362.9144,35.9459,179.7398,1.6137,-94.8133
1788868634.683602,37.9601,362.9256,35.9328,179.7386,1.6188,-94.8138
1788868634.703777,37.9586,362.9335,35.9305,179.7379,1.6215,-94.8136
1788868634.723936,37.958,362.9342,35.93,179.7377,1.6212,-94.8138
1788868634.744014,37.9561,362.9343,35.93,179.7375,1.6212,-94.8136
1788868634.764083,37.9582,362.933,35.9292,179.7377,1.6212,-94.8136
1788868634.784158,37.9583,362.9325,35.9295,179.7378,1.621,-94.8138
1788868634.804338,37.9595,362.9332,35.9273,179.7378,1.6208,-94.814
1788868634.824496,37.9611,362.9317,35.9232,179.7377,1.6212,-94.8142
1788868634.844662,37.9603,362.9364,35.9199,179.7372,1.6231,-94.8142
1788868634.864888,37.9592,362.9423,35.9124,179.7366,1.6254,-94.8142
1788868634.885050,37.958,362.9487,35.9095,179.736,1.6275,-94.8143
1788868634.905276,37.9578,362.95,35.9103,179.736,1.6275,-94.814
1788868634.925497,37.9583,362.9474,35.9104,179.736,1.6275,-94.8143
1788868634.945651,37.9591,362.9457,35.9068,179.7365,1.6267,-94.8143
1788868634.965937,37.958,362.9491,35.9077,179.7361,1.6271,-94.8143
1788868634.986698,37.9587,362.9452,35.9054,179.7363,1.6265,-94.8143
1788868635.006761,37.9584,362.9469,35.901,179.7364,1.626,-94.8142
1788868635.027016,37.9598,362.9391,35.8868,179.7371,1.6235,-94.8144
1788868635.047251,37.9595,362.9375,35.8764,179.7371,1.6226,-94.8142
1788868635.067514,37.9606,362.942,35.8716,179.737,1.6239,-94.8147
1788868635.087729,37.9568,362.9482,35.8624,179.7364,1.6263,-94.8143
1788868635.107757,37.9583,362.9473,35.8629,179.7363,1.6265,-94.8143
1788868635.148066,37.9569,362.9474,35.8629,179.7363,1.6265,-94.8138
1788868635.168138,37.9581,362.9483,35.8639,179.7362,1.6269,-94.8143
1788868635.188225,37.9583,362.9473,35.8629,179.7363,1.6265,-94.8143
1788868635.208358,37.9582,362.9478,35.8625,179.7363,1.6267,-94.8143
1788868635.228429,37.9577,362.9504,35.8576,179.7364,1.626,-94.8142
1788868635.248638,37.9584,362.9392,35.8376,179.7374,1.6225,-94.814
1788868635.268925,37.9581,362.9408,35.8316,179.7374,1.6225,-94.814
1788868635.288995,37.9588,362.9415,35.8227,179.7371,1.6226,-94.8144
1788868635.309080,37.9587,362.9452,35.817,179.7371,1.6235,-94.8144
1788868635.329157,37.9584,362.9468,35.8092,179.7368,1.6246,-94.8145
1788868635.349288,37.957,362.9471,35.8058,179.7368,1.6246,-94.814
1788868635.369375,37.958,362.9489,35.8077,179.7366,1.6254,-94.8142
1788868635.389458,37.9581,362.9483,35.8081,179.7366,1.6252,-94.8145
1788868635.409548,37.9577,362.9506,35.8082,179.7365,1.6256,-94.8142
1788868635.429634,37.9583,362.9475,35.8086,179.7366,1.6254,-94.8142
1788868635.449885,37.9574,362.9496,35.8104,179.7363,1.6258,-94.814
1788868635.469970,37.9588,362.9472,35.8073,179.7369,1.6253,-94.8142
1788868635.490055,37.958,362.9489,35.8077,179.7366,1.6254,-94.814
1788868635.510130,37.9585,362.9494,35.809,179.7367,1.6257,-94.8145
1788868635.530273,37.957,362.9514,35.8108,179.7362,1.626,-94.8142
1788868635.550626,37.9569,362.9477,35.8086,179.7366,1.6254,-94.814
1788868635.570699,37.958,362.9489,35.8077,179.7366,1.6254,-94.8142
1788868635.590801,37.958,362.9489,35.8077,179.7366,1.6254,-94.8145
1788868635.610881,37.958,362.9488,35.8094,179.7366,1.6254,-94.8145
