sample_index,t_rel_s,SG0_ai16_V,SG1_ai18_V,SG2_ai17_V,SG3_ai19_V,SG4_ai20_V,SG5_ai21_V
165,0.082500,1.049897394,1.267197718,1.172190461,0.825364724,1.031487686,1.062718441
166,0.083000,1.049897394,1.266540228,1.172519206,0.825693469,1.031816431,1.062389696
167,0.083500,1.049239904,1.267855208,1.172847950,0.826022214,1.031816431,1.062718441
168,0.084000,1.048911159,1.265882738,1.171861716,0.824378490,1.030172707,1.061732206
169,0.084500,1.048911159,1.267197718,1.172519206,0.825035980,1.031158941,1.061403461
170,0.085000,1.048253670,1.266211483,1.172847950,0.823721001,1.030501452,1.061732206
171,0.085500,1.048582415,1.265882738,1.172519206,0.824707235,1.030830196,1.062060951
172,0.086000,1.048911159,1.266540228,1.172519206,0.825693469,1.032145175,1.062718441
173,0.086500,1.049239904,1.266540228,1.172847950,0.826022214,1.032473920,1.063047185
174,0.087000,1.048253670,1.266211483,1.173176695,0.825035980,1.031816431,1.063047185
175,0.087500,1.048911159,1.266211483,1.173505440,0.825364724,1.031487686,1.062060951
176,0.088000,1.050226139,1.266540228,1.172519206,0.825364724,1.031158941,1.063375930
177,0.088500,1.050554883,1.266540228,1.172519206,0.825364724,1.031158941,1.063047185
178,0.089000,1.050226139,1.266211483,1.172847950,0.826350958,1.032145175,1.063047185
179,0.089500,1.049568649,1.266211483,1.173176695,0.826022214,1.032145175,1.063047185
180,0.090000,1.048911159,1.265882738,1.170217992,0.825364724,1.030830196,1.061732206
181,0.090500,1.049239904,1.267197718,1.172190461,0.827337193,1.032802665,1.062060951
182,0.091000,1.048911159,1.266211483,1.172847950,0.825364724,1.030830196,1.064362164
183,0.091500,1.047924925,1.266868973,1.172190461,0.825364724,1.031487686,1.062060951
184,0.092000,1.049239904,1.265553994,1.171861716,0.824707235,1.030501452,1.062060951
185,0.092500,1.048911159,1.265882738,1.171204226,0.824707235,1.030501452,1.062060951
186,0.093000,1.048911159,1.266211483,1.172847950,0.825364724,1.031158941,1.062060951
187,0.093500,1.048911159,1.266211483,1.172519206,0.824378490,1.030501452,1.060745972
188,0.094000,1.048582415,1.267197718,1.174162930,0.825035980,1.032145175,1.062060951
189,0.094500,1.048911159,1.266868973,1.172190461,0.825693469,1.031487686,1.062718441
190,0.095000,1.049239904,1.265553994,1.172190461,0.825364724,1.031487686,1.062060951
191,0.095500,1.049568649,1.265553994,1.173176695,0.825364724,1.030172707,1.061732206
192,0.096000,1.048911159,1.266211483,1.172847950,0.825035980,1.030172707,1.060745972
193,0.096500,1.049897394,1.266868973,1.173834185,0.826022214,1.032145175,1.061732206
194,0.097000,1.050554883,1.265553994,1.173176695,0.825035980,1.030501452,1.062060951
195,0.097500,1.050226139,1.266211483,1.172847950,0.826679703,1.032145175,1.061403461
196,0.098000,1.048582415,1.264896504,1.172190461,0.825693469,1.031816431,1.062718441
197,0.098500,1.048911159,1.266211483,1.172190461,0.826022214,1.031158941,1.061403461
198,0.099000,1.048911159,1.267526463,1.172519206,0.826022214,1.031158941,1.062060951
199,0.099500,1.049897394,1.265882738,1.171204226,0.826022214,1.031158941,1.062389696
200,0.100000,1.048911159,1.267855208,1.172847950,0.825693469,1.031158941,1.062389696
201,0.100500,1.049239904,1.266540228,1.171861716,0.826022214,1.032473920,1.061732206
202,0.101000,1.048582415,1.265882738,1.172519206,0.824707235,1.031158941,1.061732206
203,0.101500,1.048582415,1.267197718,1.173176695,0.825035980,1.031816431,1.062060951
204,0.102000,1.047924925,1.266540228,1.173505440,0.825035980,1.032145175,1.061732206
205,0.102500,1.048582415,1.267197718,1.173505440,0.826022214,1.031816431,1.062389696
206,0.103000,1.048911159,1.266211483,1.172847950,0.825035980,1.031816431,1.062389696
207,0.103500,1.049568649,1.266211483,1.174491674,0.825693469,1.032145175,1.062718441
208,0.104000,1.049239904,1.265882738,1.171861716,0.825035980,1.030830196,1.062060951
209,0.104500,1.049239904,1.265882738,1.172519206,0.825364724,1.029843962,1.061732206
210,0.105000,1.050883628,1.266211483,1.172847950,0.825693469,1.030172707,1.062060951
211,0.105500,1.050226139,1.266540228,1.173176695,0.825693469,1.030830196,1.062718441
212,0.106000,1.048582415,1.266211483,1.171861716,0.826679703,1.032145175,1.061403461
213,0.106500,1.049568649,1.266868973,1.171204226,0.826022214,1.031158941,1.061732206
214,0.107000,1.049239904,1.265882738,1.171532971,0.825364724,1.031158941,1.061732206
215,0.107500,1.048582415,1.266211483,1.171861716,0.826022214,1.031158941,1.062060951
216,0.108000,1.048253670,1.265225249,1.171861716,0.824707235,1.030830196,1.062060951
217,0.108500,1.048911159,1.266868973,1.172847950,0.825364724,1.031487686,1.061403461
218,0.109000,1.048582415,1.265882738,1.172190461,0.824707235,1.030172707,1.061403461
219,0.109500,1.048253670,1.266868973,1.173505440,0.825035980,1.032145175,1.061074717
220,0.110000,1.048911159,1.265553994,1.172190461,0.823721001,1.029843962,1.061074717
221,0.110500,1.048582415,1.265553994,1.172847950,0.825364724,1.031487686,1.062060951
222,0.111000,1.049239904,1.265225249,1.172847950,0.824707235,1.031158941,1.062060951
223,0.111500,1.048582415,1.267197718,1.173176695,0.826022214,1.031158941,1.062060951
224,0.112000,1.049239904,1.265553994,1.172847950,0.825364724,1.030830196,1.061403461
225,0.112500,1.049568649,1.266540228,1.172847950,0.825035980,1.030830196,1.062718441
226,0.113000,1.050554883,1.266540228,1.172847950,0.825693469,1.031816431,1.063047185
227,0.113500,1.050226139,1.265553994,1.172847950,0.826022214,1.031158941,1.062718441
228,0.114000,1.049239904,1.266211483,1.171861716,0.825693469,1.031158941,1.061403461
229,0.114500,1.048582415,1.266868973,1.171532971,0.826350958,1.030830196,1.061074717
230,0.115000,1.049897394,1.266868973,1.171861716,0.825364724,1.031487686,1.062060951
231,0.115500,1.049568649,1.267197718,1.172519206,0.825364724,1.031816431,1.062060951
232,0.116000,1.048253670,1.266540228,1.172519206,0.825364724,1.031158941,1.061732206
233,0.116500,1.048253670,1.266211483,1.172190461,0.824707235,1.030501452,1.061403461
234,0.117000,1.048582415,1.266540228,1.172519206,0.824707235,1.030830196,1.061074717
235,0.117500,1.047924925,1.266540228,1.172847950,0.824378490,1.031487686,1.061403461
236,0.118000,1.047596180,1.266540228,1.173505440,0.825364724,1.032473920,1.061403461
