probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,rung_depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,4,0,4.670610266491237,-5.8200465604047595,1546.0881798603828,289.91182013961725,0.15,0.6519403914907294,0.44999999999999996,0.0,0.6428409166126613,0.6245758878953523,ball4_x+4.67_y-5.82_d0.15.png,1789056780.4820495,0.010878530163794763,-0.009764516180651306,-0.6245758878953523,44.89637374877929,360.0126342773437,35.5564613342285,8285,51.353650376898294,"[160.10935425467713, 119.07060953530477]",12
ball4,4,0,4.670610266491237,-5.8200465604047595,1546.0881798603828,289.91182013961725,0.3,0.8592058991490674,0.5999999999999999,0.0,1.5565551135109814,1.4325417068407234,ball4_x+4.67_y-5.82_d0.30.png,1789056781.6540866,0.05559730009447961,-0.03865538061119622,-1.4325417068407234,44.90056228637695,360.0148620605468,35.40505599975586,10853,58.775991652652536,"[449.8100985902515, 122.80143739058325]",12
ball4,0,1,-3.96254144531276,2.1633523468812603,373.91182013961725,540.0,0.15,0.3587555704324821,0.44999999999999996,0.0,0.6428409166126613,0.6969117991315642,ball4_x-3.96_y+2.16_d0.15.png,1789056787.7024372,-0.026223418059685245,-0.05319255397427778,-0.6969117991315642,33.41357803344726,362.61474609375,35.74216842651367,8627,52.40285667888309,"[157.65341370117073, 114.36513272284688]",12
ball4,0,1,-3.96254144531276,2.1633523468812603,373.91182013961725,540.0,0.3,0.5428717695457763,0.5999999999999999,0.0,1.5565551135109814,1.6414673601771255,ball4_x-3.96_y+2.16_d0.30.png,1789056788.8704972,-0.008819783265097313,0.033382559558448044,-1.6414673601771255,33.4115524291992,362.6253662109375,35.59165573120117,28029,94.45585106199334,"[419.7735202825645, 511.58828356345214]",12
ball4,1,1,-1.4909384572030693,0.6948282972139026,666.9559100698086,540.0,0.15,0.41001021484776246,0.44999999999999996,0.0,0.6428409166126613,0.6741933949128764,ball4_x-1.49_y+0.69_d0.15.png,1789056791.7987123,0.031558166809392316,0.00823865185466115,-0.6741933949128764,36.30120849609375,362.5863647460937,35.71679306030273,7616,49.2366539599895,"[455.5611869747899, 131.8361344537815]",12
ball4,1,1,-1.4909384572030693,0.6948282972139026,666.9559100698086,540.0,0.3,0.6021034028099841,0.5999999999999999,0.0,1.5565551135109814,1.7200577451532126,ball4_x-1.49_y+0.69_d0.30.png,1789056792.9706235,0.05027262072763818,-0.011543030791083986,-1.7200577451532126,36.30463790893554,362.5823669433593,35.55792999267578,8405,51.72421670141328,"[860.6221296847115, 620.9898869720405]",12
ball4,3,1,3.452267519016313,-2.2422198021208133,1253.0440899301914,540.0,0.15,0.5176041987477262,0.44999999999999996,0.0,0.6428409166126613,0.6902330257288611,ball4_x+3.45_y-2.24_d0.15.png,1789056797.0669,0.036189287080162204,-0.0014987237029842504,-0.6902330257288611,42.0543212890625,362.5021362304687,35.64483261108398,10082,56.649803817003445,"[154.24856179329498, 113.36877603650069]",12
ball4,3,1,3.452267519016313,-2.2422198021208133,1253.0440899301914,540.0,0.3,0.7139227606418643,0.5999999999999999,0.0,1.5565551135109814,1.5368567693254989,ball4_x+3.45_y-2.24_d0.30.png,1789056798.2350094,0.05173730500665456,-0.009038469623589406,-1.5368567693254989,42.05213165283203,362.508575439453,35.49231719970703,10769,58.54809274701646,"[449.8983192496982, 122.9245983842511]",12
ball4,4,1,5.923870507126003,-3.710743851788171,1546.0881798603828,540.0,0.15,0.5707031395108686,0.44999999999999996,0.0,0.6428409166126613,0.6982025169812317,ball4_x+5.92_y-3.71_d0.15.png,1789056801.1631281,0.020033115307466078,0.005050934845286292,-0.6982025169812317,44.92790222167968,362.4689636230468,35.61491775512695,12418,62.87107575531305,"[1646.81357706555, 677.006120148172]",12
ball4,4,1,5.923870507126003,-3.710743851788171,1546.0881798603828,540.0,0.3,0.7621990820178297,0.5999999999999999,0.0,1.5565551135109814,1.4864036085486787,ball4_x+5.92_y-3.71_d0.30.png,1789056802.3351061,0.05921896661153845,-0.023621947308314795,-1.4864036085486787,44.93231964111328,362.4646606445312,35.45267105102539,17174,73.93682428479345,"[1662.7959706533131, 668.3624665191569]",12
