sample_index,t_rel_s,Fx_N,Fy_N,Fz_N,Tx_Nm,Ty_Nm,Tz_Nm
97,0.048500,3.541465875,9.188342981,103.257716611,-0.026664729,-0.041347294,-0.968929088
98,0.049000,3.582791865,9.207042678,103.255974679,-0.027034429,-0.040693474,-0.968315969
99,0.049500,3.582696155,9.209256731,103.234811548,-0.027019027,-0.041107317,-0.968695140
100,0.050000,3.567370128,9.193485315,103.266755148,-0.027143562,-0.041639463,-0.968454295
101,0.050500,3.596189844,9.227776106,103.288408724,-0.028130451,-0.042346573,-0.968326085
102,0.051000,3.585627060,9.243824131,103.290962531,-0.027307103,-0.042867463,-0.969043758
103,0.051500,3.577133005,9.244620828,103.311963175,-0.027127865,-0.042075102,-0.968542415
104,0.052000,3.567341236,9.187252206,103.268625375,-0.027190717,-0.042267635,-0.969049175
105,0.052500,3.560988664,9.179546075,103.300179363,-0.027609785,-0.041610317,-0.968421585
106,0.053000,3.552606610,9.203479908,103.300674460,-0.027264254,-0.041836710,-0.968550874
107,0.053500,3.606444147,9.194712938,103.302882429,-0.027109149,-0.041282742,-0.968974370
108,0.054000,3.584517663,9.171192620,103.369307457,-0.027657347,-0.041151165,-0.968797515
109,0.054500,3.613282982,9.189207765,103.270039652,-0.026963798,-0.041023231,-0.969110026
110,0.055000,3.542510621,9.224434431,103.363069731,-0.026592951,-0.041618147,-0.970001345
111,0.055500,3.548234526,9.218819385,103.327263299,-0.026085714,-0.041350819,-0.969447542
112,0.056000,3.587806092,9.202795847,103.281358109,-0.026347178,-0.040925331,-0.969111318
113,0.056500,3.565674733,9.209657152,103.258498038,-0.026672678,-0.041186098,-0.969031650
114,0.057000,3.606790181,9.202276188,103.186668267,-0.027224279,-0.040566907,-0.967786016
115,0.057500,3.575279769,9.225147124,103.267965009,-0.026910288,-0.041662173,-0.968686274
116,0.058000,3.581867037,9.194509358,103.253824038,-0.026762258,-0.041948404,-0.968124689
117,0.058500,3.553131858,9.244229741,103.311839331,-0.026969025,-0.042841209,-0.968691314
118,0.059000,3.599091480,9.238265212,103.301368584,-0.026797739,-0.041815217,-0.968652801
119,0.059500,3.584079678,9.206646862,103.292392996,-0.027400940,-0.040700410,-0.968974712
120,0.060000,3.576114900,9.197888965,103.312257321,-0.027287194,-0.041798687,-0.968645112
121,0.060500,3.608971574,9.187391985,103.297731188,-0.027691711,-0.041635913,-0.967827442
122,0.061000,3.599725097,9.167707131,103.289010747,-0.027665632,-0.040229917,-0.968142727
123,0.061500,3.599182370,9.176447558,103.335553237,-0.027427315,-0.040312656,-0.968567900
124,0.062000,3.576261327,9.177811136,103.292161242,-0.027614588,-0.041299186,-0.969107876
125,0.062500,3.559339376,9.166959697,103.336439264,-0.027348124,-0.040974011,-0.968949161
126,0.063000,3.544007997,9.220265048,103.246805801,-0.027151777,-0.040301735,-0.968675465
127,0.063500,3.566587699,9.211178593,103.256809619,-0.026838063,-0.041508754,-0.968694476
128,0.064000,3.566435524,9.208921769,103.280900190,-0.026858060,-0.041088507,-0.969006886
129,0.064500,3.568893617,9.257514639,103.292933791,-0.027045244,-0.041792106,-0.969250522
130,0.065000,3.590497558,9.231817160,103.176926472,-0.026845239,-0.040939559,-0.968164231
131,0.065500,3.542361626,9.224855746,103.209640954,-0.026573736,-0.041224719,-0.968046813
132,0.066000,3.570036859,9.225732320,103.288473364,-0.027446639,-0.042779004,-0.968468487
133,0.066500,3.591190421,9.257169196,103.286565603,-0.026481322,-0.042891113,-0.968010500
134,0.067000,3.546734952,9.224871558,103.301727602,-0.027655227,-0.041466859,-0.968656569
135,0.067500,3.560946317,9.199266482,103.255090753,-0.027465045,-0.041803145,-0.968355310
136,0.068000,3.599327953,9.182584612,103.242604009,-0.027373845,-0.041362555,-0.967990489
137,0.068500,3.542339326,9.214742406,103.280369839,-0.026654364,-0.041223239,-0.968906694
138,0.069000,3.605364972,9.178762889,103.276148726,-0.026858531,-0.041711747,-0.968086183
139,0.069500,3.598654688,9.172110321,103.300780448,-0.027275642,-0.041253346,-0.968512654
140,0.070000,3.622792305,9.183838225,103.337372377,-0.027357296,-0.041094753,-0.969160025
141,0.070500,3.581266788,9.153211066,103.279041268,-0.027066708,-0.040936620,-0.968645112
142,0.071000,3.533657612,9.210929401,103.258472623,-0.026508805,-0.041268455,-0.969047640
143,0.071500,3.562886046,9.208761220,103.234820650,-0.025960025,-0.040953215,-0.968704128
144,0.072000,3.582171305,9.210077070,103.269469015,-0.026836344,-0.041408467,-0.969020949
145,0.072500,3.574752085,9.197736322,103.312221105,-0.026929904,-0.041784466,-0.968647232
146,0.073000,3.589247669,9.194459141,103.244440625,-0.026759730,-0.040956726,-0.968332282
147,0.073500,3.559185429,9.228186705,103.278649655,-0.026720474,-0.042272132,-0.968702300
148,0.074000,3.575023515,9.246321286,103.278211382,-0.026576343,-0.042366995,-0.968585991
149,0.074500,3.568814539,9.213379750,103.220239035,-0.027353814,-0.041849715,-0.968040110
150,0.075000,3.598278914,9.211296526,103.253646680,-0.026807733,-0.041738034,-0.967997643
