sensor,axis,density_px_per_mm2,median,min,max,suspect_hardware
soft_2mm_r1,Ty,10556.43300355448,0.0010815127752721,0.0008167817140929,0.0016458326717838,False
soft_2mm_r1,Tz,0.1832714063117097,0.0001551572058815,0.0001451730786357,0.0001660402485867,False
soft_2mm_r1,Tz,0.7330856252468388,0.0001491757284384,0.000148007136886,0.0001499289210187,False
soft_2mm_r1,Tz,2.9323425009873554,0.0001444658264517,0.00014125436428,0.000152979613631,False
soft_2mm_r1,Tz,6.597770627221551,0.0001433112338418,0.0001332355168415,0.000158257986186,False
soft_2mm_r1,Tz,18.327140631170973,0.0001543696707813,0.000122996920254,0.0001602210832061,False
soft_2mm_r1,Tz,73.3085625246839,0.000168188023963,0.0001546994462842,0.0001841389457695,False
soft_2mm_r1,Tz,293.2342500987356,0.0001528370194137,0.0001414701109752,0.0001567795698065,False
soft_2mm_r1,Tz,519.6775270597474,0.0001454727898817,0.0001327489590039,0.0001714164100121,False
soft_2mm_r1,Tz,1172.9370003949423,0.0001444624358555,0.0001359145971946,0.0001689466444076,False
soft_2mm_r1,Tz,2088.480765087983,0.0001642890420043,0.0001642639108467,0.0001649146142881,False
soft_2mm_r1,Tz,4691.748001579769,0.0001474603341193,0.0001404023641953,0.0001680645218584,False
soft_2mm_r1,Tz,10556.43300355448,0.0001610101753612,0.0001372892438666,0.0001658436813158,False
soft_3mm_r1,Tx,0.14892884080120877,0.0020143503788858,0.0019423506455495,0.0024874804075807,False
soft_3mm_r1,Tx,0.5957153632048351,0.0015168352983891,0.0013408380327746,0.0015545969363301,False
soft_3mm_r1,Tx,2.3828614528193404,0.0012485745828598,0.0011510468320921,0.0012593535939231,False
soft_3mm_r1,Tx,5.361438268843514,0.0012620693305507,0.0011294344440102,0.0012912640813738,False
soft_3mm_r1,Tx,14.892884080120874,0.0011836522025987,0.0011232121614739,0.0011925420258194,False
soft_3mm_r1,Tx,59.571536320483496,0.0012660006759688,0.0012123108608648,0.001297349226661,False
soft_3mm_r1,Tx,238.28614528193398,0.0013032851275056,0.0012194358278065,0.0015128025552257,False
soft_3mm_r1,Tx,422.2970361443775,0.0012586613884195,0.0011744311777874,0.0014724774518981,False
soft_3mm_r1,Tx,953.1445811277359,0.001308235223405,0.0013064040103927,0.0016564838588237,False
soft_3mm_r1,Tx,1697.1279134027243,0.0016670271288603,0.0012309526791796,0.0019742734730243,False
soft_3mm_r1,Tx,3812.5783245109437,0.0016371948877349,0.0013605450512841,0.0019546363037079,False
soft_3mm_r1,Tx,8578.301230149624,0.0013594443444162,0.0012047863565385,0.0013606988359242,False
soft_3mm_r1,Ty,0.14892884080120877,0.0013146966230124,0.0013049431145191,0.0018267112318426,False
soft_3mm_r1,Ty,0.5957153632048351,0.000887194823008,0.0008336074533872,0.0009528734371997,False
soft_3mm_r1,Ty,2.3828614528193404,0.0007770406664349,0.0007375835557468,0.0008604797185398,False
soft_3mm_r1,Ty,5.361438268843514,0.0006627942784689,0.0006446469924412,0.0007568218279629,False
soft_3mm_r1,Ty,14.892884080120874,0.0007659427355974,0.0007131506572477,0.000807907897979,False
soft_3mm_r1,Ty,59.571536320483496,0.0008062356500886,0.0007864680374041,0.0009045209153555,False
soft_3mm_r1,Ty,238.28614528193398,0.0008600387373007,0.0007972361636348,0.0009464619797654,False
soft_3mm_r1,Ty,422.2970361443775,0.000800808891654,0.0007719361456111,0.0010119653306901,False
soft_3mm_r1,Ty,953.1445811277359,0.0008608529460616,0.0008057757513597,0.0009280330850742,False
soft_3mm_r1,Ty,1697.1279134027243,0.0008745891391299,0.0008045241702347,0.0009514630655758,False
soft_3mm_r1,Ty,3812.5783245109437,0.0010064298985525,0.0009592652786523,0.0011690218234434,False
soft_3mm_r1,Ty,8578.301230149624,0.0011810295982286,0.0011135666863992,0.0013732966035604,False
soft_3mm_r1,Tz,0.14892884080120877,0.0001767449866747,0.0001633169449632,0.000194006919628,False
