sensor,probe,density_px_per_mm2,mae_mm
medium_1mm_r1,cyl4,1347.7966131149203,-0.19465203326158775
medium_1mm_r1,cyl4,2399.8282096936555,-0.18943222728009124
medium_1mm_r1,cyl4,5391.186452459681,-0.3286814960203275
medium_1mm_r1,cyl4,12130.169518034287,-0.2303816181749445
medium_2mm_r1,cyl4,0.17367109773304965,0.843902117172572
medium_2mm_r1,cyl4,0.6946843909321986,-0.8186465364681901
medium_2mm_r1,cyl4,2.7787375637287943,-0.9706539265413068
medium_2mm_r1,cyl4,6.252159518389789,-1.0228449519332288
medium_2mm_r1,cyl4,17.367109773304964,-1.0199387194624285
medium_2mm_r1,cyl4,69.46843909321986,-1.0106549299960688
medium_2mm_r1,cyl4,277.8737563728794,-0.9832818371845327
medium_2mm_r1,cyl4,492.45525206567055,-0.9618160806364418
medium_2mm_r1,cyl4,1111.4950254915177,-0.8929212422450399
medium_2mm_r1,cyl4,1979.0798486605756,-0.8913322956639362
medium_2mm_r1,cyl4,4445.980101966071,-0.9547303310648996
medium_2mm_r1,cyl4,10003.45522942366,-0.9182105206581084
medium_3mm_r1,cyl4,0.1366479789414849,2.337850794213643
medium_3mm_r1,cyl4,0.5465919157659396,-0.047930011557857366
medium_3mm_r1,cyl4,2.1863676630637583,0.09064582934956711
medium_3mm_r1,cyl4,4.919327241893458,0.14785403325909563
medium_3mm_r1,cyl4,13.66479789414849,0.07617890006353267
medium_3mm_r1,cyl4,54.65919157659396,0.07539053630390047
medium_3mm_r1,cyl4,218.63676630637585,-0.01649084156208147
medium_3mm_r1,cyl4,387.47388478726435,-0.032413342688238256
medium_3mm_r1,cyl4,874.5470652255034,-0.061338155354166535
medium_3mm_r1,cyl4,1557.1805845263752,-0.07026237881429287
medium_3mm_r1,cyl4,3498.1882609020136,-0.039863792938973575
medium_3mm_r1,cyl4,7870.9235870295315,-0.10749771861685309
soft_1mm_r2,cyl4,0.20803524288340983,4.009118906719097
soft_1mm_r2,cyl4,0.8321409715336393,-0.29479285233647845
soft_1mm_r2,cyl4,3.3285638861345572,1.2815661198947312
soft_1mm_r2,cyl4,7.4892687438027545,2.9040608568824977
soft_1mm_r2,cyl4,20.803524288340984,3.345766747601206
soft_1mm_r2,cyl4,83.21409715336394,3.485230097395985
soft_1mm_r2,cyl4,332.85638861345575,3.518950712209464
soft_1mm_r2,cyl4,589.8969333985889,3.533877684899579
soft_1mm_r2,cyl4,1331.425554453823,3.6051196233258294
soft_1mm_r2,cyl4,2370.678612480577,3.630814586452871
soft_1mm_r2,cyl4,5325.702217815292,3.519639481382245
soft_1mm_r2,cyl4,11982.829990084407,3.5748390325503445
soft_2mm_r1,cyl4,0.7330856252468388,-0.7891660188261072
soft_2mm_r1,cyl4,2.9323425009873554,-0.6951290372270011
soft_2mm_r1,cyl4,6.597770627221551,-0.781245158048478
soft_2mm_r1,cyl4,18.327140631170973,-0.6994121331236927
soft_2mm_r1,cyl4,73.3085625246839,-0.6815702485553321
soft_2mm_r1,cyl4,293.2342500987356,-0.7100609024291145
soft_2mm_r1,cyl4,519.6775270597474,-0.7024601465910063
soft_2mm_r1,cyl4,1172.9370003949423,-0.6936574850659127
soft_2mm_r1,cyl4,2088.480765087983,-0.7014356362347187
soft_2mm_r1,cyl4,4691.748001579769,-0.6941663540186478
soft_2mm_r1,cyl4,10556.43300355448,-0.7737900724797782
soft_3mm_r1,cyl4,0.14892884080120877,1.0468386676664405
soft_3mm_r1,cyl4,0.5957153632048351,-0.8563698279775265
soft_3mm_r1,cyl4,2.3828614528193404,-0.9376866775166368
soft_3mm_r1,cyl4,5.361438268843514,-0.7720603872656411
soft_3mm_r1,cyl4,14.892884080120874,-0.7636931032602625
soft_3mm_r1,cyl4,59.571536320483496,-0.7056153187299765
soft_3mm_r1,cyl4,238.28614528193398,-0.7205338108734622
soft_3mm_r1,cyl4,422.2970361443775,-0.7145365526033869
soft_3mm_r1,cyl4,953.1445811277359,-0.7076912782409943
soft_3mm_r1,cyl4,1697.1279134027243,-0.719354399992981
soft_3mm_r1,cyl4,3812.5783245109437,-0.7282816004923331
soft_3mm_r1,cyl4,8578.301230149624,-0.7747387796927425
hard_1mm_r1,cube4,0.21444712842969466,0.9550736365788186
hard_1mm_r1,cube4,0.8577885137187786,-0.14673597024921525
hard_1mm_r1,cube4,3.4311540548751145,-0.8198787022672387
hard_1mm_r1,cube4,7.720096623469007,-0.6055737180549201
hard_1mm_r1,cube4,21.44471284296947,-0.612861261205961
hard_1mm_r1,cube4,85.77885137187788,-0.2838115894209259
hard_1mm_r1,cube4,343.1154054875115,-0.48474344799574665
hard_1mm_r1,cube4,608.0782356079261,-0.45948627584916624
hard_1mm_r1,cube4,1372.461621950046,0.3534911668121081
hard_1mm_r1,cube4,2443.745654966113,0.007473531185181237
hard_1mm_r1,cube4,5489.846487800184,-0.3472793462093069
hard_1mm_r1,cube4,12352.154597550414,-0.272848179560937
hard_2mm_r2,cube4,0.18730501242301487,0.5631119826452631
hard_2mm_r2,cube4,0.7492200496920595,-0.3028638439225433
hard_2mm_r2,cube4,2.996880198768238,-0.19792463501332502
hard_2mm_r2,cube4,6.742980447228534,-0.21120989666106915
hard_2mm_r2,cube4,18.730501242301486,-0.2749098460087831
hard_2mm_r2,cube4,74.92200496920594,-0.31564611067031656
hard_2mm_r2,cube4,299.6880198768238,-0.3223749128928386
hard_2mm_r2,cube4,531.1150692887351,-0.32056141069936483
hard_2mm_r2,cube4,1198.752079507295,-0.26369332799751
hard_2mm_r2,cube4,2134.4459756297424,-0.27537641379455113
hard_2mm_r2,cube4,4795.00831802918,-0.34937864952338327
hard_2mm_r2,cube4,10788.768715565659,-0.3687519250082518
hard_3mm_r1,cube4,0.13254042623671855,2.1837508509324515
hard_3mm_r1,cube4,0.5301617049468742,0.6803764485309047
hard_3mm_r1,cube4,2.120646819787497,0.7448380177000962
hard_3mm_r1,cube4,4.771455344521867,0.8387530922864768
hard_3mm_r1,cube4,13.254042623671861,0.8576967477902553
hard_3mm_r1,cube4,53.016170494687444,0.8017559959673903
hard_3mm_r1,cube4,212.06468197874977,0.8163123970823625
hard_3mm_r1,cube4,375.8266623708553,0.8150638520895486
hard_3mm_r1,cube4,848.2587279149991,0.8486280034608233
hard_3mm_r1,cube4,1510.372710957166,0.843516301935451
hard_3mm_r1,cube4,3393.0349116599964,0.8279283994131035
hard_3mm_r1,cube4,7634.328551234989,0.8435115291565118
