principle,probe,measure,group_by,group,n_units,x_name,x,median,q1,q3
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,1.0752337770018208,597.4590551315832,562.4833311764927,622.4202091806415
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,1.1238786731724302,611.3599604785063,574.1917819362501,637.151955112379
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,1.1725235693430396,630.0204235042411,588.5343585606156,653.8830452527501
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,1.221168465513649,648.6053756092848,603.7339412212216,660.0595658151253
DIGIT,ball8,diameter_px,hardness,soft,3,depth_mm,1.2698133616842582,657.2520653193372,612.486437317039,661.266955180005
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.1509807497602422,213.2291905169655,167.04302467013585,221.42929518062869
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.19962564593085158,241.17799908260022,208.3094759246155,249.09204919094822
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.248270542101461,258.92379034204885,236.08993892505538,271.3914902014842
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.2969154382720704,276.66958160149744,263.8704019254953,293.69093121202025
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.3455603344426798,313.91597566041673,308.6912898187032,339.29305054703866
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.39420523061328916,340.0706332276431,333.32063795614994,367.74516467659305
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.44285012678389857,366.2252907948695,357.94998609359675,396.19727880614755
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.491495022954508,392.37994836209594,382.5793342310435,424.64939293570205
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.5401399191251174,372.9236446425123,367.37737455476605,419.8863861687746
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.5887848152957268,398.8133079626608,394.3960908852697,434.8849931641248
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.6374297114663362,424.7029712828093,421.41480721577335,461.13821136301885
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.6860746076369455,450.59263460295773,448.4335235462769,487.3914295619128
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.7347195038075549,492.7713778949652,463.3479030652494,530.256307171468
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.7833643999781643,504.10389274851957,477.65802141192256,544.0390008305818
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.8320092961487737,515.4364076020739,491.9681397585957,557.1043638282085
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.8806541923193831,539.7143647176025,512.7509792362561,576.6424479568225
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.9292990884899925,550.0208037656321,534.0846307411196,594.9442128900662
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,0.977943984660602,558.3946275513659,542.088249226314,608.3011611422892
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,1.0265888808312114,566.7684513370998,550.0918677115085,618.671558222103
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,1.0752337770018208,575.1422751228337,563.484493254761,629.0419553019169
DIGIT,ball8,diameter_px,hardness,medium,3,depth_mm,1.1238786731724302,596.6853662614467,579.229584408575,647.4732882756637
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.19962564593085158,222.0058328341133,156.1765872158818,279.8697853248525
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.248270542101461,260.7535253695452,197.50122019859717,308.30961460294156
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.2969154382720704,299.50121790497707,238.82585318131254,336.74944388103063
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.3455603344426798,354.3993922339624,288.73728494815634,373.2645140558965
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.39420523061328916,393.0739887042046,323.85767962436023,393.7024452862719
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.44285012678389857,421.1114652216656,350.34684330633,422.43511546951265
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.491495022954508,449.1489417391265,376.89508495996324,451.1677856527535
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.5401399191251174,482.6144934154012,414.49237007167534,484.8961736656894
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.5887848152957268,474.8365573234843,415.9481190089596,497.98243992236496
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.6374297114663362,496.1829482373947,431.9660314491575,517.7619902609779
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.6860746076369455,517.5293391513051,447.98394388935543,537.5415405995908
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.7347195038075549,538.8757300652155,478.07849481614727,560.9694732164417
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.7833643999781643,565.5358575492198,498.5769743694244,585.1707515720022
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.8320092961487737,588.2671408672164,517.1110318396977,602.5873946439879
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.8806541923193831,603.7511483675157,535.1027216220863,616.3803998071247
DIGIT,ball8,diameter_px,hardness,hard,3,depth_mm,0.9292990884899925,613.7097818759081,548.3595028346921,633.2718535001243
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.1509807497602422,206.10591714695448,179.0111814476179,209.66755383196
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.19962564593085158,255.3507309044969,238.67828186930512,256.1784151018966
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.248270542101461,283.85919006091956,272.30635771523237,286.0413148640171
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.2969154382720704,310.712280822543,305.10674936376006,315.9042146261377
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.3455603344426798,354.3993922339624,336.14668768157594,359.53475883381145
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.39420523061328916,393.0739887042046,363.0285463524008,394.24684241487387
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.44285012678389857,421.1114652216656,394.68936207184373,423.6403660195456
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.491495022954508,449.1489417391265,426.3501777912867,453.0338896242173
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.5401399191251174,466.8491276950369,444.02119630304617,477.0134908055072
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.5887848152957268,470.9566783655888,450.2901078309259,496.04250044341717
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.6374297114663362,497.57345144322835,479.89412726359245,518.4572418638948
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.6860746076369455,524.1902245208678,509.49814669625897,540.8719832843722
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.7347195038075549,567.7412364479709,547.5692855536574,575.4022264078193
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.7833643999781643,583.974108912644,548.2948191352368,594.3898772537144
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.8320092961487737,598.7723200543433,565.3840342429257,607.8399842375513
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.8806541923193831,613.5705311960426,582.4732493506147,621.2900912213881
DIGIT,ball8,diameter_px,thickness_mm,1,3,depth_mm,0.9292990884899925,639.8676220145003,605.3119042966828,646.3507735694204
DIGIT,ball8,diameter_px,thickness_mm,2,3,depth_mm,0.1509807497602422,205.9279597965882,163.3924093099472,262.021925816914
