sensor,probe,density_px_per_mm2,mae_mm
medium_1mm_r1,cyl4,1347.7966131149203,0.0401779227442468
medium_1mm_r1,cyl4,2399.8282096936555,0.04004638497898228
medium_1mm_r1,cyl4,5391.186452459681,0.043392245519849125
medium_1mm_r1,cyl4,12130.169518034287,0.04127900232741486
medium_2mm_r1,cyl4,0.17367109773304965,0.129914453058273
medium_2mm_r1,cyl4,0.6946843909321986,0.08040883087390328
medium_2mm_r1,cyl4,2.7787375637287943,0.04882234850968462
medium_2mm_r1,cyl4,6.252159518389789,0.05134212539911807
medium_2mm_r1,cyl4,17.367109773304964,0.04986135572265129
medium_2mm_r1,cyl4,69.46843909321986,0.05190300293336849
medium_2mm_r1,cyl4,277.8737563728794,0.05174237555583854
medium_2mm_r1,cyl4,492.45525206567055,0.05152432779541157
medium_2mm_r1,cyl4,1111.4950254915177,0.044184152074858936
medium_2mm_r1,cyl4,1979.0798486605756,0.04337326378942075
medium_2mm_r1,cyl4,4445.980101966071,0.050517720829154435
medium_2mm_r1,cyl4,10003.45522942366,0.047004359501804316
medium_3mm_r1,cyl4,0.1366479789414849,0.1414743436349582
medium_3mm_r1,cyl4,0.5465919157659396,0.07937188482266179
medium_3mm_r1,cyl4,2.1863676630637583,0.07233308999222031
medium_3mm_r1,cyl4,4.919327241893458,0.07781258764099588
medium_3mm_r1,cyl4,13.66479789414849,0.07857450859975329
medium_3mm_r1,cyl4,54.65919157659396,0.08077838810514919
medium_3mm_r1,cyl4,218.63676630637585,0.07920632155966276
medium_3mm_r1,cyl4,387.47388478726435,0.07853454443048943
medium_3mm_r1,cyl4,874.5470652255034,0.06775812366234246
medium_3mm_r1,cyl4,1557.1805845263752,0.06667750560866777
medium_3mm_r1,cyl4,3498.1882609020136,0.08116853328775875
medium_3mm_r1,cyl4,7870.9235870295315,0.07535914795827384
soft_1mm_r2,cyl4,0.20803524288340983,0.1076332867458228
soft_1mm_r2,cyl4,0.8321409715336393,0.07298971882190071
soft_1mm_r2,cyl4,3.3285638861345572,0.05755017065642026
soft_1mm_r2,cyl4,7.4892687438027545,0.04749943863488978
soft_1mm_r2,cyl4,20.803524288340984,0.046353435510600456
soft_1mm_r2,cyl4,83.21409715336394,0.04466399028321594
soft_1mm_r2,cyl4,332.85638861345575,0.04428811842620859
soft_1mm_r2,cyl4,589.8969333985889,0.04389711250946545
soft_1mm_r2,cyl4,1331.425554453823,0.042304437906400594
soft_1mm_r2,cyl4,2370.678612480577,0.041909362177904676
soft_1mm_r2,cyl4,5325.702217815292,0.04411440372552102
soft_1mm_r2,cyl4,11982.829990084407,0.04329598724927133
soft_2mm_r1,cyl4,0.1832714063117097,0.13413306284927096
soft_2mm_r1,cyl4,0.7330856252468388,0.11403429777903124
soft_2mm_r1,cyl4,2.9323425009873554,0.08950463579577968
soft_2mm_r1,cyl4,6.597770627221551,0.0843979721539494
soft_2mm_r1,cyl4,18.327140631170973,0.0876431799454765
soft_2mm_r1,cyl4,73.3085625246839,0.08749752858259245
soft_2mm_r1,cyl4,293.2342500987356,0.08729695522763298
