sensor,width_px,height_px,split,seed,fx_mae,fy_mae,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds,hardness,thickness_mm,suspect_hardware,density_px_per_mm2
hard_1mm_r1,854,480,cycle,1,0.0187645237892866,0.0207424499094486,0.0325408540666103,0.0390776395797729,0.1901154965162277,0.985137403011322,0.0225567426532506,0.1297188848257064,0.9670075178146362,0.0198500044643878,0.0330012962222099,119,55,none,1,595,231,174,1.991030097007752,0.0005440679378807,0.0005706986994482,0.0001132577090174,30,30,29,0.1900357879510446,0.2277683447965811,64,16,4,45.9,hard,1,False,1864.2516903914163
hard_1mm_r1,854,480,cycle,2,0.02106106095016,0.0240931157022714,0.036601535975933,0.0475836284458637,0.1901154965162277,0.9779629707336426,0.0250927992165088,0.1297188848257064,0.9606582522392272,0.02578891441226,0.0379954017698764,119,55,none,1,595,231,174,1.991030097007752,0.0008267203811556,0.0006712980102747,0.0001179866958409,30,30,27,0.1872443902392347,0.253341260926548,64,16,4,46.1,hard,1,False,1864.2516903914163
hard_1mm_r1,1280,720,cycle,0,0.0213777069002389,0.0195578280836343,0.0409855954349041,0.0536185465753078,0.1901154965162277,0.9720186591148376,0.0204424802213907,0.1297188848257064,0.9702049493789672,0.0239318311214447,0.0547048673033714,119,55,none,1,595,231,174,1.991030097007752,0.0005165062029846,0.0004892903962172,0.0001134680060204,30,30,28,0.1452648373211131,0.225738470430498,64,8,8,103.1,hard,1,False,4188.019966019251
hard_1mm_r1,1280,720,cycle,1,0.0187844149768352,0.0258479509502649,0.0495766401290893,0.0599654130637645,0.1901154965162277,0.9650022983551024,0.0229890625923872,0.1297188848257064,0.9652572274208068,0.0255425255745649,0.0677152127027511,119,55,none,1,595,231,174,1.991030097007752,0.0005898675881326,0.0004523960815276,0.0001245370949618,30,30,26,0.156362686437719,0.2378827028976374,64,8,8,100.0,hard,1,False,4188.019966019251
hard_1mm_r1,1280,720,cycle,2,0.0259706620126962,0.0202525705099105,0.0369007065892219,0.0437425039708614,0.1901154965162277,0.9813771843910216,0.0242411103099584,0.1297188848257064,0.9640156030654908,0.0239487290382385,0.0356694795191288,119,55,none,1,595,231,174,1.991030097007752,0.0004893914447166,0.0005985539755783,0.0001087505443138,30,30,30,0.153532557627734,0.2404351765975291,64,8,8,99.8,hard,1,False,4188.019966019251
hard_1mm_r1,1920,1080,cycle,0,0.0166076887398958,0.0180617589503526,0.0261951927095651,0.0326025374233722,0.1901154965162277,0.989654779434204,0.0217281207442283,0.1297188848257064,0.967985987663269,0.0228417683392763,0.0304377917200326,119,55,none,1,595,231,174,1.991030097007752,0.0006830962956883,0.0003589489788282,0.0001219667028635,30,30,23,0.1686570769097624,0.2214979090731897,64,4,16,234.8,hard,1,False,9423.044923543315
hard_1mm_r1,1920,1080,cycle,1,0.0162701178342103,0.0287072025239467,0.0304008014500141,0.0379901230335235,0.1901154965162277,0.985953152179718,0.0314816311001777,0.1297188848257064,0.9223119020462036,0.0339810587465763,0.0261109452694654,119,55,none,1,595,231,174,1.991030097007752,0.0008168362546712,0.000419616815634,0.0001026480313157,30,30,30,0.1583508219037737,0.2396840687954064,64,4,16,232.4,hard,1,False,9423.044923543315
hard_1mm_r1,1920,1080,cycle,2,0.021489318460226,0.0286279786378145,0.0421877577900886,0.0516457110643386,0.1901154965162277,0.974039912223816,0.0304497964680194,0.1297188848257064,0.9396488070487976,0.0327788703143596,0.0421071909368038,119,55,none,1,595,231,174,1.991030097007752,0.0008734466973692,0.0004621923435479,0.0001058557754731,30,30,27,0.209873081856415,0.259143958102057,64,4,16,229.6,hard,1,False,9423.044923543315
hard_2mm_r1,8,5,cycle,0,0.0528147481381893,0.0437445789575576,0.1014673560857772,0.161592960357666,0.2261359244585037,0.7378071546554565,0.055390328168869,0.1268109083175659,0.7925037741661072,0.0666925534605979,0.2032403498888015,81,46,none,1,703,170,127,1.6808600425720217,0.0013845934299752,0.001073800609447,0.0001416967425029,30,30,26,0.3086701850294219,0.297681999206543,64,64,1,3.8,hard,2,False,0.13755197964550997
hard_2mm_r1,8,5,cycle,1,0.0533484406769275,0.0398599170148372,0.0766839459538459,0.0942987650632858,0.2261359244585037,0.9107130765914916,0.0578996911644935,0.1268109083175659,0.6995091438293457,0.0806492790579795,0.1112364754080772,81,46,none,1,703,170,127,1.6808600425720217,0.0010758683783933,0.001449474482797,0.0001701446162769,30,30,29,0.2897292350128738,0.3179993292864631,64,64,1,2.1,hard,2,False,0.13755197964550997
hard_2mm_r1,8,5,cycle,2,0.0283459853380918,0.0537646375596523,0.0614200048148632,0.0776989981532096,0.2261359244585037,0.9393813014030457,0.0580035112798213,0.1268109083175659,0.7199678421020508,0.0466985628008842,0.0920729637145996,81,46,none,1,703,170,127,1.6808600425720217,0.0015552256954833,0.0009342659031972,0.0001707549672573,30,30,30,0.2776296365990238,0.3125946044921875,64,64,1,2.1,hard,2,False,0.13755197964550997
hard_2mm_r1,16,9,cycle,0,0.0298150684684515,0.0294995624572038,0.0503467433154583,0.0631126388907432,0.2261359244585037,0.96000474691391,0.0300698205828666,0.1268109083175659,0.9330753087997437,0.0388844981789588,0.0501857846975326,81,46,none,1,703,170,127,1.6808600425720217,0.0009522013133391,0.0007904531667008,0.0001656227541388,30,30,23,0.345412744058145,0.2813375024234547,64,64,1,3.6,hard,2,False,0.5502079185820399
hard_2mm_r1,16,9,cycle,1,0.0231879614293575,0.0193613208830356,0.0426948778331279,0.0540215708315372,0.2261359244585037,0.9706971049308776,0.0239386111497879,0.1268109083175659,0.9597559571266174,0.0287400931119918,0.0436018854379653,81,46,none,1,703,170,127,1.6808600425720217,0.0005348216509446,0.0007530785514973,0.0001836734154494,30,30,30,0.2217410048244688,0.2548019409179687,64,64,1,2.2,hard,2,False,0.5502079185820399
hard_2mm_r1,16,9,cycle,2,0.0440460555255413,0.0358806960284709,0.072888545691967,0.0917663648724556,0.2261359244585037,0.9154442548751832,0.0457475669682025,0.1268109083175659,0.8488127589225769,0.0612240359187126,0.0680245906114578,81,46,none,1,703,170,127,1.6808600425720217,0.0006582056521438,0.0011159408604726,0.0001866783131845,30,30,28,0.2670455324870254,0.2814407909617704,64,64,1,2.1,hard,2,False,0.5502079185820399
hard_2mm_r1,32,18,cycle,0,0.0286515168845653,0.0356128811836242,0.0624919272959232,0.0969667583703994,0.2261359244585037,0.90558922290802,0.0379559323191642,0.1268109083175659,0.8922433853149414,0.0318580754101276,0.0453524552285671,81,46,none,1,703,170,127,1.6808600425720217,0.001044858363457,0.0006608959520235,0.0001591655454831,30,30,28,0.2631179787865065,0.2567474926219267,64,64,1,3.2,hard,2,False,2.2008316743281595
