sensor,probe,width_px,mae_mm,suspect_hardware
hard_3mm_r1,cyl4,32,0.1543524231013952,False
hard_3mm_r1,cyl4,48,0.0893258687820575,False
hard_3mm_r1,cyl4,80,0.0934819353328196,False
hard_3mm_r1,cyl4,160,0.0990396048664431,False
hard_3mm_r1,cyl4,320,0.0906406880871502,False
hard_3mm_r1,cyl4,426,0.0925034895950934,False
hard_3mm_r1,cyl4,640,0.0816346241158956,False
hard_3mm_r1,cyl4,854,0.0748999699120105,False
hard_3mm_r1,cyl4,1280,0.0598917535981201,False
hard_3mm_r1,cyl4,1920,0.0476677572690695,False
hard_3mm_r1,cube4,8,0.6036786101448287,False
hard_3mm_r1,cube4,16,0.2232223780622965,False
hard_3mm_r1,cube4,32,0.1682362456806251,False
hard_3mm_r1,cube4,48,0.087681537463044,False
hard_3mm_r1,cube4,80,0.0819457639532377,False
hard_3mm_r1,cube4,160,0.0818827705360541,False
hard_3mm_r1,cube4,320,0.0801755547426233,False
hard_3mm_r1,cube4,426,0.076140334261168,False
hard_3mm_r1,cube4,640,0.0661074901523281,False
hard_3mm_r1,cube4,854,0.0618794321916589,False
hard_3mm_r1,cube4,1280,0.0522538944050262,False
hard_3mm_r1,cube4,1920,0.0520215237989542,False
