sensor,scale_source,downscale,px_per_mm,zero_shift_mm,zero_shift_source,grey_levels_used,mm_per_grey_level,ball_deepest_mm,cyl4_raw_bias,cyl4_raw_mae,cyl4_raw_bias_deep,cyl4_raw_mae_deep,cyl4_raw_slope,cyl4_raw_rms_after_linear,cyl4_raw_size,cyl4_raw_size_err,cyl4_raw_flat,cyl4_corrected_bias,cyl4_corrected_mae,cyl4_corrected_bias_deep,cyl4_corrected_mae_deep,cyl4_corrected_slope,cyl4_corrected_rms_after_linear,cyl4_corrected_size,cyl4_corrected_size_err,cyl4_corrected_flat,cube4_raw_bias,cube4_raw_mae,cube4_raw_bias_deep,cube4_raw_mae_deep,cube4_raw_slope,cube4_raw_rms_after_linear,cube4_raw_size,cube4_raw_size_err,cube4_raw_flat,cube4_raw_squareness,cube4_raw_angle_deg,cube4_corrected_bias,cube4_corrected_mae,cube4_corrected_bias_deep,cube4_corrected_mae_deep,cube4_corrected_slope,cube4_corrected_rms_after_linear,cube4_corrected_size,cube4_corrected_size_err,cube4_corrected_flat,cube4_corrected_squareness,cube4_corrected_angle_deg,width_px,height_px,error,suspect_hardware,density_px_per_mm2
hard_1mm_r1,own,120.0,0.7818595010541846,0.1359381356364863,own,11,0.0652890860242242,0.7181799462664671,-0.3218665760880673,0.3218665760880673,-0.4084332889551255,0.4084332889551255,0.1353240841684964,0.0037408910367776,,,0.0,-0.2842552519678578,0.2842552519678578,-0.3688821127661462,0.3688821127661462,0.1595741590512142,0.0074895617325968,6.807033119150467,2.807033119150467,0.0,-0.3250211103081669,0.3250211103081669,-0.4091201007639267,0.4091201007639267,0.1726075980710413,0.0066840372482929,,,0.0,,,-0.2873583524371152,0.2873583524371152,-0.3708915049017616,0.3708915049017616,0.1928204554292914,0.0114377849904097,6.821344917011786,2.8213449170117864,0.0,1.0,90.0,16,9,,False,0.6543781196905081
hard_1mm_r1,own,227.6839915321233,0.4120761389290072,0.1359381356364863,own,3,0.2393933154221557,0.7181799462664671,-0.5096259926410522,0.5096259926410522,-0.6100341183467105,0.6100341183467105,1.4139144830954183e-16,2.9979448083323847e-17,,,0.0,-0.5096259926410522,0.5096259926410522,-0.6100341183467105,0.6100341183467105,1.4139144830954183e-16,2.9979448083323847e-17,,,0.0,-0.5143516367805466,0.5143516367805466,-0.6142390435368963,0.6142390435368963,-1.213508267616529e-16,4.939140879637368e-17,,,0.0,,,-0.5143516367805466,0.5143516367805466,-0.6142390435368963,0.6142390435368963,-1.213508267616529e-16,4.939140879637368e-17,,,0.0,,,8,5,,False,0.16359452992262702
hard_2mm_r1,own,1.0,83.65845408788799,0.2858754465455071,own,19,0.0458644514671512,0.8714245778758745,-0.1282231596685247,0.1282231596685247,-0.1382859212560925,0.1382859212560925,0.9277236136138858,0.0189182756578348,3.799345571331698,-0.2006544286683018,0.0299690109160211,-0.0424352464756332,0.0523541002159415,-0.0124640514357361,0.0273423320461985,1.2702835663961172,0.024140555954248,3.927404110521121,-0.0725958894788791,0.0338095656285683,-0.1053855465301681,0.1053855465301681,-0.1032963460022679,0.1032963460022679,0.9942159775074464,0.0242730070259209,4.53159681720954,0.5315968172095404,0.0266111131447056,0.9946475484637878,73.3007583618164,-0.0141955577868871,0.0624710770180237,0.0292088548010119,0.043204424045693,1.3281816340798285,0.0413312319578979,4.708301516830159,0.7083015168301587,0.0281741533738871,0.987558747092776,80.17227935791016,1920,1080,,False,7922.994027581375
hard_2mm_r1,own,1.5,55.77230272525864,0.2858754465455071,own,18,0.0484124765486596,0.8714245778758745,-0.1129866588109198,0.1129866588109198,-0.115913789709754,0.115913789709754,1.003609913716131,0.0227808707458767,3.779852671349348,-0.2201473286506519,0.0273585549245278,-0.0220711910138656,0.0604315846283826,0.0157125654415813,0.0418280249801942,1.3417002553703818,0.0278035847171023,3.941410164190773,-0.0585898358092271,0.0294127682637837,-0.0918558312370034,0.0918558312370034,-0.0833403682047597,0.0833403682047597,1.04472337843797,0.0310001248167297,4.483142426927516,0.4831424269275155,0.0243802557233721,0.98776913490672,79.33021545410156,0.0037928790296835,0.0699130314336257,0.0542439082926043,0.0563149574023596,1.3723725259110011,0.0484506823491113,4.706554761151811,0.7065547611518106,0.0247965183419485,0.9919308990621264,82.73676300048828,1280,720,,False,3521.330678925055
hard_2mm_r1,own,2.249121608399084,37.196056351722014,0.2858754465455071,own,18,0.0484124765486596,0.8714245778758745,-0.104498497580253,0.104498497580253,-0.1042923964464141,0.1042923964464141,1.027091075057621,0.0266993562699648,3.772189810929981,-0.227810189070019,0.0254050722190489,-0.0154349276251391,0.0648725365138312,0.0265880624549117,0.0475683508781263,1.365598688364634,0.0336339732965195,3.945806865360126,-0.054193134639874,0.0264355490087635,-0.0838358093619249,0.0838358093619249,-0.0721823749775163,0.0721823749775163,1.0583884986169083,0.0382249155250679,4.4388778161963565,0.4388778161963564,0.0222200674470514,0.9923261536905588,86.3086166381836,0.0104709216913926,0.0752952063010159,0.0643245959943064,0.0643245959943064,1.3789118568212777,0.0564304394786998,4.6675231519511655,0.6675231519511655,0.0222798514878377,0.9944816327523164,81.25383758544922,854,480,,False,1567.482181049137
hard_2mm_r1,own,3.0,27.88615136262933,0.2858754465455071,own,17,0.0512602692868161,0.8714245778758745,-0.1015782621765431,0.1015782621765431,-0.0988883767181111,0.0988883767181111,1.05431965263591,0.0269345646676793,3.74720720865542,-0.25279279134458,0.0254045322589162,-0.0069993555415136,0.0687229817686405,0.0373823332385745,0.0552031061021158,1.387677232421924,0.0339208919419942,3.942535712233171,-0.0574642877668289,0.0259965883386838,-0.0803325991013921,0.0803325991013921,-0.0667412345940343,0.0667412345940343,1.0769165575702258,0.0405922240073966,4.39390367331593,0.39390367331593,0.0236621539418896,0.9881165574288248,90.0,0.0190257095320868,0.081402584896835,0.0753212208216913,0.0753212208216913,1.39677658069873,0.0585223406930422,4.616301988829052,0.6163019888290515,0.0236814357340335,0.994736202570761,81.46923065185547,640,360,,False,880.3326697312638
hard_2mm_r1,own,4.503519750244809,18.576237860029444,0.2858754465455071,own,17,0.0512602692868161,0.8714245778758745,-0.1007226344481239,0.1007226344481239,-0.0950386573775085,0.0950386573775085,1.0802929993428936,0.0300119088844405,3.6998475752688353,-0.3001524247311646,0.0240958814845523,-7.104512239128336e-05,0.0717227223179002,0.0474130734897183,0.0600644423035451,1.4055104513178014,0.0378151065681421,3.9223297123711287,-0.0776702876288712,0.0242943874489153,-0.0755695400549622,0.0755695400549622,-0.0590894771451226,0.0590894771451226,1.1036966931025824,0.0401550914263773,4.341223232887498,0.341223232887498,0.0189234324207063,0.9849217879660132,90.0,0.0293003346049634,0.0901126153631531,0.0895597124760874,0.0895597124760874,1.4224690511086642,0.0591004351230523,4.599093000625699,0.5990930006256994,0.0189283002449277,0.9987179548965014,80.53767395019531,426,240,,False,390.03723528357153
hard_2mm_r1,own,6.0,13.943075681314664,0.2858754465455071,own,17,0.0512602692868161,0.8714245778758745,-0.0975424545996847,0.0975424545996847,-0.0912214461618138,0.0912214461618138,1.077443063795774,0.0339977346205336,3.68748753456519,-0.3125124654348101,0.0248859415037764,-0.0027078313622338,0.0738884653796518,0.046256609270625,0.0605143417555019,1.4072023497094932,0.0437301893301557,3.8945935468306607,-0.1054064531693392,0.0249132852639175,-0.0760217365521219,0.0760217365521219,-0.0589466197127572,0.0589466197127572,1.0987646330294103,0.0437512906973657,4.329064659444834,0.3290646594448336,0.0165723554625098,0.9820300146822564,90.0,0.0232888719897814,0.0889394135699692,0.084171214169813,0.084171214169813,1.4150817547028554,0.0635004574028269,4.55848650684401,0.5584865068440097,0.0165723492148875,0.9938253390898164,81.8698959350586,320,180,,False,220.08316743281594
hard_2mm_r1,own,12.0,6.971537840657332,0.2858754465455071,own,16,0.0544640361172421,0.8714245778758745,-0.0981199309927022,0.0981199309927022,-0.092869497826047,0.092869497826047,1.0701478981163353,0.0320866187322849,3.5430310086015577,-0.4569689913984422,0.0195245187367416,0.0004830751491788,0.069960697363111,0.0469049202995029,0.058760738468932,1.3851161023498135,0.0398517111376049,3.761782848085546,-0.238217151914454,0.0195769272072033,-0.0776205649855139,0.0776205649855139,-0.0601154891485444,0.0601154891485444,1.1079283378152405,0.0418143293923535,4.231491053230589,0.2314910532305889,0.0158168182630712,0.9664421997755333,90.0,0.0247636306775209,0.0881602013503286,0.0846928740208872,0.0846928740208872,1.414148134817418,0.0605361885517018,4.503909245597914,0.5039092455979137,0.0158175283965344,0.973394190177355,90.0,160,90,,False,55.020791858203985
hard_2mm_r1,own,24.0,3.4857689203286664,0.2858754465455071,own,16,0.0544640361172421,0.8714245778758745,-0.1333283572016619,0.1333283572016619,-0.1420639709784063,0.1420639709784063,0.9485637389379444,0.026495154803157,3.270124186018366,-0.7298758139816339,0.0200957441702485,-0.0376406023355122,0.0584010875068769,-0.00335234651004,0.034493074267087,1.3012059594668748,0.0330295015169472,3.4507541343687875,-0.5492458656312125,0.0225309648861487,-0.1024504749670527,0.1024504749670527,-0.0947157954508534,0.0947157954508534,1.0338302311233991,0.036013798688192,3.920703574744726,-0.0792964252552739,0.0149960067744056,0.953525641025641,90.0,0.0025790179823932,0.0706150499813033,0.0548955509727724,0.0548955509727724,1.367411117092414,0.054198558191226,4.159770865887697,0.1597708658876966,0.0154878843265275,0.9791666666666666,90.0,80,45,,False,13.755197964550996
