sensor,hardness,thickness_mm,width_px,density_px_per_mm2,mae_N,principle,measure
medium_2mm_r1,medium,2,48,6.252159518389789,0.0527112632989883,DIGIT,fz_mae
medium_2mm_r1,medium,2,80,17.367109773304964,0.0471034236252307,DIGIT,fz_mae
medium_2mm_r1,medium,2,160,69.46843909321986,0.0643880143761634,DIGIT,fz_mae
medium_2mm_r1,medium,2,320,277.8737563728794,0.0799062028527259,DIGIT,fz_mae
medium_2mm_r1,medium,2,426,492.45525206567055,0.0608136467635631,DIGIT,fz_mae
medium_2mm_r1,medium,2,640,1111.4950254915177,0.0500352792441844,DIGIT,fz_mae
medium_2mm_r1,medium,2,854,1979.0798486605756,0.0659013614058494,DIGIT,fz_mae
medium_2mm_r1,medium,2,1280,4445.980101966071,0.0584935210645198,DIGIT,fz_mae
medium_2mm_r1,medium,2,1920,10003.45522942366,0.0650877207517623,DIGIT,fz_mae
medium_3mm_r1,medium,3,8,0.1366479789414849,0.091092400252819,DIGIT,fz_mae
medium_3mm_r1,medium,3,16,0.5465919157659396,0.054614495486021,DIGIT,fz_mae
medium_3mm_r1,medium,3,32,2.1863676630637583,0.0471968874335289,DIGIT,fz_mae
medium_3mm_r1,medium,3,48,4.919327241893458,0.0550413466989994,DIGIT,fz_mae
medium_3mm_r1,medium,3,80,13.66479789414849,0.0514845550060272,DIGIT,fz_mae
medium_3mm_r1,medium,3,160,54.65919157659396,0.070879153907299,DIGIT,fz_mae
medium_3mm_r1,medium,3,320,218.63676630637585,0.0460463054478168,DIGIT,fz_mae
medium_3mm_r1,medium,3,426,387.47388478726435,0.0500070936977863,DIGIT,fz_mae
medium_3mm_r1,medium,3,640,874.5470652255034,0.0474563464522361,DIGIT,fz_mae
medium_3mm_r1,medium,3,854,1557.1805845263752,0.0479403473436832,DIGIT,fz_mae
medium_3mm_r1,medium,3,1280,3498.1882609020136,0.0683902502059936,DIGIT,fz_mae
medium_3mm_r1,medium,3,1920,7870.9235870295315,0.0472635626792907,DIGIT,fz_mae
soft_1mm_r2,soft,1,8,0.20803524288340983,0.1425420492887497,DIGIT,fz_mae
soft_1mm_r2,soft,1,16,0.8321409715336393,0.1275737881660461,DIGIT,fz_mae
soft_1mm_r2,soft,1,32,3.3285638861345572,0.1169896349310875,DIGIT,fz_mae
soft_1mm_r2,soft,1,48,7.4892687438027545,0.0943231955170631,DIGIT,fz_mae
soft_1mm_r2,soft,1,80,20.803524288340984,0.090093232691288,DIGIT,fz_mae
soft_1mm_r2,soft,1,160,83.21409715336394,0.0954602435231208,DIGIT,fz_mae
soft_1mm_r2,soft,1,320,332.85638861345575,0.1070594191551208,DIGIT,fz_mae
soft_1mm_r2,soft,1,426,589.8969333985889,0.0911850184202194,DIGIT,fz_mae
soft_1mm_r2,soft,1,640,1331.425554453823,0.0929030030965805,DIGIT,fz_mae
soft_1mm_r2,soft,1,854,2370.678612480577,0.0930048078298568,DIGIT,fz_mae
soft_1mm_r2,soft,1,1280,5325.702217815292,0.1005390882492065,DIGIT,fz_mae
soft_1mm_r2,soft,1,1920,11982.829990084407,0.0973280072212219,DIGIT,fz_mae
soft_2mm_r1,soft,2,8,0.1832714063117097,0.143415167927742,DIGIT,fz_mae
soft_2mm_r1,soft,2,16,0.7330856252468388,0.0906933546066284,DIGIT,fz_mae
soft_2mm_r1,soft,2,32,2.9323425009873554,0.0559007674455642,DIGIT,fz_mae
soft_2mm_r1,soft,2,48,6.597770627221551,0.0596387758851051,DIGIT,fz_mae
soft_2mm_r1,soft,2,80,18.327140631170973,0.0569243431091308,DIGIT,fz_mae
soft_2mm_r1,soft,2,160,73.3085625246839,0.0549656488001346,DIGIT,fz_mae
soft_2mm_r1,soft,2,320,293.2342500987356,0.0508651807904243,DIGIT,fz_mae
soft_2mm_r1,soft,2,426,519.6775270597474,0.0487581752240657,DIGIT,fz_mae
soft_2mm_r1,soft,2,640,1172.9370003949423,0.0741347894072532,DIGIT,fz_mae
soft_2mm_r1,soft,2,854,2088.480765087983,0.0565136112272739,DIGIT,fz_mae
