sensor,width_px,mae,thickness_mm,hardness,density_px_per_mm2,principle,probe
medium_1mm_r1,160,0.1696046250006971,1,medium,61.434595478942036,9DTact,cube4
medium_1mm_r1,80,0.1687495059600035,1,medium,15.358648869735509,9DTact,cube4
medium_1mm_r1,48,0.1617855977231847,1,medium,5.529113593104783,9DTact,cube4
medium_1mm_r1,32,0.130138445998554,1,medium,2.4573838191576813,9DTact,cube4
medium_1mm_r1,16,0.282502061381943,1,medium,0.6143459547894203,9DTact,cube4
medium_1mm_r1,8,0.2000041778418293,1,medium,0.15358648869735508,9DTact,cube4
medium_2mm_r2,1920,0.0492800402931567,2,medium,7829.520925311901,9DTact,cube4
medium_2mm_r2,1280,0.0582139125915777,2,medium,3479.787077916401,9DTact,cube4
medium_2mm_r2,854,0.061717988322418,2,medium,1548.989497386278,9DTact,cube4
medium_2mm_r2,640,0.0783149535290043,2,medium,869.9467694791002,9DTact,cube4
medium_2mm_r2,426,0.0750725428188472,2,medium,385.43569320798133,9DTact,cube4
medium_2mm_r2,320,0.0813729790986742,2,medium,217.48669236977506,9DTact,cube4
medium_2mm_r2,160,0.085651016394515,2,medium,54.371673092443764,9DTact,cube4
medium_2mm_r2,80,0.0769238208382117,2,medium,13.592918273110941,9DTact,cube4
medium_2mm_r2,48,0.0871419107876686,2,medium,4.893450578319937,9DTact,cube4
medium_2mm_r2,32,0.2157317669443754,2,medium,2.1748669236977505,9DTact,cube4
medium_2mm_r2,16,0.1732532334510796,2,medium,0.5437167309244376,9DTact,cube4
medium_3mm_r1,1920,0.1078546111436663,3,medium,6768.624440645542,9DTact,cube4
medium_3mm_r1,1280,0.0910389052979129,3,medium,3008.2775291757966,9DTact,cube4
medium_3mm_r1,854,0.0774160728133696,3,medium,1339.1021328542329,9DTact,cube4
medium_3mm_r1,640,0.0676092649411475,3,medium,752.0693822939492,9DTact,cube4
medium_3mm_r1,426,0.0711828139517764,3,medium,333.20933403607586,9DTact,cube4
medium_3mm_r1,320,0.0719649567123704,3,medium,188.0173455734873,9DTact,cube4
medium_3mm_r1,160,0.0779813581810631,3,medium,47.00433639337182,9DTact,cube4
medium_3mm_r1,80,0.0883611709512989,3,medium,11.751084098342956,9DTact,cube4
medium_3mm_r1,48,0.0962019229208167,3,medium,4.230390275403463,9DTact,cube4
medium_3mm_r1,32,0.1008074605847456,3,medium,1.880173455734873,9DTact,cube4
medium_3mm_r1,16,0.5559788525131137,3,medium,0.47004336393371826,9DTact,cube4
soft_1mm_r1,1920,0.172085921367327,1,soft,9974.3232518864,9DTact,cube4
soft_1mm_r1,1280,0.1502816033801135,1,soft,4433.032556393956,9DTact,cube4
soft_1mm_r1,854,0.1334236449813541,1,soft,1973.316389098519,9DTact,cube4
soft_1mm_r1,640,0.1118842763117519,1,soft,1108.258139098489,9DTact,cube4
soft_1mm_r1,426,0.100109468350311,1,soft,491.02112805429056,9DTact,cube4
soft_1mm_r1,320,0.1001822252883486,1,soft,277.06453477462225,9DTact,cube4
soft_1mm_r1,160,0.102033800361115,1,soft,69.26613369365556,9DTact,cube4
soft_1mm_r1,80,0.1221923272776825,1,soft,17.31653342341389,9DTact,cube4
soft_1mm_r1,48,0.1407284522316179,1,soft,6.233952032429001,9DTact,cube4
soft_1mm_r1,32,0.2033367869718188,1,soft,2.7706453477462225,9DTact,cube4
soft_1mm_r1,16,0.4093419430833698,1,soft,0.6926613369365556,9DTact,cube4
soft_2mm_r1,1920,0.1665772598155381,2,soft,7861.5202035152115,9DTact,cube4
soft_2mm_r1,1280,0.1545948940713497,2,soft,3494.008979340094,9DTact,cube4
soft_2mm_r1,854,0.1479252204683216,2,soft,1555.3202226418462,9DTact,cube4
soft_2mm_r1,640,0.1327474642020464,2,soft,873.5022448350235,9DTact,cube4
soft_2mm_r1,426,0.1291981902536385,2,soft,387.01097017500166,9DTact,cube4
soft_2mm_r1,320,0.1216844701236951,2,soft,218.37556120875587,9DTact,cube4
soft_2mm_r1,160,0.1116601575448624,2,soft,54.59389030218897,9DTact,cube4
soft_2mm_r1,80,0.0985419290001031,2,soft,13.648472575547242,9DTact,cube4
soft_2mm_r1,48,0.0854609919193575,2,soft,4.913450127197007,9DTact,cube4
soft_2mm_r1,32,0.15484111893819,2,soft,2.183755612087559,9DTact,cube4
soft_2mm_r1,16,0.3087060035236176,2,soft,0.5459389030218897,9DTact,cube4
soft_3mm_r1,1920,0.0483916188254245,3,soft,6442.523942935493,9DTact,cube4
soft_3mm_r1,1280,0.0472806973905927,3,soft,2863.3439746379963,9DTact,cube4
soft_3mm_r1,854,0.0498487920712993,3,soft,1274.5865321088163,9DTact,cube4
soft_3mm_r1,640,0.0526563078659952,3,soft,715.8359936594991,9DTact,cube4
soft_3mm_r1,426,0.0561669154240389,3,soft,317.15589058923655,9DTact,cube4
