unit,width_px,x_mm,depth_mm,true_mm
medium_3mm_r2,320,9.309226728137459,0.005067646,0.4827593278419329
medium_3mm_r2,320,9.376684892834106,0.004998786,0.4827593278419329
medium_3mm_r2,320,9.444143057530754,0.004930987,0.4827593278419329
medium_3mm_r2,320,9.511601222227403,0.004864198,0.4827593278419329
medium_3mm_r2,320,9.579059386924051,0.0047983713,0.4827593278419329
medium_3mm_r2,320,9.646517551620699,0.00473346,0.4827593278419329
medium_3mm_r2,320,9.713975716317348,0.0046694195,0.4827593278419329
medium_3mm_r2,320,9.781433881013996,0.0046062074,0.4827593278419329
medium_3mm_r2,320,9.848892045710643,0.004543783,0.4827593278419329
medium_3mm_r2,320,9.916350210407293,0.0044821077,0.4827593278419329
medium_3mm_r2,320,9.98380837510394,0.0044211447,0.4827593278419329
medium_3mm_r2,320,10.051266539800588,0.0043608574,0.4827593278419329
medium_3mm_r2,320,10.118724704497238,0.004301213,0.4827593278419329
medium_3mm_r2,320,10.186182869193885,0.0042421785,0.4827593278419329
medium_3mm_r2,320,10.253641033890533,0.004183722,0.4827593278419329
medium_3mm_r2,320,10.321099198587182,0.0041258144,0.4827593278419329
medium_3mm_r2,320,10.38855736328383,0.004068427,0.4827593278419329
medium_3mm_r2,320,10.456015527980478,0.0040115323,0.4827593278419329
medium_3mm_r2,320,10.523473692677127,0.003955104,0.4827593278419329
medium_3mm_r2,320,10.590931857373775,0.0038991182,0.4827593278419329
medium_3mm_r2,320,10.658390022070423,0.0038435503,0.4827593278419329
medium_3mm_r2,320,10.725848186767072,0.0037883774,0.4827593278419329
medium_3mm_r2,320,10.79330635146372,0.0037335781,0.4827593278419329
medium_3mm_r2,320,10.860764516160367,0.0036791314,0.4827593278419329
medium_3mm_r2,320,10.928222680857015,0.0036250176,0.4827593278419329
medium_3mm_r2,320,10.995680845553665,0.0035712172,0.4827593278419329
medium_3mm_r2,320,11.063139010250312,0.003517713,0.4827593278419329
medium_3mm_r2,320,11.13059717494696,0.0034644871,0.4827593278419329
medium_3mm_r2,320,11.19805533964361,0.0034115233,0.4827593278419329
medium_3mm_r2,320,11.265513504340257,0.003358806,0.4827593278419329
medium_3mm_r2,320,11.332971669036905,0.00330632,0.4827593278419329
medium_3mm_r2,320,11.400429833733554,0.0032540513,0.4827593278419329
medium_3mm_r2,320,11.467887998430202,0.0032019864,0.4827593278419329
medium_3mm_r2,320,11.53534616312685,0.0031501127,0.4827593278419329
medium_3mm_r2,320,11.602804327823499,0.003098418,0.4827593278419329
medium_3mm_r2,320,11.670262492520147,0.003046891,0.4827593278419329
