sensor,width_px,size_mm,shape
hard_1mm_r1,1920,4.133167443846698,cube4
hard_1mm_r1,1280,4.164604736804725,cube4
hard_1mm_r1,854,4.16913558082607,cube4
hard_1mm_r1,640,4.357300147108515,cube4
hard_1mm_r1,426,4.294616759868849,cube4
hard_1mm_r1,320,4.265586623584991,cube4
hard_1mm_r1,160,4.14690984213336,cube4
hard_1mm_r1,80,4.123554609207353,cube4
hard_1mm_r1,48,3.745181554441274,cube4
hard_1mm_r1,32,3.737306669205266,cube4
hard_1mm_r1,16,4.216054669170653,cube4
hard_1mm_r1,8,3.047791801371018,cube4
hard_1mm_r2,1920,4.819102130887548,cube4
hard_1mm_r2,1280,4.852839261403806,cube4
hard_1mm_r2,854,4.88081713686207,cube4
hard_1mm_r2,640,5.020722024074379,cube4
hard_1mm_r2,426,4.893293553642934,cube4
hard_1mm_r2,320,4.876763232291446,cube4
hard_1mm_r2,160,4.7420939932537856,cube4
hard_1mm_r2,80,4.666076016768489,cube4
hard_1mm_r2,48,4.685041328200868,cube4
hard_1mm_r2,32,4.911658965019462,cube4
hard_1mm_r2,16,4.33622218254938,cube4
hard_2mm_r1,1920,4.53159681720954,cube4
hard_2mm_r1,1280,4.532376870186071,cube4
hard_2mm_r1,854,4.539068130327332,cube4
hard_2mm_r1,640,4.750079729148945,cube4
hard_2mm_r1,426,4.7215842993241806,cube4
hard_2mm_r1,320,4.66800773220855,cube4
hard_2mm_r1,160,4.503909245597913,cube4
hard_2mm_r1,80,4.398838157030668,cube4
hard_2mm_r1,48,4.30321124057348,cube4
hard_2mm_r1,32,4.422744886144966,cube4
hard_2mm_r1,16,3.825076658287538,cube4
hard_2mm_r2,1920,4.321114997793251,cube4
hard_2mm_r2,1280,4.310959551979348,cube4
hard_2mm_r2,854,4.299448058296165,cube4
hard_2mm_r2,640,4.432890394205892,cube4
hard_2mm_r2,426,4.366132904407633,cube4
hard_2mm_r2,320,4.35143451372069,cube4
hard_2mm_r2,160,4.192555845023446,cube4
hard_2mm_r2,80,4.141004665286235,cube4
hard_2mm_r2,48,3.913453903831833,cube4
hard_2mm_r2,32,4.073870764699843,cube4
hard_2mm_r2,8,3.975236385826644,cube4
hard_3mm_r1,1920,4.930010697959433,cube4
hard_3mm_r1,1280,4.870448806367542,cube4
hard_3mm_r1,854,4.880756936293351,cube4
hard_3mm_r1,640,4.9756453050782,cube4
hard_3mm_r1,426,4.911938491182473,cube4
hard_3mm_r1,320,4.872679593320157,cube4
hard_3mm_r1,160,4.656856696667768,cube4
hard_3mm_r1,80,4.448885027030671,cube4
hard_3mm_r1,48,4.465800350936644,cube4
hard_3mm_r1,32,5.272000092450587,cube4
hard_3mm_r1,16,5.3402110442764,cube4
hard_3mm_r1,8,5.15083563707073,cube4
hard_3mm_r2,1920,5.453891586849647,cube4
hard_3mm_r2,1280,5.515878272231201,cube4
hard_3mm_r2,854,5.594515622342908,cube4
hard_3mm_r2,640,6.064574732499632,cube4
hard_3mm_r2,426,5.932762622537138,cube4
hard_3mm_r2,320,5.953587265293932,cube4
hard_3mm_r2,160,5.6877846178928175,cube4
hard_3mm_r2,80,5.494360465910389,cube4
hard_3mm_r2,48,5.508047977986997,cube4
hard_3mm_r2,32,4.854956274052112,cube4
hard_3mm_r2,16,4.997773903415225,cube4
medium_1mm_r1,1920,4.454911302153403,cube4
medium_1mm_r1,1280,4.45784282440176,cube4
medium_1mm_r1,854,4.451022361526694,cube4
medium_1mm_r1,640,4.600623515653748,cube4
medium_1mm_r1,426,4.554671306021634,cube4
medium_1mm_r1,320,4.485841965676226,cube4
medium_1mm_r1,160,4.402532458172378,cube4
medium_1mm_r1,80,4.199396838859105,cube4
medium_1mm_r1,48,3.912379998191265,cube4
medium_1mm_r1,32,3.2726288701453616,cube4
medium_1mm_r1,16,4.288272312604267,cube4
medium_1mm_r1,8,2.5693972550274444,cube4
medium_1mm_r2,1920,4.508666346250241,cube4
medium_1mm_r2,1280,4.536984285563391,cube4
medium_1mm_r2,854,4.537600521867044,cube4
medium_1mm_r2,640,4.751765842001982,cube4
medium_1mm_r2,426,4.691412467516093,cube4
medium_1mm_r2,320,4.60083860346024,cube4
medium_1mm_r2,160,4.571236025135582,cube4
medium_1mm_r2,80,4.597361336383814,cube4
medium_1mm_r2,48,4.128691859658296,cube4
medium_1mm_r2,32,4.488680815706888,cube4
medium_1mm_r2,16,3.9695425860017615,cube4
medium_2mm_r2,1920,5.844801586826928,cube4
medium_2mm_r2,1280,5.8824762519947065,cube4
medium_2mm_r2,854,5.91322058116056,cube4
medium_2mm_r2,640,6.106297369238931,cube4
medium_2mm_r2,426,6.041096694465562,cube4
medium_2mm_r2,320,5.990049414050749,cube4
medium_2mm_r2,160,5.837007645503679,cube4
