sensor,hardness,thickness_mm,width_px,density_px_per_mm2,res,principle
soft_3mm_r1,soft,3,1280,3812.5783245109437,0.1151220127940177,DIGIT
soft_3mm_r1,soft,3,1920,8578.301230149624,0.1185197457671165,DIGIT
hard_1mm_r1,hard,1,8,0.28444444444444444,0.1594561487436294,DIGIT_Marker
hard_1mm_r1,hard,1,16,1.1377777777777778,0.1292897462844848,DIGIT_Marker
hard_1mm_r1,hard,1,32,4.551111111111111,0.1209636703133583,DIGIT_Marker
hard_1mm_r1,hard,1,48,10.240000000000002,0.1267584264278412,DIGIT_Marker
hard_1mm_r1,hard,1,80,28.444444444444443,0.1153530105948448,DIGIT_Marker
hard_1mm_r1,hard,1,160,113.77777777777777,0.0929089188575744,DIGIT_Marker
hard_1mm_r1,hard,1,320,455.1111111111111,0.0973838791251182,DIGIT_Marker
hard_1mm_r1,hard,1,426,806.56,0.1009036302566528,DIGIT_Marker
hard_1mm_r1,hard,1,640,1820.4444444444443,0.1299709230661392,DIGIT_Marker
hard_1mm_r1,hard,1,854,3241.404444444444,0.1308653801679611,DIGIT_Marker
hard_1mm_r1,hard,1,1280,7281.777777777777,0.1524978280067443,DIGIT_Marker
hard_1mm_r1,hard,1,1920,16384.0,0.1209363415837287,DIGIT_Marker
hard_2mm_r1,hard,2,8,0.23040000000000005,0.1683928966522216,DIGIT_Marker
hard_2mm_r1,hard,2,16,0.9216000000000002,0.1222981587052345,DIGIT_Marker
hard_2mm_r1,hard,2,32,3.686400000000001,0.1475400328636169,DIGIT_Marker
hard_2mm_r1,hard,2,48,8.294400000000001,0.1060773134231567,DIGIT_Marker
hard_2mm_r1,hard,2,80,23.04,0.1058125272393226,DIGIT_Marker
hard_2mm_r1,hard,2,160,92.16,0.103197693824768,DIGIT_Marker
hard_2mm_r1,hard,2,320,368.64,0.1289899349212646,DIGIT_Marker
hard_2mm_r1,hard,2,426,653.3136000000001,0.1554113179445266,DIGIT_Marker
hard_2mm_r1,hard,2,640,1474.56,0.1310838907957077,DIGIT_Marker
hard_2mm_r1,hard,2,854,2625.5376,0.1160258054733276,DIGIT_Marker
hard_2mm_r1,hard,2,1280,5898.24,0.117859162390232,DIGIT_Marker
hard_2mm_r1,hard,2,1920,13271.04,0.0988002717494964,DIGIT_Marker
hard_3mm_r1,hard,3,8,0.16541844694444444,0.1873993575572967,DIGIT_Marker
hard_3mm_r1,hard,3,16,0.6616737877777777,0.1291024982929229,DIGIT_Marker
hard_3mm_r1,hard,3,32,2.646695151111111,0.1158267930150032,DIGIT_Marker
hard_3mm_r1,hard,3,48,5.9550640900000005,0.1010374203324318,DIGIT_Marker
hard_3mm_r1,hard,3,80,16.54184469444444,0.107260413467884,DIGIT_Marker
hard_3mm_r1,hard,3,160,66.16737877777776,0.105846107006073,DIGIT_Marker
hard_3mm_r1,hard,3,320,264.669515111111,0.0925865843892097,DIGIT_Marker
hard_3mm_r1,hard,3,426,469.05434496390626,0.1053503826260566,DIGIT_Marker
hard_3mm_r1,hard,3,640,1058.678060444444,0.1079369112849235,DIGIT_Marker
hard_3mm_r1,hard,3,854,1885.0362508083506,0.097297228872776,DIGIT_Marker
hard_3mm_r1,hard,3,1280,4234.712241777776,0.095908910036087,DIGIT_Marker
hard_3mm_r1,hard,3,1920,9528.102544,0.0978115871548652,DIGIT_Marker
medium_1mm_r1,medium,1,8,0.22404444444444443,0.2733405530452728,DIGIT_Marker
medium_1mm_r1,medium,1,16,0.8961777777777777,0.212812453508377,DIGIT_Marker
medium_1mm_r1,medium,1,32,3.584711111111111,0.1832425445318222,DIGIT_Marker
medium_1mm_r1,medium,1,48,8.065599999999996,0.1645958125591278,DIGIT_Marker
medium_1mm_r1,medium,1,80,22.404444444444444,0.155811607837677,DIGIT_Marker
medium_1mm_r1,medium,1,160,89.61777777777777,0.1762164086103439,DIGIT_Marker
medium_1mm_r1,medium,1,320,358.4711111111111,0.1457478255033493,DIGIT_Marker
medium_1mm_r1,medium,1,426,635.292025,0.1471215486526489,DIGIT_Marker
medium_1mm_r1,medium,1,640,1433.8844444444444,0.1469090282917022,DIGIT_Marker
medium_1mm_r1,medium,1,854,2553.112469444444,0.1949551850557327,DIGIT_Marker
medium_1mm_r1,medium,1,1280,5735.537777777778,0.1630544662475586,DIGIT_Marker
medium_1mm_r1,medium,1,1920,12904.96,0.1720787733793258,DIGIT_Marker
medium_2mm_r1,medium,2,8,0.22727467111111113,0.2213998585939407,DIGIT_Marker
medium_2mm_r1,medium,2,16,0.9090986844444445,0.1114558652043342,DIGIT_Marker
medium_2mm_r1,medium,2,32,3.636394737777778,0.0984990447759628,DIGIT_Marker
medium_2mm_r1,medium,2,48,8.18188816,0.1120982468128204,DIGIT_Marker
medium_2mm_r1,medium,2,80,22.7274671111111,0.0807192921638488,DIGIT_Marker
medium_2mm_r1,medium,2,160,90.9098684444444,0.0971292182803154,DIGIT_Marker
medium_2mm_r1,medium,2,320,363.6394737777776,0.08905840665102,DIGIT_Marker
medium_2mm_r1,medium,2,426,644.4515346025,0.0918996557593345,DIGIT_Marker
medium_2mm_r1,medium,2,640,1454.5578951111104,0.0989684090018272,DIGIT_Marker
