probe,repeat,target,true,recon,flat,width_x,width_y,angle_deg,lut,sensor
cube4,1,0.1,0.0858243813305357,-0.0036900718696415424,0.010498006828129292,3.5000557731744752,1.6220088529054002,5.325740814208984,raw,hard_1mm_r2
cube4,1,0.2,0.1766164366935001,0.07073164731264114,0.018585046753287315,4.276949079275226,4.069172107267838,78.69007110595703,raw,hard_1mm_r2
cube4,1,0.3,0.2752112493819432,0.20229282975196838,0.03181048110127449,4.13737854514858,4.033825006339165,85.87240600585938,raw,hard_1mm_r2
cube4,1,0.4,0.3784394614502311,0.3329314887523651,0.029632478952407837,4.3370906280963,4.132438255674597,67.40983581542969,raw,hard_1mm_r2
cube4,1,0.5,0.4796416062007722,0.41238582134246826,0.011704929172992706,4.697951182804768,4.366383249697567,79.27555084228516,raw,hard_1mm_r2
cube4,1,0.6,0.5789595134907195,0.4321698844432831,0.0018624917138367891,5.084058473102904,4.713232331156383,77.27564239501953,raw,hard_1mm_r2
cube4,1,0.1,0.0858243813305357,-0.003446941263973713,0.013417511247098446,3.6849110226544424,2.285996618437142,77.40961456298828,corrected,hard_1mm_r2
cube4,1,0.2,0.1766164366935001,0.10662349313497543,0.029596278443932533,4.259140569068292,4.0243269646965985,78.11134338378906,corrected,hard_1mm_r2
cube4,1,0.3,0.2752112493819432,0.29868924617767334,0.04049310460686684,4.3890448613886495,4.13351139451614,64.5072021484375,corrected,hard_1mm_r2
cube4,1,0.4,0.3784394614502311,0.44672325253486633,0.03133717179298401,4.442794803988292,4.239219929807624,75.46554565429688,corrected,hard_1mm_r2
cube4,1,0.5,0.4796416062007722,0.5276216864585876,0.011776122264564037,4.927635590391173,4.496443390549754,78.2317123413086,corrected,hard_1mm_r2
cube4,1,0.6,0.5789595134907195,0.547408938407898,0.0018624986987560987,5.270949925428791,4.784111444208834,76.72935485839844,corrected,hard_1mm_r2
cyl4,1,0.1,0.0899735123259972,-0.015749450773000717,0.018423572182655334,2.5028093391422854,2.5028093391422854,6.434739589691162,raw,hard_2mm_r1
cyl4,1,0.2,0.1703076554277984,0.0374038964509964,0.028215942904353142,3.121789298357589,3.121789298357589,35.26301193237305,raw,hard_2mm_r1
cyl4,1,0.3,0.2720883273063563,0.1391577571630478,0.03969978168606758,3.264560431751927,3.264560431751927,31.90015411376953,raw,hard_2mm_r1
cyl4,1,0.4,0.3741147361459624,0.2563132047653198,0.0386054702103138,3.5422839648744224,3.5422839648744224,35.75389099121094,raw,hard_2mm_r1
cyl4,1,0.5,0.4734023030496139,0.35205262899398804,0.027428805828094482,3.8787382925598317,3.8787382925598317,32.96940231323242,raw,hard_2mm_r1
cyl4,1,0.6,0.5722127362420082,0.4228615164756775,0.017308257520198822,4.117663074585744,4.117663074585744,32.0053825378418,raw,hard_2mm_r1
cyl4,2,0.1,0.0715573409074146,-0.011708177626132965,0.019364846870303154,2.4986065869093688,2.4986065869093688,7.792077541351318,raw,hard_2mm_r1
cyl4,2,0.2,0.1696696391262726,0.027220679447054863,0.025388862937688828,3.1518286952260746,3.1518286952260746,40.25948715209961,raw,hard_2mm_r1
cyl4,2,0.3,0.2729895333062053,0.12472813576459885,0.03907669335603714,3.1467010888544773,3.1467010888544773,31.071659088134766,raw,hard_2mm_r1
cyl4,2,0.4,0.3733614286651381,0.24702371656894684,0.040857475250959396,3.5357327419950635,3.5357327419950635,41.25700759887695,raw,hard_2mm_r1
cyl4,2,0.5,0.4721825180024446,0.3528369069099426,0.0258324071764946,3.848137411275833,3.848137411275833,35.753883361816406,raw,hard_2mm_r1
cyl4,2,0.6,0.5748834620643244,0.42067793011665344,0.01775543950498104,4.1187255178441005,4.1187255178441005,20.618188858032227,raw,hard_2mm_r1
cyl4,3,0.1,0.0687524388857028,-0.018748674541711807,0.018691979348659515,2.484158734471038,2.484158734471038,4.744898796081543,raw,hard_2mm_r1
cyl4,3,0.2,0.174518847634296,0.02491728775203228,0.02423674799501896,3.0426608104386688,3.0426608104386688,33.495182037353516,raw,hard_2mm_r1
cyl4,3,0.3,0.2741207170126785,0.12271933257579803,0.03773534297943115,3.2022025406247425,3.2022025406247425,29.357755661010742,raw,hard_2mm_r1
cyl4,3,0.4,0.3710755152222376,0.24623745679855347,0.038592249155044556,3.5093798506490845,3.5093798506490845,22.854820251464844,raw,hard_2mm_r1
cyl4,3,0.5,0.4734114868606944,0.34824055433273315,0.027124829590320587,3.8290658468159124,3.8290658468159124,35.53767776489258,raw,hard_2mm_r1
cyl4,3,0.6,0.5757811438117564,0.4182150661945343,0.018282568082213402,4.094065327653143,4.094065327653143,70.95337677001953,raw,hard_2mm_r1
cyl4,1,0.1,0.0899735123259972,-0.019496671855449677,0.02241041138768196,2.4988051590836418,2.4988051590836418,6.434739589691162,corrected,hard_2mm_r1
cyl4,1,0.2,0.1703076554277984,0.051553890109062195,0.042655035853385925,2.873194003545559,2.873194003545559,3.9328956604003906,corrected,hard_2mm_r1
cyl4,1,0.3,0.2720883273063563,0.1962650567293167,0.04957233741879463,3.295515904520097,3.295515904520097,31.90015411376953,corrected,hard_2mm_r1
cyl4,1,0.4,0.3741147361459624,0.33183103799819946,0.0413283072412014,3.631556181878592,3.631556181878592,30.17351722717285,corrected,hard_2mm_r1
cyl4,1,0.5,0.4734023030496139,0.42914843559265137,0.02749365195631981,3.9896308502823654,3.9896308502823654,66.4676513671875,corrected,hard_2mm_r1
cyl4,1,0.6,0.5722127362420082,0.4999614357948303,0.01730826497077942,4.236416583845194,4.236416583845194,56.8886604309082,corrected,hard_2mm_r1
