sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r2,426,240,random,0,0.030037328600883484,0.03931965306401253,0.273644357919693,0.9908537864685059,0.021330401301383972,0.13252653181552887,0.969240665435791,761,155,84,2.017240047454834,0.0006073655677028,0.0004764328186865896,0.00015191256534308195,30,30,30,0.11732366551864162,0.20568487105831024,64,64,1,18.0
hard_1mm_r2,320,180,cycle,0,0.0441727377474308,0.053100019693374634,0.29682403802871704,0.9839786887168884,0.02266812138259411,0.11267499625682831,0.9388512372970581,761,155,84,1.8539299964904785,0.000623939442448318,0.0005170388612896204,0.00022143262322060764,30,30,19,0.19201241466908198,0.24037193175285093,64,64,1,11.7
hard_1mm_r2,320,180,random,0,0.02710697241127491,0.03442573919892311,0.273644357919693,0.9929888248443604,0.02123049832880497,0.13252653181552887,0.9697839021682739,761,155,84,2.017240047454834,0.00041565703577362,0.0007021554047241807,0.00014711671974509954,30,30,23,0.23076103801952869,0.21397049196304813,64,64,1,10.5
hard_1mm_r2,160,90,cycle,0,0.030153188854455948,0.036746613681316376,0.29682403802871704,0.9923273921012878,0.01949715055525303,0.11267499625682831,0.9540029764175415,761,155,84,1.8539299964904785,0.0005559304263442755,0.0005786367692053318,0.00015383765276055783,30,30,27,0.2006940515846523,0.21101234189925655,64,64,1,4.2
hard_1mm_r2,160,90,random,0,0.032968051731586456,0.04215303808450699,0.273644357919693,0.9894881248474121,0.02324414812028408,0.13252653181552887,0.9676819443702698,761,155,84,2.017240047454834,0.000459563743788749,0.0005545213352888823,0.00016300173592753708,30,30,27,0.1984295851297667,0.2138604502524099,64,64,1,3.4
hard_1mm_r2,80,45,cycle,0,0.0313660204410553,0.0461016520857811,0.29682403802871704,0.9879235029220581,0.018416117876768112,0.11267499625682831,0.9608338475227356,761,155,84,1.8539299964904785,0.0004396614676807076,0.0005086713354103267,0.0001269240747205913,30,30,28,0.1822210417157247,0.1780981986753402,64,64,1,3.1
hard_1mm_r2,80,45,random,0,0.028512151911854744,0.03815075755119324,0.273644357919693,0.9913895130157471,0.021108107641339302,0.13252653181552887,0.9703437089920044,761,155,84,2.017240047454834,0.0003125118382740766,0.0007374471169896424,0.00012087716459063813,30,30,29,0.2224232451831151,0.20604053005095452,64,64,1,2.2
hard_1mm_r2,48,27,cycle,0,0.040032099932432175,0.05114944279193878,0.29682403802871704,0.9851341247558594,0.025532716885209084,0.11267499625682831,0.9132283926010132,761,155,84,1.8539299964904785,0.0009580178884789348,0.0005873902700841427,0.00011574890231713653,30,30,25,0.2491188086911977,0.20114065600979714,64,64,1,3.0
hard_1mm_r2,48,27,random,0,0.031081048771739006,0.04973573237657547,0.273644357919693,0.9853661060333252,0.01910509169101715,0.13252653181552887,0.9746820330619812,761,155,84,2.017240047454834,0.0005240865284577012,0.00035295294946990907,0.00010530684085097164,30,30,29,0.21094170694438918,0.18321004682971584,64,64,1,2.0
hard_1mm_r2,32,18,cycle,0,0.045714106410741806,0.06472498178482056,0.29682403802871704,0.9761958718299866,0.024952074512839317,0.11267499625682831,0.924511194229126,761,155,84,1.8539299964904785,0.000591432151850313,0.0006455976399593055,0.00014679526793770492,30,30,23,0.2674201784873291,0.19826566942276494,64,64,1,3.4
hard_1mm_r2,32,18,random,0,0.05348927527666092,0.06488896161317825,0.273644357919693,0.9750905632972717,0.01681644096970558,0.13252653181552887,0.9712011814117432,761,155,84,2.017240047454834,0.0003682403184939176,0.0004128421132918447,9.952493564924225e-05,30,30,30,0.22008022027636012,0.18370379786337576,64,64,1,2.4
hard_1mm_r2,16,9,cycle,0,0.046768669039011,0.060124848037958145,0.29682403802871704,0.9794592261314392,0.032388538122177124,0.11267499625682831,0.895060658454895,761,155,84,1.8539299964904785,0.0007323951576836407,0.0011244243942201138,0.00012755712668877095,30,30,27,0.27725085761011353,0.2076022732642389,64,64,1,3.9
hard_1mm_r2,16,9,random,0,0.04051519185304642,0.05145769193768501,0.273644357919693,0.9843352437019348,0.02456040121614933,0.13252653181552887,0.9497552514076233,761,155,84,2.017240047454834,0.0005939380498602986,0.0005192651879042387,0.00012147691450081766,30,30,30,0.2510235720019146,0.18359406071324502,64,64,1,2.4
hard_1mm_r2,8,5,cycle,0,0.07182113081216812,0.09022165089845657,0.29682403802871704,0.9537480473518372,0.04332464188337326,0.11267499625682831,0.7768702507019043,761,155,84,1.8539299964904785,0.0013220097171142697,0.0008820752846077085,0.00011520685075083748,30,30,30,0.2261009103521881,0.20135598951770414,64,64,1,4.0
hard_1mm_r2,8,5,random,0,0.05696338042616844,0.07550907880067825,0.273644357919693,0.9662696123123169,0.03424529358744621,0.13252653181552887,0.9055870771408081,761,155,84,2.017240047454834,0.0007487615221180022,0.0007668050820939243,0.00010763004684122279,30,30,21,0.2978025654455679,0.22663075231736707,64,64,1,2.3
hard_2mm_r1,1920,1080,cycle,0,0.08106101304292679,0.09114645421504974,0.29759475588798523,0.9438393115997314,0.03554583340883255,0.12191569060087204,0.8750692009925842,773,145,82,1.6808600425720215,0.0005337776383385062,0.0006977577577345073,0.00012888293713331223,30,30,27,0.22696438127162386,0.19121652964887947,64,4,16,352.6
hard_2mm_r1,1920,1080,random,0,0.038981854915618896,0.05364855006337166,0.26685985922813416,0.98334139585495,0.03245571255683899,0.13849854469299316,0.9186651110649109,773,145,82,2.2167699337005615,0.0007098597707226872,0.0005773084703832865,0.00011126844765385613,30,30,29,0.25101878325350074,0.2250764207593326,64,4,16,350.4
