sensor,scale_source,downscale,px_per_mm,zero_shift_mm,zero_shift_source,grey_levels_used,mm_per_grey_level,ball_deepest_mm,cyl4_raw_bias,cyl4_raw_mae,cyl4_raw_bias_deep,cyl4_raw_mae_deep,cyl4_raw_slope,cyl4_raw_rms_after_linear,cyl4_raw_size,cyl4_raw_size_err,cyl4_raw_flat,cyl4_corrected_bias,cyl4_corrected_mae,cyl4_corrected_bias_deep,cyl4_corrected_mae_deep,cyl4_corrected_slope,cyl4_corrected_rms_after_linear,cyl4_corrected_size,cyl4_corrected_size_err,cyl4_corrected_flat,cube4_raw_bias,cube4_raw_mae,cube4_raw_bias_deep,cube4_raw_mae_deep,cube4_raw_slope,cube4_raw_rms_after_linear,cube4_raw_size,cube4_raw_size_err,cube4_raw_flat,cube4_raw_squareness,cube4_raw_angle_deg,cube4_corrected_bias,cube4_corrected_mae,cube4_corrected_bias_deep,cube4_corrected_mae_deep,cube4_corrected_slope,cube4_corrected_rms_after_linear,cube4_corrected_size,cube4_corrected_size_err,cube4_corrected_flat,cube4_corrected_squareness,cube4_corrected_angle_deg,width_px,height_px,error
hard_3mm_r2,median,1.0,84.00490439021377,0.1508987210224113,own,15.0,0.048067334154650136,0.721010012319752,-0.1553781992626586,0.1553781992626586,-0.1736440618851572,0.1736440618851572,0.8227472719419381,0.01616805161682098,4.097635540571982,0.0976355405719822,0.036390811618831426,-0.11407219683493823,0.11407219683493823,-0.11303418167122102,0.11303418167122102,0.9908630708008149,0.019079289740401253,4.175002638780492,0.17500263878049171,0.04216297074324555,-0.13762879895934785,0.13762879895934785,-0.153977187936114,0.153977187936114,0.8387985688770668,0.020315318321820645,4.843384382681186,0.8433843826811858,0.02399194085349639,0.9463883202698612,73.46017456054688,-0.09517155786002003,0.09517155786002003,-0.09265623113970631,0.09265623113970631,1.0057515449974008,0.02441911583423351,4.920961773599868,0.9209617735998679,0.026653424991915625,0.9448795503372813,73.2374496459961,1920,1080,
hard_3mm_r2,median,1.5,56.003269593475785,0.1508987210224113,own,14.0,0.05150071516569658,0.721010012319752,-0.13681398045220958,0.13681398045220958,-0.14602938207673924,0.14602938207673924,0.88925010067046,0.019655972453913602,4.1666229624162865,0.1666229624162865,0.03587365274628004,-0.09162435062592873,0.09162435062592873,-0.08121247130322352,0.08121247130322352,1.0504621607381535,0.025130357652297687,4.252440034817017,0.2524400348170168,0.03933022999101215,-0.11914169365807696,0.11914169365807696,-0.1264978224680888,0.1264978224680888,0.90479201799774,0.025014944951442658,4.8299069812796835,0.8299069812796835,0.027942503492037456,0.9427892543965806,78.11134338378906,-0.07301452457551484,0.07301452457551484,-0.061578615222977334,0.061578615222977334,1.0631023011385854,0.03082046557525714,4.942806663905626,0.9428066639056256,0.02920542936772108,0.960525757232125,76.13897705078125,1280,720,
hard_3mm_r2,median,2.2491216083990837,37.35009439974573,0.1508987210224113,own,14.0,0.05150071516569658,0.721010012319752,-0.122387817364921,0.122387817364921,-0.12610171524373587,0.12610171524373587,0.9214084299411877,0.024228067337565114,4.218527506263039,0.2185275062630394,0.034576995919148125,-0.07690718317560669,0.07690718317560669,-0.06051894190597431,0.06051894190597431,1.0791025087673354,0.031762376853325204,4.323171786858406,0.3231717868584063,0.0362195260822773,-0.10571067326659285,0.10571067326659285,-0.10854592791657322,0.10854592791657322,0.9209059983057172,0.03361568884385437,4.825370470918167,0.8253704709181671,0.028975773913164932,0.9601138214809858,74.74488067626953,-0.0592661116236878,0.05941521095847926,-0.04300084954957836,0.04322449855176555,1.0747671888679475,0.04099238824694938,4.950315670151643,0.9503156701516433,0.029442162563403446,0.9534134163576583,78.69007110595703,854,480,
hard_3mm_r2,median,3.0,28.0016347967379,0.1508987210224113,own,13.0,0.055462308639980924,0.721010012319752,-0.1192901621132988,0.1192901621132988,-0.11832585099029437,0.11832585099029437,0.9589996909385478,0.024030465892512096,4.2139139046895355,0.21391390468953553,0.02661637734207842,-0.07225714368074122,0.07225714368074122,-0.051816790428637426,0.051816790428637426,1.107536192632502,0.032354941229905114,4.334055992951655,0.33405599295165533,0.027179425375329122,-0.10206795744244579,0.10206795744244579,-0.10007702804069393,0.10007702804069393,0.9679991831504989,0.03106335572206759,4.774375043316979,0.7743750433169794,0.022615755287309487,0.9531569893318727,78.05582427978516,-0.05408898846203412,0.05633153365789667,-0.03374291456203335,0.03710673235582718,1.1127783415008408,0.038314834967205495,4.928153269080817,0.9281532690808172,0.022830682185788948,0.9561117272786509,77.00537872314453,640,360,
hard_3mm_r2,median,4.503519750244809,18.653166644966362,0.1508987210224113,own,13.0,0.055462308639980924,0.721010012319752,-0.10474618775512427,0.10474618775512427,-0.09708926243273314,0.09708926243273314,1.0099145478469322,0.02560427844571457,4.251612601694907,0.25161260169490696,0.020261745848175552,-0.05792846119601511,0.05840026373809789,-0.030500880506514467,0.031208584319638633,1.1555000605202514,0.03552682981521028,4.375433625762042,0.3754336257620423,0.020340830242882173,-0.08368767530614458,0.08368767530614458,-0.07525511703352802,0.07525511703352802,1.0239419761230142,0.02872130400279136,4.748771871444641,0.7487718714446414,0.015101774285236994,0.9586352548162392,80.53767395019531,-0.03450757308199331,0.049023936532326694,-0.008675573979424173,0.030450119154924238,1.1586341175212698,0.03708954764937667,4.9031241095830636,0.9031241095830636,0.015117701143026352,0.946183238949892,80.53767395019531,426,240,
hard_3mm_r2,median,6.0,14.000817398368948,0.1508987210224113,own,12.0,0.06008416769331267,0.721010012319752,-0.09711778052928365,0.09711778052928365,-0.08514709311413661,0.08514709311413661,1.0382559200896933,0.028092487026519442,4.250399665982415,0.2503996659824148,0.018358439000116453,-0.05584601170850115,0.05672372850424264,-0.024219144510109186,0.025535719703721427,1.1819459005173254,0.03874331045980149,4.36484020976571,0.36484020976570974,0.01836205366998911,-0.07645989221477831,0.07645989221477831,-0.06565201899866932,0.06565201899866932,1.0422217285682438,0.03044202011898712,4.757630090354789,0.7576300903547892,0.013873306723932425,0.9657850150179925,81.25383758544922,-0.03250932239884461,0.050414637071279834,-0.004793966774748498,0.031651938783401334,1.1732536129095632,0.03929472606965055,4.888517608902173,0.8885176089021734,0.013873637653887272,0.9504338673751104,81.46923065185547,320,180,
hard_3mm_r2,median,12.0,7.000408699184477,0.1508987210224113,own,12.0,0.06008416769331267,0.721010012319752,-0.08933234424590054,0.08933234424590054,-0.0724900157519966,0.0724900157519966,1.0618873614810018,0.03568253276200805,4.11618782815577,0.11618782815576978,0.01537382543190486,-0.045240275797237786,0.05876727533098937,-0.007363527145861544,0.027654026446488917,1.2130693564549604,0.04786877028890115,4.247757239056984,0.247757239056984,0.015373860253021121,-0.07015617110723579,0.07015617110723579,-0.05664607009749287,0.05664607009749287,1.0493050849854129,0.03359815002631593,4.678400592986375,0.6784005929863746,0.012316308838004867,0.9537060726420302,80.53767395019531,-0.021691768550816424,0.048817408146362616,0.008481067950917548,0.03220739144240173,1.179211882932507,0.04454806787365725,4.8181017728665365,0.8181017728665365,0.01231630650969843,0.9713987802405838,80.53767395019531,160,90,
hard_3mm_r2,median,24.0,3.5002043495922375,0.1508987210224113,own,12.0,0.06008416769331267,0.721010012319752,-0.1006041137372353,0.1006041137372353,-0.09230635228443042,0.09230635228443042,0.9891284262610736,0.031300147016786205,3.8407608502258475,-0.15923914977415254,0.018383962619635794,-0.05494912137123263,0.05623314143838873,-0.025425640619674283,0.02735167072040844,1.1449637857154134,0.04422197203820664,3.9594601558657874,-0.04053984413421263,0.018563451969789133,-0.07470426999920929,0.07470426999920929,-0.0644935990021693,0.0644935990021693,1.0023200184360415,0.03565102546642826,4.492442960359941,0.4924429603599414,0.01178172742947936,0.9630376364544397,90.0,-0.025749701195898898,0.050006241412859274,0.0025509049846661747,0.03383390534077438,1.1422473518272631,0.047524186639968914,4.523545413906439,0.5235454139064393,0.01179199448476235,0.9791666666666666,90.0,80,45,
hard_3mm_r2,median,40.0,2.100122609755343,0.1508987210224113,own,11.0,0.0655463647563411,0.721010012319752,-0.15671430396486308,0.15671430396486308,-0.17054167675661938,0.17054167675661938,0.8094090798695568,0.020209641893732793,3.68480514669533,-0.31519485330467,0.021587051244245634,-0.14454420123302095,0.14454420123302095,-0.12922370347070591,0.12922370347070591,1.0420809944484026,0.03357379144144202,3.518879129631219,-0.4811208703687808,0.025638291819228068,-0.11263396168395205,0.11263396168395205,-0.12116540468196743,0.12116540468196743,0.8353504742524441,0.028672322254227143,4.124406970319348,0.124406970319348,0.015508131124079227,0.9629629629629629,90.0,-0.09143284130488162,0.09143284130488162,-0.07439779735069149,0.07439779735069149,1.0346703514501099,0.0426342793034267,4.047382738758391,0.04738273875839116,0.017318144130210083,0.9629629629629629,90.0,48,27,
hard_3mm_r2,median,60.0,1.4000817398368952,0.1508987210224113,own,9.0,0.08011222359108355,0.721010012319752,-0.28368235320216073,0.28368235320216073,-0.32860334006635245,0.32860334006635245,0.47845524546685625,0.0266290041693635,,,0.011325867018765874,-0.3232705421616533,0.3232705421616533,-0.36407537268040474,0.36407537268040474,0.5441819378544429,0.023324813693810138,,,0.014267221093177795,-0.24582866343005824,0.24582866343005824,-0.2904963014916646,0.2904963014916646,0.46526495582328486,0.03673737835114084,3.9308197755418646,-0.06918022445813543,0.00791753844047586,0.9074074129576104,90.0,-0.28429958019052276,0.28429958019052276,-0.31425126979957696,0.31425126979957696,0.6130494122226996,0.030882656574036278,3.535327220357804,-0.4646727796421959,0.011082160907487074,1.0,45.0,32,18,
