gap,sensor,th,hard,depth,dip,sd,peak,sym,mtf,ok
1.5,soft_1mm_r1,1,soft,0.2,0.2215550749515906,0.0420101882435443,4.9381022453308105,0.8984048986721832,0.1245779792396775,False
1.5,soft_1mm_r1,1,soft,0.3,0.2687370012631015,0.0296623586686917,6.866205215454102,0.951954685308028,0.1552259832614499,True
1.5,soft_1mm_r2,1,soft,0.1,0.3302247721515225,0.1201126178708112,1.749199390411377,0.906620657670865,0.1977660026595439,False
1.5,soft_1mm_r2,1,soft,0.2,0.6167665013065788,0.1156126345416793,2.02219295501709,0.6963337623798305,0.4458874816790991,False
1.5,soft_1mm_r2,1,soft,0.3,0.0919608214212398,0.086024689616797,2.8547492027282715,0.7688988134990681,0.0481965058441507,False
1.5,soft_2mm_r1,2,soft,0.1,0.6096907446042693,0.0961355396371193,2.1597378253936768,0.7808266338634209,0.4385288684787831,False
1.5,soft_2mm_r1,2,soft,0.2,0.0829446102864923,0.1087762188920017,2.907835006713867,0.6318425357701584,0.0432666738434135,False
1.5,soft_2mm_r1,2,soft,0.3,0.1670595736556194,0.0445633398898863,6.488381385803223,0.8554046004852509,0.0911429369195611,False
1.5,soft_2mm_r2,2,soft,0.1,0.2588507058139935,0.0581575421088039,6.334518909454346,0.8940064158472558,0.1486665771156672,False
1.5,soft_2mm_r2,2,soft,0.2,0.1410294856808729,0.0394813821974516,9.00301456451416,0.9409141464162398,0.0758642940243335,False
1.5,soft_2mm_r2,2,soft,0.3,0.1425211137845328,0.0377150772834144,10.762370109558104,0.9067281470625124,0.0767282550785346,False
1.5,soft_3mm_r1,3,soft,0.1,0.7065423902981547,0.1538725482676079,0.9915245175361632,0.7218826101888297,0.546243174108365,False
1.5,soft_3mm_r1,3,soft,0.2,-0.0542133026000195,0.1893221846085667,1.1599252223968506,0.4449173793154913,-0.0263912722848214,False
1.5,soft_3mm_r1,3,soft,0.3,-0.1423929467842322,0.0897747652173817,2.390589475631714,0.5676294065491779,-0.0664644396808561,False
1.5,soft_3mm_r2,3,soft,0.1,0.4077861290443701,0.1291027980488225,1.3493269681930542,0.5118643443889161,0.2561126595383956,False
1.5,soft_3mm_r2,3,soft,0.2,0.1427297442476276,0.0902285765627931,2.786036252975464,0.6184824122198816,0.0768492058738152,False
1.5,soft_3mm_r2,3,soft,0.3,0.2562386304556768,0.0513823069357083,5.455327987670898,0.867784355740969,0.1469459267368887,False
1.25,hard_1mm_r1,1,hard,0.1,0.1992405787739148,0.073503272973677,2.75030779838562,0.6464901165524419,0.1106425302710663,False
1.25,hard_1mm_r1,1,hard,0.2,0.027323697003753,0.0400302242718393,4.702824592590332,0.7169880178223814,0.0138510798564628,False
1.25,hard_1mm_r1,1,hard,0.3,-0.0203351959521989,0.0378895048468795,6.067626953125,0.6765410569252658,-0.0100652584744061,False
1.25,hard_1mm_r2,1,hard,0.1,0.5930682371639371,0.142836633213689,1.015270709991455,0.73176615845682,0.421533050024006,False
1.25,hard_1mm_r2,1,hard,0.2,0.3520555209211032,0.128117491164365,1.370652198791504,0.4976423385155748,0.2136331201630539,False
1.25,hard_1mm_r2,1,hard,0.3,0.0702870316065092,0.0568709729924485,4.1732611656188965,0.7860922695869567,0.0364235680423623,False
1.25,hard_2mm_r1,2,hard,0.1,0.3857331247253529,0.0708916218106777,2.807730436325073,0.6663305160277259,0.2389525119009366,True
1.25,hard_2mm_r1,2,hard,0.2,0.3776585985224974,0.0591236023858411,4.236178398132324,0.6819147229520667,0.2327861436431045,True
1.25,hard_2mm_r1,2,hard,0.3,0.0538046172894102,0.0526803591255934,5.5616774559021,0.7662128650268583,0.0276460512481912,False
1.25,hard_2mm_r2,2,hard,0.1,0.5680629135722806,0.1294769711618577,1.7203059196472168,0.4089080063725281,0.3967094078060634,False
1.25,hard_2mm_r2,2,hard,0.2,0.0482553168325228,0.0532052004224683,5.150667190551758,0.8785012114459788,0.0247241953564384,False
1.25,hard_2mm_r2,2,hard,0.3,0.140446141532085,0.0422759863666102,8.174714088439941,0.9683126956056128,0.0755267941783619,False
1.25,hard_3mm_r1,3,hard,0.1,0.3522131429508269,0.0983423615487938,2.309332847595215,0.641695765112062,0.2137492124324646,False
1.25,hard_3mm_r1,3,hard,0.2,0.0477195709161973,0.0941557944033615,3.0275135040283203,0.5888818790778535,0.0244429899543642,False
1.25,hard_3mm_r1,3,hard,0.3,-0.0117303121302572,0.0691758176454539,4.73743200302124,0.7430676739461276,-0.0058309565946917,False
1.25,hard_3mm_r2,3,hard,0.1,0.4692300212425692,0.1171831039116271,1.5508240461349487,0.6877283417925415,0.3065320248986438,False
1.25,hard_3mm_r2,3,hard,0.2,0.257160044230814,0.121410331250406,1.6939643621444702,0.4658345658878434,0.1475523001291985,False
1.25,hard_3mm_r2,3,hard,0.3,0.2195631019250774,0.0790248129204978,2.642141342163086,0.5347933526230535,0.1233197886218138,False
1.25,medium_1mm_r1,1,medium,0.1,0.4549702710745018,0.0703291959868402,3.7521607875823975,0.9981398528270888,0.2944734735887018,True
1.25,medium_1mm_r1,1,medium,0.2,0.2056979318048466,0.0792559485905931,3.715566635131836,0.7022785070695988,0.1146395222136445,False
1.25,medium_1mm_r1,1,medium,0.3,0.1001566370988963,0.0446879553751385,5.6735053062438965,0.678684447005962,0.0527183656582903,False
1.25,medium_1mm_r2,1,medium,0.1,0.2104009247908834,0.086508850001969,3.2081639766693115,0.5384118580438065,0.1175687491715416,False
1.25,medium_1mm_r2,1,medium,0.2,0.3447007416040174,0.1036198654856331,2.378000259399414,0.5495321619963675,0.2082407394648622,False
1.25,medium_1mm_r2,1,medium,0.3,0.3526684392420246,0.1299639484298952,1.575356364250183,0.6271552661017686,0.2140846734459174,False
1.25,medium_2mm_r2,2,medium,0.1,0.444,0.079,3.33,0.7,0.285,True
