probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,1,-4.977101701014181,2.428699246152193,367.1779373843766,540.0,0.3,0.26945004528878513,0.0,0.3271577734411971,0.4311437931175249,ball4_x-4.98_y+2.43_d0.30.png,1789047619.4806664,-0.01655988786410738,0.0087319245336543,-0.4311437931175249,32.40614700317383,362.357177734375,36.5049476623535,14937,68.95356966776471,"[329.11802905536587, 514.811675704626]",12
ball4,1,1,-2.2380387144222698,0.8623347381187865,663.5889686921882,540.0,0.15,0.12333124584157318,0.0,0.14068783142435007,0.17461984850625073,ball4_x-2.24_y+0.86_d0.15.png,1789047622.6048415,-0.012275900821078878,0.007996580917157558,-0.17461984850625073,35.55193710327148,362.3701171875,36.6501884460449,14013,66.78679835935736,"[650.4821951045458, 529.9890815671163]",12
ball4,1,1,-2.2380387144222698,0.8623347381187865,663.5889686921882,540.0,0.3,0.2952727156626622,0.0,0.3271577734411971,0.38749634992001347,ball4_x-2.24_y+0.86_d0.30.png,1789047623.9689293,-0.002954087701693098,0.006342307763675592,-0.38749634992001347,35.5595474243164,362.3699340820312,36.50085067749023,48811,124.6475986712821,"[627.111450287845, 540.3742599004323]",12
ball4,2,1,0.5010242721696435,-0.7040297699146207,960.0,540.0,0.15,0.15000067740308154,0.0,0.14068783142435007,0.13268248925529919,ball4_x+0.50_y-0.70_d0.15.png,1789047627.093106,0.0007246752782787524,-0.004929013870923704,-0.13268248925529919,38.72526550292968,362.3849182128906,36.6481819152832,40462,113.48768485949715,"[886.3013691859028, 534.3649597152884]",12
ball4,2,1,0.5010242721696435,-0.7040297699146207,960.0,540.0,0.3,0.32246879794944405,0.0,0.3271577734411971,0.3194515390475402,ball4_x+0.50_y-0.70_d0.30.png,1789047628.4572587,0.004496419068260949,0.0033888607695855555,-0.3194515390475402,38.72239685058593,362.3829345703125,36.49576568603515,81632,161.19637908140245,"[878.282193257546, 538.7514577616621]",12
ball4,3,1,3.240087258761556,-2.2703942779480277,1256.4110313078118,540.0,0.15,0.2549844026647641,0.05451893462276547,0.14068783142435007,0.15509046773915713,ball4_x+3.24_y-2.27_d0.15.png,1789047632.7495365,0.002462186509211861,-0.015189108500899273,-0.15509046773915713,41.8772850036621,362.3924560546875,36.5873794555664,56028,133.54499729718603,"[1222.6166916541729, 539.9249660883844]",12
ball4,3,1,3.240087258761556,-2.2703942779480277,1256.4110313078118,540.0,0.3,0.36357379093860587,0.05451893462276547,0.3271577734411971,0.3099925579615501,ball4_x+3.24_y-2.27_d0.30.png,1789047634.5056772,0.005565030963859741,0.006076362172874106,-0.3099925579615501,41.86999130249023,362.3908386230468,36.42361068725586,112160,188.94876775034538,"[1207.16697574893, 541.5167261055635]",12
ball4,4,1,5.97915024535347,-3.8367587859814347,1552.8220626156235,540.0,0.15,0.24718125876951902,0.05451893462276547,0.14068783142435007,0.13553907016635094,ball4_x+5.98_y-3.84_d0.15.png,1789047637.8218477,-0.0014762368754311695,-0.010523172951802629,-0.13553907016635094,45.03022384643554,362.402130126953,36.57421875,33409,103.12329992544974,"[1618.3501152384088, 541.120536382412]",12
ball4,4,1,5.97915024535347,-3.8367587859814347,1552.8220626156235,540.0,0.3,0.4323121219394359,0.05451893462276547,0.3271577734411971,0.3184198866233629,ball4_x+5.98_y-3.84_d0.30.png,1789047639.1858275,0.0045166798788240925,-0.004285980621407681,-0.3184198866233629,45.02982330322265,362.4046325683593,36.42811203002929,69387,148.61550414621848,"[1610.4744836929108, 541.4403130269359]",12
ball4,0,2,-3.6199424819860058,4.801930103137865,367.1779373843766,796.8220626156235,0.15,0.02300234146555269,-0.037482766064385414,0.14068783142435007,0.20662564521993546,ball4_x-3.62_y+4.80_d0.15.png,1789047646.6022632,-0.020021256505344455,-0.015637036545795978,-0.20662564521993546,32.39543533325195,365.0883178710937,36.70569610595703,1820,24.069150231250354,"[301.5148351648352, 829.2065934065934]",12
ball4,0,2,-3.6199424819860058,4.801930103137865,367.1779373843766,796.8220626156235,0.3,0.13350980026559967,-0.037482766064385414,0.3271577734411971,0.34179886906605644,ball4_x-3.62_y+4.80_d0.30.png,1789047647.9664676,-0.00909814195115075,0.019797228044384774,-0.34179886906605644,32.39552307128906,365.0905456542968,36.56899261474609,8434,51.81337259891591,"[302.61868626986006, 814.8209627697415]",12
ball4,1,2,-0.8808794953940937,3.2355655951044584,663.5889686921882,796.8220626156235,0.15,0.0057470840354092445,-0.037482766064385414,0.14068783142435007,0.11907336849500041,ball4_x-0.88_y+3.24_d0.15.png,1789047651.2826295,0.0038944593340314525,-0.009832457059533617,-0.11907336849500041,35.55417251586914,365.1017150878906,36.70232009887695,7203,47.88304616648615,"[643.7569068443704, 800.9727891156463]",12
ball4,1,2,-0.8808794953940937,3.2355655951044584,663.5889686921882,796.8220626156235,0.3,0.1859288021131924,-0.037482766064385414,0.3271577734411971,0.32959830203276397,ball4_x-0.88_y+3.24_d0.30.png,1789047652.6507285,0.0026707780576963104,-0.004968517359854196,-0.32959830203276397,35.55187606811523,365.1039123535156,36.56243896484375,20886,81.53661927523518,"[651.8679019438858, 807.3278751316672]",12
ball4,2,2,1.8581834911978192,1.6692010870710514,960.0,796.8220626156235,0.15,0.03354978244582085,-0.037482766064385414,0.14068783142435007,0.14167961071761398,ball4_x+1.86_y+1.67_d0.15.png,1789047655.9669256,-0.0032213634394377523,-0.005108767011359028,-0.14167961071761398,38.70848846435547,365.1115417480468,36.69491958618164,29332,96.62642279181688,"[901.8380267284876, 786.3828583117414]",12
ball4,2,2,1.8581834911978192,1.6692010870710514,960.0,796.8220626156235,0.3,0.2203336066309518,-0.037482766064385414,0.3271577734411971,0.30248654660199464,ball4_x+1.86_y+1.67_d0.30.png,1789047657.3309946,0.0014180377593770999,-0.0019076191974351175,-0.30248654660199464,38.70898056030273,365.116455078125,36.55791854858398,59355,137.4528402559907,"[901.1040687389436, 788.4273102518744]",12
ball4,3,2,4.597246477789732,0.10283657903764443,1256.4110313078118,796.8220626156235,0.15,0.06457435609446804,-0.037482766064385414,0.14068783142435007,0.1213125692587255,ball4_x+4.60_y+0.10_d0.15.png,1789047660.4551656,0.0009661221659364117,-0.00915378943393641,-0.1213125692587255,41.86660385131836,365.1253051757812,36.69674682617187,22036,83.75127850932195,"[1254.8472953349064, 818.399800326738]",12
ball4,3,2,4.597246477789732,0.10283657903764443,1256.4110313078118,796.8220626156235,0.3,0.23870350628077475,-0.037482766064385414,0.3271577734411971,0.27570924146795617,ball4_x+4.60_y+0.10_d0.30.png,1789047661.8192234,0.007299071339793883,0.0015530780881046979,-0.27570924146795617,41.86676788330078,365.1243591308593,36.5539093017578,61568,139.99179644737626,"[1244.1788266632016, 817.7280892671517]",12
ball4,4,2,7.336309464381645,-1.4635279289957626,1552.8220626156235,796.8220626156235,0.15,0.09572593379167316,-0.037482766064385414,0.14068783142435007,0.12594154580597205,ball4_x+7.34_y-1.46_d0.15.png,1789047664.9394305,-0.0005582289079246294,-0.007098831160220698,-0.12594154580597205,45.0234909057617,365.138458251953,36.69065475463867,6368,45.02218736599077,"[1649.363222361809, 900.4538316582915]",12
ball4,4,2,7.336309464381645,-1.4635279289957626,1552.8220626156235,796.8220626156235,0.3,0.2677951355143442,-0.037482766064385414,0.3271577734411971,0.29187903557445055,ball4_x+7.34_y-1.46_d0.30.png,1789047666.3074975,0.003578310398572171,-0.0004458777960524074,-0.29187903557445055,45.02408218383789,365.1380615234375,36.54409790039062,42105,115.768898058885,"[1628.2574516090726, 841.3110556940981]",12
