probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,1,-4.901077773606128,1.8658886091602223,454.73571368985773,540.0,0.3,0.14764481480856517,-0.10816089368227862,0.171417050105059,0.18200717570628058,ball4_x-4.90_y+1.87_d0.30.png,1789048590.1453273,-0.0037908640487039234,0.01889077772327159,-0.18200717570628058,32.73615264892578,361.929229736328,37.3892135620117,0,0.0,None,12
ball4,1,1,-1.9902043048763642,0.46319136585133514,707.3678568449288,540.0,0.15,0.0154818815815716,-0.10816089368227862,0.05105529916590825,0.0478399303730697,ball4_x-1.99_y+0.46_d0.15.png,1789048593.4654622,0.014419052637888185,0.010416318887965658,-0.0478399303730697,35.97174072265625,362.1604614257812,37.51150512695312,9098,53.81434143887787,"[720.3065508903055, 558.1645416575071]",12
ball4,1,1,-1.9902043048763642,0.46319136585133514,707.3678568449288,540.0,0.3,0.17537449353020662,-0.10816089368227862,0.171417050105059,0.15469384775150843,ball4_x-1.99_y+0.46_d0.30.png,1789048594.8295612,0.02081924481890667,0.02677601660448161,-0.15469384775150843,35.97203063964843,362.1662292480468,37.36039733886718,18760,77.27543894930596,"[727.162473347548, 559.3275053304905]",12
ball4,2,1,0.9206691638534006,-0.9395058774575523,960.0,540.0,0.15,0.09200190510062001,-0.08486847667934848,0.05105529916590825,0.06398542973315387,ball4_x+0.92_y-0.94_d0.15.png,1789048599.5096872,0.006678807223542194,6.3930757290719955e-06,-0.06398542973315387,39.19736099243164,362.3953857421875,37.46096420288086,22531,84.68671705531504,"[904.3394878167858, 550.6720074563934]",12
ball4,2,1,0.9206691638534006,-0.9395058774575523,960.0,540.0,0.3,0.23035366991161865,-0.08486847667934848,0.171417050105059,0.15913903546839378,ball4_x+0.92_y-0.94_d0.30.png,1789048600.8776493,0.007490653384839519,0.009555766027245127,-0.15913903546839378,39.19415283203125,362.406005859375,37.32904052734375,39817,112.57950407680784,"[905.5057136399025, 548.0959389205616]",12
ball4,3,1,3.8315426325831656,-2.34220312076644,1212.6321431550712,540.0,0.15,0.14907671637982745,-0.06291954810858053,0.05105529916590825,0.03724254795063473,ball4_x+3.83_y-2.34_d0.15.png,1789048605.7539814,0.004699207275736228,0.0004003325600578478,-0.03724254795063473,42.42052841186523,362.6354370117187,37.41824722290039,222,8.406235467365967,"[807.1981981981982, 643.8873873873874]",12
ball4,3,1,3.8315426325831656,-2.34220312076644,1212.6321431550712,540.0,0.3,0.3021760947145502,-0.06291954810858053,0.171417050105059,0.15512781815713766,ball4_x+3.83_y-2.34_d0.30.png,1789048607.1218894,0.00017226955843625548,0.010231392081468015,-0.15512781815713766,42.40880966186523,362.6410217285156,37.27581787109375,15146,69.43429654097241,"[1239.6523834675822, 546.9339099432193]",12
ball4,4,1,6.74241610131293,-3.7449003640753276,1465.2642863101423,540.0,0.15,0.16035304346520007,-0.06291954810858053,0.05105529916590825,0.040775235602635004,ball4_x+6.74_y-3.74_d0.15.png,1789048610.2420454,0.0015247907996670308,0.012069408244675728,-0.040775235602635004,45.62859725952148,362.8810424804687,37.3950729370117,273,9.321941800299703,"[874.6739926739926, 499.68131868131866]",12
ball4,4,1,6.74241610131293,-3.7449003640753276,1465.2642863101423,540.0,0.3,0.3389534155652356,-0.06291954810858053,0.171417050105059,0.14555081318270596,ball4_x+6.74_y-3.74_d0.30.png,1789048611.6061363,0.004990154837209815,0.009529331478240621,-0.14555081318270596,45.63724517822265,362.8775634765625,37.25862884521484,408,11.396070970426017,"[873.1029411764706, 584.2867647058823]",12
ball4,0,2,-3.650888598043184,4.46027775435792,454.73571368985773,765.164747616309,0.15,-0.22621287187427797,-0.2532075084558107,0.05105529916590825,0.041769078527593706,ball4_x-3.65_y+4.46_d0.15.png,1789048619.8023624,-0.00918774930659616,0.011004182084840863,-0.041769078527593706,32.52112960815429,364.7986755371093,37.69131469726562,0,0.0,None,12
ball4,0,2,-3.650888598043184,4.46027775435792,454.73571368985773,765.164747616309,0.3,-0.06994269965881372,-0.2532075084558107,0.171417050105059,0.12434188254178195,ball4_x-3.65_y+4.46_d0.30.png,1789048621.1665125,-0.0063975720044503245,0.020205284797074795,-0.12434188254178195,32.52661514282226,364.7996215820312,37.54603195190429,0,0.0,None,12
ball4,1,2,-0.7400151293134201,3.0575805110490326,707.3678568449288,765.164747616309,0.15,-0.12082594646993883,-0.1998550515662617,0.05105529916590825,0.0464154302067243,ball4_x-0.74_y+3.06_d0.15.png,1789048624.8746703,0.002888013282084145,0.010758679767884161,-0.0464154302067243,35.76148223876953,365.040802001953,37.62245559692383,0,0.0,None,12
ball4,1,2,-0.7400151293134201,3.0575805110490326,707.3678568449288,765.164747616309,0.3,0.10400778610677008,-0.12082982747892851,0.171417050105059,0.20117460398714684,ball4_x-0.74_y+3.06_d0.30.png,1789048627.0188136,0.002977953644738207,0.015748655994688755,-0.20117460398714684,35.75424194335937,365.0328674316406,37.39566421508789,8767,52.82634543647036,"[711.642180905669, 763.4672065700923]",12
ball4,2,2,2.1708583394163448,1.654883267740145,960.0,765.164747616309,0.15,0.04879786602734981,-0.06824164757116481,0.05105529916590825,0.07248072238474776,ball4_x+2.17_y+1.65_d0.15.png,1789048630.9227855,0.008456238488512114,0.007848231875088808,-0.07248072238474776,38.98378753662109,365.2743225097656,37.47316360473633,13217,64.86217515386885,"[891.7303472800181, 773.8548082015586]",12
ball4,2,2,2.1708583394163448,1.654883267740145,960.0,765.164747616309,0.3,0.15402750827777822,-0.06824164757116481,0.171417050105059,0.17532457046615946,ball4_x+2.17_y+1.65_d0.30.png,1789048632.286952,0.010437868325708876,0.016934327492388945,-0.17532457046615946,38.98134613037109,365.272705078125,37.30965423583984,41046,114.30375141831466,"[892.0070408809628, 762.1478341373094]",12
ball4,3,2,5.08173180814611,0.2521860244312575,1212.6321431550712,765.164747616309,0.15,0.052869013952481225,-0.06824164757116481,0.05105529916590825,0.08151843704642658,ball4_x+5.08_y+0.25_d0.15.png,1789048635.6029763,0.011705834372415324,0.013326131104920336,-0.08151843704642658,42.20864868164062,365.5164184570312,37.44620513916015,342,10.433694507453072,"[879.938596491228, 633.9035087719299]",12
ball4,3,2,5.08173180814611,0.2521860244312575,1212.6321431550712,765.164747616309,0.3,0.2233950070991213,-0.06824164757116481,0.171417050105059,0.17134876090578927,ball4_x+5.08_y+0.25_d0.30.png,1789048636.971116,0.01592009551499025,0.03254644143320338,-0.17134876090578927,42.20502853393554,365.5218811035156,37.30738830566406,4630,38.38977432899223,"[1201.9462203023759, 793.3373650107991]",12
ball4,4,2,7.992605276875874,-1.15051121887763,1465.2642863101423,765.164747616309,0.15,0.09974146923161342,-0.06824164757116481,0.05105529916590825,0.05508311647915036,ball4_x+7.99_y-1.15_d0.15.png,1789048640.287219,0.003130592554010647,0.01696986424799878,-0.05508311647915036,45.42306900024414,365.7559509277343,37.4356346130371,0,0.0,None,12
ball4,4,2,7.992605276875874,-1.15051121887763,1465.2642863101423,765.164747616309,0.3,0.270813430903754,-0.06824164757116481,0.171417050105059,0.17213381164611122,ball4_x+7.99_y-1.15_d0.30.png,1789048641.6512692,0.004601736352850594,0.011782504155348228,-0.17213381164611122,45.42973709106445,365.75146484375,37.28144073486328,414,11.479559785988718,"[1667.5048309178744, 846.2801932367149]",12
