sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r2,32,18,cycle,0,0.10244133323431015,0.14172285795211792,0.44984352588653564,0.9141324162483215,0.05371607840061188,0.1854095458984375,0.8733412623405457,0.07938522845506668,0.06680768728256226,72,66,none,colour,662,154,138,2.0088400840759277,0.001199492602609098,0.0007304768078029156,0.00014776816533412784,30,30,26,0.3071291180175597,0.28245499846223115,64,64,1,3.6
hard_1mm_r2,16,9,cycle,0,0.1272692233324051,0.17870627343654633,0.44984352588653564,0.8634697198867798,0.06453843414783478,0.1854095458984375,0.7763404846191406,0.10400807112455368,0.06627799570560455,72,66,none,colour,662,154,138,2.0088400840759277,0.0011208659270778298,0.0009005895117297769,0.0001530942681711167,30,30,29,0.326658027049638,0.29103162071921607,64,64,1,4.0
hard_1mm_r2,8,5,cycle,0,0.1682812124490738,0.23336805403232574,0.44984352588653564,0.7671735286712646,0.09930936992168427,0.1854095458984375,0.4870063066482544,0.14743353426456451,0.11992684006690979,72,66,none,colour,662,154,138,2.0088400840759277,0.001383459661155939,0.0010135177290067077,0.00015475535474251956,30,30,30,0.3915249084057765,0.3553434099469866,64,64,1,4.2
hard_2mm_r1,1920,1080,cycle,0,0.05351071432232857,0.0700102373957634,0.28886231780052185,0.961944043636322,0.026615137234330177,0.17634694278240204,0.962393045425415,0.03044426068663597,0.05279327556490898,111,69,none,colour,622,177,180,1.8194899559020996,0.0006941109313629568,0.0005676294094882905,0.0002408009022474289,30,30,27,0.11845967415540548,0.20221393105000426,64,4,16,467.8
hard_2mm_r1,1280,720,cycle,0,0.04944823682308197,0.06453914940357208,0.28886231780052185,0.967659592628479,0.03235277161002159,0.17634694278240204,0.9472219944000244,0.039656419306993484,0.06538760662078857,111,69,none,colour,622,177,180,1.8194899559020996,0.000692777568474412,0.0006394474767148495,0.00020785900414921343,30,30,26,0.13282427603792146,0.2078238697038532,64,11,6,205.9
hard_2mm_r1,854,480,cycle,0,0.05171109735965729,0.06859442591667175,0.28886231780052185,0.9634677171707153,0.028483668342232704,0.17634694278240204,0.955828845500946,0.035493459552526474,0.0664326548576355,111,69,none,colour,622,177,180,1.8194899559020996,0.0007356401183642447,0.0006079550948925316,0.00022770671057514846,30,30,30,0.1237718382449012,0.20683666002952447,64,24,3,93.6
hard_2mm_r1,640,360,cycle,0,0.05606750771403313,0.07135855406522751,0.28886231780052185,0.9604641199111938,0.03317313268780708,0.17634694278240204,0.9521481394767761,0.037550974637269974,0.07167337834835052,111,69,none,colour,622,177,180,1.8194899559020996,0.00048758729826658964,0.0008781363721936941,0.00022786814952269197,30,30,24,0.14140664592049895,0.21717740721621756,64,44,1,51.2
hard_2mm_r1,426,240,cycle,0,0.05721192806959152,0.07446745038032532,0.28886231780052185,0.9569441676139832,0.022561093792319298,0.17634694278240204,0.9757211804389954,0.026781141757965088,0.08076360821723938,111,69,none,colour,622,177,180,1.8194899559020996,0.0005820688093081117,0.0004911695723421872,0.00028481302433647215,30,30,29,0.16048556125432348,0.20688605982031527,64,64,1,23.8
hard_2mm_r1,320,180,cycle,0,0.06470303237438202,0.07971954345703125,0.28886231780052185,0.9506565928459167,0.02521698549389839,0.17634694278240204,0.9755952954292297,0.02598755434155464,0.062443554401397705,111,69,none,colour,622,177,180,1.8194899559020996,0.0005088461912237108,0.000492931401822716,0.00018953812832478434,30,30,30,0.1410923862763923,0.19632820086290606,64,64,1,13.5
hard_2mm_r1,160,90,cycle,0,0.0613320916891098,0.07826580852270126,0.28886231780052185,0.9524398446083069,0.025286255404353142,0.17634694278240204,0.9752287864685059,0.02696072682738304,0.08073493838310242,111,69,none,colour,622,177,180,1.8194899559020996,0.000687898718751967,0.0005433326587080956,0.0002120647841366008,30,30,30,0.15764394220431902,0.21495450553247483,64,64,1,4.5
