sensor,axis,width_px,median,min,max
soft_1mm_r2,Ty,1280,0.0008500214316882,0.000759317248594,0.0008883902919478
soft_1mm_r2,Ty,1920,0.0006849291385151,0.0006712491158396,0.0008535455563105
soft_1mm_r2,Tz,8,0.0001918582274811,0.0001664665323914,0.0002012389741139
soft_1mm_r2,Tz,16,0.0001645425363676,0.0001568327716086,0.0001687957555986
soft_1mm_r2,Tz,32,0.0001512289018137,0.0001502140949014,0.000168345082784
soft_1mm_r2,Tz,48,0.0001489719288656,0.0001474722812417,0.0001508450804976
soft_1mm_r2,Tz,80,0.0001440885243937,0.0001402189518557,0.0001486013788962
soft_1mm_r2,Tz,160,0.0001520855294074,0.0001421741762896,0.0001596817746758
soft_1mm_r2,Tz,320,0.0001434541482012,0.0001414333382854,0.0001723180757835
soft_1mm_r2,Tz,426,0.0001435340236639,0.0001373780833091,0.0001652633363846
soft_1mm_r2,Tz,640,0.0001370328536722,0.0001311053638346,0.0001487343106418
soft_1mm_r2,Tz,854,0.0001428124814992,0.0001351272221654,0.0001443386281607
soft_1mm_r2,Tz,1280,0.000133986963192,0.0001278825802728,0.0001396764855599
soft_1mm_r2,Tz,1920,0.000152306180098,0.0001364758936688,0.0001633587526157
soft_2mm_r1,Tx,8,0.0026282910257577,0.0024840519763529,0.0027603802736848
soft_2mm_r1,Tx,16,0.0021157092414796,0.0020955130457878,0.0022682819981127
soft_2mm_r1,Tx,32,0.0017083063721656,0.001684105489403,0.0019268949981778
soft_2mm_r1,Tx,48,0.0013513060985133,0.0013235417427495,0.0015874633099883
soft_2mm_r1,Tx,80,0.0014017863431945,0.0013112273300066,0.0014682607725262
soft_2mm_r1,Tx,160,0.0013592240866273,0.0012331577017903,0.0015082067111507
soft_2mm_r1,Tx,320,0.0015421496937051,0.0013219874817878,0.0015482201706618
soft_2mm_r1,Tx,426,0.0015597104793414,0.001528103952296,0.001698549487628
soft_2mm_r1,Tx,640,0.0014702159678563,0.0013124459655955,0.001819762866944
soft_2mm_r1,Tx,854,0.0015959994634613,0.0015327970031648,0.0017074601491913
soft_2mm_r1,Tx,1280,0.0016481220955029,0.0013942847726866,0.0017817056505009
soft_2mm_r1,Tx,1920,0.0013063109945505,0.0012461285805329,0.0015126802027225
soft_2mm_r1,Ty,8,0.0016924567753449,0.0015517335850745,0.0016925279051065
soft_2mm_r1,Ty,16,0.0014344512019306,0.0013684296282008,0.0014649996301159
soft_2mm_r1,Ty,32,0.0012398053659126,0.0010620090179145,0.0012474204413592
soft_2mm_r1,Ty,48,0.0010833595879375,0.0010203655110672,0.0011643426259979
soft_2mm_r1,Ty,80,0.0009822640568017,0.0007841355982236,0.001206484506838
soft_2mm_r1,Ty,160,0.0010024479124695,0.0008840617956593,0.0010844429489225
soft_2mm_r1,Ty,320,0.0009028626955114,0.000878203951288,0.0009736224310472
soft_2mm_r1,Ty,426,0.0009834185475483,0.0009579330217093,0.0011884836712852
soft_2mm_r1,Ty,640,0.0009922430617734,0.0009584099170751,0.0010188480373471
soft_2mm_r1,Ty,854,0.0009997772285714,0.0009281253442168,0.0011168178170919
soft_2mm_r1,Ty,1280,0.0009468711796216,0.0009144587675109,0.0010253391228616
soft_2mm_r1,Ty,1920,0.0009683469543233,0.0008787385304458,0.0009782694978639
soft_2mm_r1,Tz,8,0.0001741887972457,0.0001650609920034,0.000178900649189
soft_2mm_r1,Tz,16,0.0001781996834324,0.0001781389728421,0.0001805732754291
soft_2mm_r1,Tz,32,0.0001843852660385,0.0001783503394108,0.0001863979559857
soft_2mm_r1,Tz,48,0.0002083984873024,0.0001931106380652,0.0002107297914335
soft_2mm_r1,Tz,80,0.0002158479619538,0.0002073851064778,0.0002311555144842
soft_2mm_r1,Tz,160,0.0002238872548332,0.0002079141850117,0.0002366144908592
soft_2mm_r1,Tz,320,0.0002004354319069,0.0001841540506575,0.0002031524782069
soft_2mm_r1,Tz,426,0.000199318426894,0.0001987384166568,0.0002028833696385
soft_2mm_r1,Tz,640,0.0001847730018198,0.0001834709983086,0.0001990585442399
soft_2mm_r1,Tz,854,0.0001763075124472,0.0001680625136941,0.0001877271424746
soft_2mm_r1,Tz,1280,0.0001790659880498,0.0001712055382085,0.0001891721185529
soft_2mm_r1,Tz,1920,0.0001877966860774,0.0001764514599926,0.0001880592753877
soft_2mm_r2,Tx,1920,0.0005343512166291,0.0005343512166291,0.0005343512166291
soft_2mm_r2,Ty,1920,0.0004967292188666,0.0004967292188666,0.0004967292188666
soft_2mm_r2,Tz,1920,0.0001292696542805,0.0001292696542805,0.0001292696542805
medium_1mm_r1,Tx,8,0.002711062086746,0.0024190077092498,0.0027355030179023
medium_1mm_r1,Tx,16,0.0019120573997497,0.001867875107564,0.0020652385428547
medium_1mm_r1,Tx,32,0.0015699684154242,0.001408634474501,0.0017999919364228
medium_1mm_r1,Tx,48,0.0012478060089051,0.0012255464680492,0.0016011241823434
medium_1mm_r1,Tx,80,0.0011955162044614,0.0010378414299339,0.0013823922490701
medium_1mm_r1,Tx,160,0.0010789065854623,0.0010028445394709,0.0014854931505396
medium_1mm_r1,Tx,320,0.0013468118850141,0.001263337326236,0.0015363907441496
medium_1mm_r1,Tx,426,0.0013290870701894,0.0012440199498087,0.0018374355277046
medium_1mm_r1,Tx,640,0.0013751520309597,0.0012938319705426,0.0014180529396981
medium_1mm_r1,Tx,854,0.0013361372984945,0.0012899452121928,0.0014038328081369
medium_1mm_r1,Tx,1280,0.0013161204988136,0.0012451314833015,0.0013979168143123
medium_1mm_r1,Tx,1920,0.0013905161758884,0.0013035115553066,0.0015411138301715
medium_1mm_r1,Ty,8,0.0021907906047999,0.0017146619502454,0.0029774259310215
medium_1mm_r1,Ty,16,0.001257809693925,0.0012391090858727,0.0014374705497175
medium_1mm_r1,Ty,32,0.0009778513340279,0.0009004450403153,0.0010612212354317
medium_1mm_r1,Ty,48,0.0011426338460296,0.0008857793291099,0.0011676672147586
medium_1mm_r1,Ty,80,0.0009906969498842,0.000880611303728,0.001461834530346
medium_1mm_r1,Ty,160,0.0009951426181942,0.0007415750878863,0.0010269770864397
medium_1mm_r1,Ty,320,0.0008203877368941,0.0008132600341923,0.0009447232005186
medium_1mm_r1,Ty,426,0.0007879139739088,0.0007562243263237,0.0008956547826528
medium_1mm_r1,Ty,640,0.0008238041773438,0.0006998252356424,0.0011004535481333
medium_1mm_r1,Ty,854,0.0008903824491426,0.0008534406078979,0.0009076961432583
medium_1mm_r1,Ty,1280,0.0008057596278376,0.0008054623613134,0.0011505817528814
medium_1mm_r1,Ty,1920,0.0008557833498343,0.0006901579909026,0.0009702076204121
medium_1mm_r1,Tz,8,0.0001722590386634,0.0001644369185669,0.0001741639571264
medium_1mm_r1,Tz,16,0.0001666193566052,0.0001612699270481,0.00017233446124
medium_1mm_r1,Tz,32,0.0001689678902039,0.0001538124924991,0.0001828935637604
medium_1mm_r1,Tz,48,0.0001710339274723,0.0001682662259554,0.0001769256487023
medium_1mm_r1,Tz,80,0.0002059176767943,0.0001823300990508,0.0002177168644266
medium_1mm_r1,Tz,160,0.0001931240258272,0.0001891020074253,0.0002225531061412
medium_1mm_r1,Tz,320,0.0001690570206847,0.0001689628261374,0.0001938805071404
medium_1mm_r1,Tz,426,0.0001961481757462,0.000189533791854,0.000215588210267
medium_1mm_r1,Tz,640,0.0002065391017822,0.0002011331525864,0.0002144582540495
medium_1mm_r1,Tz,854,0.0001713273813948,0.0001618730602785,0.0001957835629582
medium_1mm_r1,Tz,1280,0.0001780837337719,0.0001603213895577,0.0001892022119136
medium_1mm_r1,Tz,1920,0.0001699904969427,0.0001626416051294,0.0001779318408807
