unit,pr,hard,th,rep,ceil,depth,peak,peak_final,steps,fmax,dmax,img0,img1,d_over_t,two_steps_adjacent,ceil_strict,registry_ceil,match_err,ramp_from
DIGIT_medium_3mm_r2,DIGIT,medium,3,2,6.471092957569394,2.256683940930021,3.944523550966188,3.944523550966188,41,10.021466028174569,2.6511381575626918,6.644320964813232,20.21245765686035,0.7522279803100069,True,6.471092957569394,6.471092957569394,0.0,DIGIT_medium_3mm_r2__ceiling
DIGIT_soft_1mm_r1,DIGIT,soft,1,1,7.846187409128047,0.8282917758339856,2.1754269225370595,2.1754269225370595,12,10.609095271007927,0.9032899110441726,7.638078212738037,14.94471263885498,0.8282917758339856,True,7.846187409128047,7.846187409128047,0.0,
DIGIT_soft_1mm_r2,DIGIT,soft,1,2,8.468353444083665,1.1716026180060624,2.954280317610225,2.954280317610225,18,12.344173108390356,1.2936993392605525,6.184814453125,15.35142421722412,1.1716026180060624,True,8.468353444083665,8.468353444083665,0.0,
DIGIT_soft_2mm_r1,DIGIT,soft,2,1,6.405215407156595,1.4752321560684436,4.45200923732341,4.45200923732341,26,10.675442377154235,1.7285561345016198,6.003028392791748,17.24268341064453,0.7376160780342218,True,6.405215407156595,6.405215407156595,0.0,
DIGIT_soft_2mm_r2,DIGIT,soft,2,2,6.802880733671438,1.5084007172497174,5.724294413738537,5.724294413738537,27,10.56355149203595,1.7517411516302168,6.590464115142822,18.67853736877441,0.7542003586248587,True,6.802880733671438,6.802880733671438,0.0,
DIGIT_soft_3mm_r1,DIGIT,soft,3,1,5.266272933010308,1.817245431635424,4.922459403698687,4.922459403698687,36,10.007910660254597,2.31975901065427,5.935206413269043,15.923470497131348,0.605748477211808,True,5.266272933010308,5.266272933010308,0.0,
DIGIT_soft_3mm_r2,DIGIT,soft,3,2,7.114780330765035,2.136691929409455,4.6909016302858895,4.6909016302858895,37,10.308441139548666,2.466392818579262,5.981196403503418,17.66773223876953,0.712230643136485,True,7.114780330765035,7.114780330765035,0.0,
DIGIT_Marker_hard_1mm_r1,DIGIT_Marker,hard,1,1,10.800870363452788,1.1734465279000403,1.30228644325022,1.30228644325022,20,11.648002198494003,1.1950761616581609,10.974077224731444,19.171714782714844,1.1734465279000403,False,,10.800870363452788,0.0,
DIGIT_Marker_hard_1mm_r2,DIGIT_Marker,hard,1,2,10.013795399696884,1.0445186621386249,0.8737046468031284,0.8737046468031284,18,11.74058916361676,1.076230915777419,6.527891635894775,13.83806610107422,1.0445186621386249,False,,10.013795399696885,1.7763568394002505e-15,
DIGIT_Marker_hard_2mm_r1,DIGIT_Marker,hard,2,1,9.696140478630076,1.6797744690066558,2.268507543360011,2.268507543360011,30,11.438739472315085,1.809191211799984,6.700144290924072,22.781639099121094,0.8398872345033279,True,9.696140478630076,9.696140478630076,0.0,
DIGIT_Marker_hard_2mm_r2,DIGIT_Marker,hard,2,2,9.415069372416507,1.7409262240222674,3.1719928690044568,3.1719928690044568,27,10.746346661007257,1.8386777979223297,6.718679904937744,24.998178482055664,0.8704631120111337,True,9.415069372416507,9.415069372416507,0.0,
