principle,unit,mu,fz_in_shear_max,lat_max_shear,limit,reached
DIGIT,medium_3mm_r2,0.5284432961632514,1.87617,0.7026340598775439,0.9914494589626073,0.7086937750843474
DIGIT,soft_1mm_r1,0.4928391135184475,2.96677,0.7169872707377726,1.4621402968131245,0.49036831301381634
DIGIT,soft_1mm_r2,0.4126785777541624,2.49918,0.7643988056636405,1.0313580479516475,0.7411575516202084
DIGIT,soft_2mm_r1,0.4880353866892099,2.16517,0.6955626741710627,1.0566795781978766,0.658253162569221
DIGIT,soft_2mm_r2,0.5947382279375414,1.99699,0.689861270256564,1.1876862938089907,0.5808446842003472
DIGIT,soft_3mm_r1,0.6883515297504035,1.50531,0.7500415938466346,1.0361824412485798,0.7238509011432861
DIGIT,soft_3mm_r2,0.5664523428956858,1.93906,0.7189667503438528,1.0983850800153085,0.6545671125957322
DIGIT_Marker,hard_1mm_r1,0.3937524489182228,3.8976,0.7177240888391583,1.5346895449036653,0.4676672824302135
DIGIT_Marker,hard_1mm_r2,0.3371228875410579,3.22296,0.7750118061681383,1.086533581629328,0.7132884056891803
DIGIT_Marker,hard_2mm_r1,0.7045310094429851,2.85214,0.7801835492369729,2.0094210732727156,0.38826284824728097
DIGIT_Marker,hard_2mm_r2,0.5858397158295968,2.13673,0.765135960859245,1.2517812960045744,0.6112377324229079
DIGIT_Marker,hard_3mm_r1,0.7248924341360234,1.90885,0.8504438037283827,1.3837109229005482,0.6146108913743877
DIGIT_Marker,hard_3mm_r2,0.5746595414083427,1.99779,0.6969401306425108,1.148049085230173,0.6070647497644065
DIGIT_Marker,medium_1mm_r1,0.7152953247284222,3.90462,0.8919947287960843,2.792956430841092,0.31937294794371796
DIGIT_Marker,medium_1mm_r2,0.4829046545422,6.08038,0.881735608728603,2.936243803385302,0.3002937316417724
DIGIT_Marker,medium_2mm_r1,0.7413263183749172,2.1892,0.7386147690102061,1.6229115761863688,0.45511707467504464
DIGIT_Marker,medium_2mm_r2,0.8218663200924033,1.8729,0.8831282355920911,1.5392734309010623,0.5737305782476373
DIGIT_Marker,medium_3mm_r1,0.5843122101397953,1.97433,0.7856311390213604,1.153625125845302,0.6810107732749844
DIGIT_Marker,medium_3mm_r2,1.0286045214211958,2.21719,0.8195200803519094,2.2806116588498613,0.35934223048092406
DIGIT_Marker,soft_1mm_r1,0.3945976860553059,3.10834,0.8179299756091593,1.2265437714731495,0.666857550975762
DIGIT_Marker,soft_1mm_r2,0.635496198906348,2.25997,0.6671121348019388,1.4362023446423793,0.4644973163360575
DIGIT_Marker,soft_2mm_r1,0.5423626842048259,3.20569,0.8986732732200284,1.7386466331285684,0.5168809211121476
DIGIT_Marker,soft_2mm_r2,0.7269784885506455,2.34901,0.7047911050800798,1.7076797393903518,0.41271854951660486
DIGIT_Marker,soft_3mm_r1,0.6711562540713145,3.30519,0.9360817622408846,2.2182989393939683,0.42198179227215377
DIGIT_Marker,soft_3mm_r2,0.4951017916720095,3.20041,0.7857067393118122,1.584528725085016,0.4958614677494446
