unit,probe,depth_mm,diameter_px,level,suspect_hardware
hard_1mm_r1,ball4,0.2900580417949143,242.37311343255655,11.52512264251709,False
hard_1mm_r1,ball4,0.3527166697278368,307.358554885284,11.908936500549316,False
hard_1mm_r1,ball4,0.5014488028531794,369.8364927001114,12.766737937927246,False
hard_1mm_r1,ball4,0.5250720790964785,408.4264997694599,13.262603759765623,False
hard_1mm_r1,ball4,0.6864222564357405,451.3587191529036,14.364805221557615,False
hard_1mm_r1,ball4,0.7320641410872497,480.933150964445,15.280108451843262,False
hard_1mm_r1,ball4,0.8210419409674614,506.4826394220952,16.235376358032227,False
hard_2mm_r1,ball4,0.0990076228916798,138.6208180943363,6.700144290924072,False
hard_2mm_r1,ball4,0.1932844065787691,189.13735286526332,6.930339813232422,False
hard_2mm_r1,ball4,0.3085953824256329,228.086155998855,7.326131343841553,False
hard_2mm_r1,ball4,0.3692057021409063,263.637769501162,7.708529949188232,False
hard_2mm_r1,ball4,0.538407300031281,293.0463915044042,8.249133110046387,False
hard_2mm_r1,ball4,0.5700673794477353,312.8704675081751,8.867548942565918,False
hard_2mm_r1,ball4,0.668012607821705,334.20411814159723,9.550307273864746,False
hard_2mm_r1,ball4,0.8124926898410649,366.8169595971093,10.598133087158203,False
hard_2mm_r1,ball4,0.8647518311612394,387.83756050171655,11.322616577148438,False
hard_2mm_r1,ball4,1.1200502293293226,460.8693389814245,13.957427978515623,False
hard_2mm_r1,ball4,1.1665105438084566,483.729976631471,14.825160026550291,False
hard_2mm_r1,ball4,1.309786665836409,523.0229150881061,17.04315185546875,False
hard_2mm_r1,ball4,1.3130754914267335,518.2332393918134,16.65807342529297,False
hard_2mm_r1,ball4,1.4280137368813222,553.295981276367,18.97680282592773,False
hard_2mm_r1,ball4,1.4411993078624263,548.7044641205321,18.6712646484375,False
hard_2mm_r1,ball4,1.4794967918091757,563.4534000257904,19.737001419067383,False
hard_2mm_r1,ball4,1.4875515914847313,560.8963889245601,19.49489021301269,False
hard_2mm_r1,ball4,1.521535530168684,572.3474613803683,20.16661834716797,False
hard_2mm_r1,ball4,1.5231908579946491,574.3438876230738,20.35067367553711,False
hard_2mm_r1,ball4,1.5754187493260758,582.0216495934015,20.766489028930664,False
hard_2mm_r1,ball4,1.5794959022903186,584.0961870534861,20.789525985717773,False
hard_2mm_r1,ball4,1.6154432814759474,590.9357357080289,21.201631546020508,False
hard_2mm_r1,ball4,1.616808517551906,591.2082317945238,21.30303955078125,False
hard_2mm_r1,ball4,1.6609804295719606,596.6085434922828,21.70965576171875,False
hard_2mm_r1,ball4,1.6797744690066558,594.5680279640704,21.638978958129883,False
hard_2mm_r1,ball4,1.712426375817916,605.8870788344124,22.139991760253903,False
hard_2mm_r1,ball4,1.7178569415530731,603.178564099752,22.09750366210937,False
hard_2mm_r1,ball4,1.7592008534666237,609.0864902692998,22.520002365112305,False
hard_2mm_r1,ball4,1.7639825487219625,608.5584332325718,22.415363311767575,False
hard_2mm_r1,ball4,1.809191211799984,614.8869297114853,22.781639099121094,False
hard_3mm_r1,ball4,0.1113347641602011,156.7391368346303,6.501285076141357,False
hard_3mm_r1,ball4,0.1840837028408763,182.3022177502984,6.667937278747559,False
hard_3mm_r1,ball4,0.3293309681405532,219.24555305042472,7.006619930267334,False
hard_3mm_r1,ball4,0.3460437931042364,240.31297516062833,7.273312091827393,False
hard_3mm_r1,ball4,0.5516426417127818,298.1398985326372,8.241598129272461,False
hard_3mm_r1,ball4,0.5694324753450672,276.3492498510084,7.91977071762085,False
hard_3mm_r1,ball4,0.7277206002741643,354.7868862177165,9.32529067993164,False
hard_3mm_r1,ball4,0.7322806775221515,338.43475436970976,8.975144386291504,False
hard_3mm_r1,ball4,0.9068567794758984,387.1771313480938,10.19610595703125,False
hard_3mm_r1,ball4,1.200278407144005,458.65802517805463,12.814751625061035,False
hard_3mm_r1,ball4,1.6085281788606842,519.9710288520145,16.19014549255371,False
hard_3mm_r1,ball4,1.6899593653661211,531.8892623496781,17.115327835083008,False
hard_3mm_r1,ball4,1.845469950426459,548.9944433525571,18.228744506835938,False
hard_3mm_r1,ball4,1.8958074573157864,560.4944534157097,18.95694923400879,False
hard_3mm_r1,ball4,1.93913079172016,564.3870153574755,19.571409225463867,False
hard_3mm_r1,ball4,1.9597268372883008,565.9999842157066,19.522720336914062,False
hard_3mm_r1,ball4,2.05611618821586,583.7265862754203,20.504743576049805,False
hard_3mm_r1,ball4,2.074934800800328,580.6352377627364,20.68791007995605,False
hard_3mm_r1,ball4,2.08271706618012,582.4415203096381,20.828872680664062,False
hard_3mm_r1,ball4,2.1372020846806947,586.812498259171,21.25025177001953,False
hard_3mm_r1,ball4,2.137241273987364,584.3827664559304,21.248863220214844,False
hard_3mm_r1,ball4,2.174718227696143,594.2788614783512,21.686616897583008,False
hard_3mm_r1,ball4,2.1866491522557148,589.8898213890424,21.661312103271484,False
hard_3mm_r1,ball4,2.222987717034496,593.9799082183034,22.04829978942871,False
hard_3mm_r1,ball4,2.2350001098708248,595.6003828388235,22.053503036499023,False
hard_3mm_r1,ball4,2.273305063314492,596.4815493057264,22.465654373168945,False
hard_3mm_r1,ball4,2.274309579046609,598.0228616397928,22.299922943115234,False
hard_3mm_r1,ball4,2.30901620851666,608.8815957785272,22.696237564086918,False
hard_3mm_r1,ball4,2.318483207663107,608.7467041196485,22.763050079345703,False
hard_3mm_r1,ball4,2.378908499098305,612.5768783294811,23.149497985839844,False
hard_3mm_r1,ball4,2.3960030531757823,613.5965719402462,23.25752639770508,False
hard_3mm_r1,ball4,2.396653616661414,607.397188010754,22.99289321899414,False
hard_3mm_r1,ball4,2.446853398340849,618.389875487385,23.493825912475582,False
hard_3mm_r1,ball4,2.449568951939508,618.9249733760674,23.56570816040039,False
hard_3mm_r1,ball4,2.469414974971816,618.7737522354109,23.66196823120117,False
