sensor,axis,width_px,median,min,max,suspect_hardware
medium_3mm_r1,Ty,8,0.0010587619617581,0.0008598834392614,0.0014297375455498,False
medium_3mm_r1,Ty,16,0.0008468796149827,0.0005511687486432,0.0009449296630918,False
medium_3mm_r1,Ty,32,0.0005066493176855,0.0004408328968565,0.000644220621325,False
medium_3mm_r1,Ty,48,0.0006077780853956,0.0004379992897156,0.0008479355019517,False
medium_3mm_r1,Ty,80,0.0003939284069929,0.0003717618528753,0.0007859122706577,False
medium_3mm_r1,Ty,160,0.0005493551143445,0.0003865605394821,0.0005594897083938,False
medium_3mm_r1,Ty,320,0.0004737616691272,0.0003336592926643,0.0005587868508882,False
medium_3mm_r1,Ty,426,0.0004830676771234,0.0004413829592522,0.0004874606675002,False
medium_3mm_r1,Ty,640,0.0004844767099712,0.0004510252911131,0.0005107223987579,False
medium_3mm_r1,Ty,854,0.000554708763957,0.0003733383782673,0.0010602551046758,False
medium_3mm_r1,Ty,1280,0.0004040632920805,0.0003370505874045,0.0004683915758505,False
medium_3mm_r1,Ty,1920,0.0003951102844439,0.0003176557656843,0.0004437734023667,False
medium_3mm_r1,Tz,8,0.0002587380586192,0.0002506687596905,0.0002911522169597,False
medium_3mm_r1,Tz,16,0.0002681725891306,0.0002567308256402,0.0002699839533306,False
medium_3mm_r1,Tz,32,0.0002851496683433,0.000273863057373,0.000290171476081,False
medium_3mm_r1,Tz,48,0.0002845905255526,0.0002833953767549,0.0002962316211778,False
medium_3mm_r1,Tz,80,0.0002589489449746,0.000216299391468,0.0002722852223087,False
medium_3mm_r1,Tz,160,0.0002732963184826,0.0001992880861507,0.0002906367008108,False
medium_3mm_r1,Tz,320,0.0002524109149817,0.0002290502889081,0.0002682718914002,False
medium_3mm_r1,Tz,426,0.0002943540457636,0.0002900732506532,0.0002945307642221,False
medium_3mm_r1,Tz,640,0.0002289412223035,0.0002276518498547,0.0002428287552902,False
medium_3mm_r1,Tz,854,0.0002411810564808,0.0002321231295354,0.0002595709520392,False
medium_3mm_r1,Tz,1280,0.0002713138528633,0.0002502186107449,0.0002886317379307,False
medium_3mm_r1,Tz,1920,0.0002575389517005,0.0002493177889846,0.0002771709405351,False
hard_1mm_r1,Tx,8,0.000886425434146,0.0008298970060423,0.0010687970789149,False
hard_1mm_r1,Tx,16,0.0008504630532115,0.0007115362095646,0.0010471602436155,False
hard_1mm_r1,Tx,32,0.0008580517605878,0.0006881739245727,0.0013847165973857,False
hard_1mm_r1,Tx,48,0.0006559155881404,0.0006111207185313,0.0007045839447528,False
hard_1mm_r1,Tx,80,0.0005387952551245,0.000422147772042,0.0005949538317508,False
hard_1mm_r1,Tx,160,0.0007202312117442,0.0005402019596658,0.0007677977555431,False
hard_1mm_r1,Tx,320,0.0006089665112085,0.0005417906213551,0.0008201218442991,False
hard_1mm_r1,Tx,426,0.0007495456375181,0.0007190548931248,0.0009118866873905,False
hard_1mm_r1,Tx,640,0.0007825146312825,0.0007198938401415,0.0009430828504264,False
hard_1mm_r1,Tx,854,0.0006799565744586,0.0006715414929203,0.0009609392727725,False
hard_1mm_r1,Tx,1280,0.0007242272840812,0.0006550443940795,0.0009714756160974,False
hard_1mm_r1,Tx,1920,0.0006600210326723,0.0005060899420641,0.0008337413310073,False
hard_1mm_r1,Ty,8,0.0007480776403099,0.0005803277017548,0.0008524445584043,False
hard_1mm_r1,Ty,16,0.0006499758455902,0.0005409694858826,0.0008279422763735,False
hard_1mm_r1,Ty,32,0.0005358377820812,0.0004291724180802,0.0008280984475277,False
hard_1mm_r1,Ty,48,0.0004489347047638,0.0004349444061517,0.0006666891276836,False
hard_1mm_r1,Ty,80,0.0005552933434955,0.0004178204108029,0.0007420930196531,False
hard_1mm_r1,Ty,160,0.0003953023115172,0.0003890031366609,0.0004893385339528,False
hard_1mm_r1,Ty,320,0.0004763224278576,0.0004061150248162,0.0007527468260377,False
hard_1mm_r1,Ty,426,0.0004288902564439,0.000400894525228,0.0008080298430286,False
hard_1mm_r1,Ty,640,0.0004834016435779,0.0004565615672618,0.0005857617943547,False
hard_1mm_r1,Ty,854,0.0005174937541596,0.0004366776265669,0.0008170764776878,False
hard_1mm_r1,Ty,1280,0.0004989724839106,0.0004027212271466,0.0005589933134615,False
hard_1mm_r1,Ty,1920,0.0004886765382252,0.0004505391407292,0.0005184147739782,False
hard_1mm_r1,Tz,8,0.0001425071677658,0.0001346735516563,0.0001537115895189,False
hard_1mm_r1,Tz,16,0.0001459761842852,0.0001392180420225,0.0001492525479989,False
hard_1mm_r1,Tz,32,0.0001434346340829,0.0001368787052342,0.0001441125932615,False
hard_1mm_r1,Tz,48,0.0001424060174031,0.0001421296183252,0.000144323479617,False
hard_1mm_r1,Tz,80,0.000143375917105,0.0001424841757398,0.0001571115863043,False
hard_1mm_r1,Tz,160,0.0001705179311102,0.0001582132244948,0.000175418172148,False
hard_1mm_r1,Tz,320,0.000158228285727,0.0001418122119503,0.0001613164058653,False
hard_1mm_r1,Tz,426,0.0001492533338023,0.0001346752542303,0.000163501521456,False
hard_1mm_r1,Tz,640,0.0001451926800655,0.0001410049735568,0.0001483934756834,False
hard_1mm_r1,Tz,854,0.0001477553887525,0.0001385366776958,0.0001491978910053,False
hard_1mm_r1,Tz,1280,0.0001441834319848,0.0001410950790159,0.0001480269565945,False
hard_1mm_r1,Tz,1920,0.0001522517995908,0.0001454990124329,0.0001525419211247,False
hard_2mm_r1,Tx,8,0.0011996510438621,0.0011003118706867,0.0018776906654238,False
hard_2mm_r1,Tx,16,0.0007667159079574,0.0006213229498825,0.0010401525069028,False
hard_2mm_r1,Tx,32,0.0007456678431481,0.0006868382915854,0.0008742004283703,False
hard_2mm_r1,Tx,48,0.000594905228354,0.0005219968734309,0.0006299968808889,False
hard_2mm_r1,Tx,80,0.0007206437294371,0.0005985398893244,0.0010224037105217,False
hard_2mm_r1,Tx,160,0.0008310026023536,0.000570515403524,0.0008726394735276,False
hard_2mm_r1,Tx,320,0.000905281107407,0.0005868541193194,0.0009081530151888,False
hard_2mm_r1,Tx,426,0.0008703381754457,0.0005889401072636,0.0012816094094887,False
hard_2mm_r1,Tx,640,0.0007465274538844,0.000596206751652,0.0007621783879585,False
hard_2mm_r1,Tx,854,0.0005930277984589,0.0005870038876309,0.0009766502771526,False
hard_2mm_r1,Tx,1280,0.000841321714688,0.0005256943404674,0.0011738738976418,False
hard_2mm_r1,Tx,1920,0.0006571084377355,0.0005566409090533,0.0008438549702987,False
hard_2mm_r1,Ty,8,0.002009741961956,0.0016075880266726,0.0021994481794536,False
hard_2mm_r1,Ty,16,0.0011349108535796,0.0011253040283918,0.0016807549400255,False
hard_2mm_r1,Ty,32,0.0010388913797214,0.0009477874264121,0.0016692915232852,False
hard_2mm_r1,Ty,48,0.0007982569513842,0.000744096469134,0.0009706188575364,False
hard_2mm_r1,Ty,80,0.0006530079990625,0.0005592144443653,0.0011738813482224,False
hard_2mm_r1,Ty,160,0.0006707632564939,0.0006091408431529,0.0008640685700811,False
hard_2mm_r1,Ty,320,0.0008519106195308,0.0007964922697283,0.0011924066348001,False
hard_2mm_r1,Ty,426,0.0007646616431884,0.0007293405360542,0.0008015057537704,False
hard_2mm_r1,Ty,640,0.0009243979584425,0.0009180926717817,0.0010507818078622,False
hard_2mm_r1,Ty,854,0.0006948530790396,0.0006577788735739,0.0007534146425314,False
hard_2mm_r1,Ty,1280,0.0007533251191489,0.0006774475332349,0.0009199077030643,False
hard_2mm_r1,Ty,1920,0.0005140924477018,0.0005086696473881,0.0006534198182635,False
hard_2mm_r1,Tz,8,0.0001685279712546,0.0001619131799088,0.0001847437670221,False
hard_2mm_r1,Tz,16,0.0001840706681832,0.0001797417062334,0.0002065630978904,False
