sensor,width_px,height_px,split,seed,fx_mae,fy_mae,fz_mae,fz_rmse,res_mae,res_rmse,mag_mae,res_mae_shear,res_mae_normal,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds,sh,res,res_kind,density_px_per_mm2
soft_1mm_r1,32,18,cycle,0,0.0281020384281873,0.0437260419130325,0.1345632076263427,0.1858883500099182,0.1556649506092071,0.2027986645698547,0.1354729086160659,0.1699696332216262,0.1365920454263687,0.5193020701408386,0.9126463532447816,0.0416964218020439,0.1857951134443283,0.9043287634849548,0.0551711283624172,0.1291258335113525,100,75,none,grey,674,151,175,2.8559999465942383,0.0012139558093622,0.0007111594313755,0.0002338673657504,30,30,28,0.2983587587622577,0.2835874431180638,64,64,1,3.2,0.035914040170609896,0.1556649506092071,실측,4.326677337777778
soft_1mm_r1,32,18,cycle,1,0.0319005846977233,0.0558857731521129,0.1528164446353912,0.1969120353460312,0.1815088093280792,0.2181707918643951,0.1514099389314651,0.1962435692548751,0.1618625074625015,0.5193020701408386,0.9019784927368164,0.0470575019717216,0.1857951134443283,0.8999441862106323,0.0607724413275718,0.1535408794879913,100,75,none,grey,674,151,175,2.8559999465942383,0.0014186437474563,0.0007987787248566,0.0001941202208399,30,30,26,0.3077376957109491,0.2876731102040272,64,64,1,2.1,0.0438931789249181,0.1815088093280792,실측,4.326677337777778
soft_1mm_r1,32,18,cycle,2,0.03651824593544,0.0494356378912925,0.1229995936155319,0.1648981124162674,0.1521776765584945,0.187825471162796,0.1222744062542915,0.1662575006484985,0.1334045976400375,0.5193020701408386,0.9312602281570436,0.0445321910083293,0.1857951134443283,0.9180108308792114,0.0603662766516208,0.1242993175983429,100,75,none,grey,674,151,175,2.8559999465942383,0.0011546433670446,0.0013943994417786,0.0002472009218763,30,30,30,0.2889178188335294,0.294154160859569,64,64,1,2.2,0.04297694191336625,0.1521776765584945,실측,4.326677337777778
soft_1mm_r1,16,9,cycle,0,0.0410033799707889,0.0639128014445304,0.1837318837642669,0.2585660219192505,0.2164699882268905,0.2833569347858429,0.1814000010490417,0.2394503653049469,0.1858294755220413,0.5193020701408386,0.8309871554374695,0.0606736056506633,0.1857951134443283,0.8334549069404602,0.081152431666851,0.1780185252428054,100,75,none,grey,674,151,175,2.8559999465942383,0.0015480380970984,0.0009821620769798,0.0002303626097273,30,30,26,0.296637117685833,0.2987054546937248,64,64,1,3.6,0.05245809070765965,0.2164699882268905,실측,1.0816693344444446
soft_1mm_r1,16,9,cycle,1,0.0634882897138595,0.117530956864357,0.2497665882110595,0.5597801804542542,0.305930346250534,0.6838277578353882,0.2685613632202148,0.4197242259979248,0.1542052030563354,0.5193020701408386,0.2078419923782348,0.1162678673863411,0.1857951134443283,-2.1330313682556152,0.1885728687047958,0.1483692079782486,100,75,none,grey,674,151,175,2.8559999465942383,0.0016765145119279,0.0015274947509169,0.0002921523409895,30,30,30,0.3245930699990835,0.3318899293609013,64,64,1,2.2,0.09050962328910825,0.305930346250534,실측,1.0816693344444446
soft_1mm_r1,16,9,cycle,2,0.0422401987016201,0.0740531384944915,0.1538920700550079,0.194110706448555,0.1961840540170669,0.2266822755336761,0.1536791175603866,0.2243425250053405,0.1586394160985946,0.5193020701408386,0.9047476649284364,0.068064272403717,0.1857951134443283,0.7836095690727234,0.102411076426506,0.1499365717172622,100,75,none,grey,674,151,175,2.8559999465942383,0.0014845724217593,0.0007970763836055,0.0002263407222926,30,30,29,0.2976651686942895,0.3212926750940992,64,64,1,2.1,0.0581466685980558,0.1961840540170669,실측,1.0816693344444446
soft_1mm_r1,8,5,cycle,0,0.069918967783451,0.1014796420931816,0.2794211804866791,0.6023266911506653,0.3238386511802673,0.6655141115188599,0.287120521068573,0.4395799338817596,0.169516921043396,0.5193020701408386,0.0828486680984497,0.106870986521244,0.1857951134443283,-0.5143966674804688,0.1627100557088852,0.1585753560066223,100,75,none,grey,674,151,175,2.8559999465942383,0.0036033825017511,0.0021385666914284,0.0003144404327031,30,30,26,0.3464711752418948,0.3237105363252147,64,64,1,3.7,0.08569930493831629,0.3238386511802673,실측,0.27041733361111114
soft_1mm_r1,8,5,cycle,1,0.0653983578085899,0.0779188424348831,0.1790051609277725,0.2355213612318039,0.2318446189165115,0.2757912278175354,0.1772128492593765,0.2630110681056976,0.1902893632650375,0.5193020701408386,0.8597711324691772,0.0865894630551338,0.1857951134443283,0.7196868658065796,0.0992006212472915,0.1642784774303436,100,75,none,grey,674,151,175,2.8559999465942383,0.0020619861315935,0.0014419760555028,0.0002363222010899,30,30,29,0.3713983994209448,0.3698444998027473,64,64,1,2.1,0.0716586001217365,0.2318446189165115,실측,0.27041733361111114
soft_1mm_r1,8,5,cycle,2,0.0654230937361717,0.0952812433242797,0.1990016996860504,0.2698552906513214,0.2584131956100464,0.3127190768718719,0.1950735002756118,0.3006766736507416,0.2020618766546249,0.5193020701408386,0.8159064054489136,0.0991287231445312,0.1857951134443283,0.6002235412597656,0.1420999765396118,0.1851372569799423,100,75,none,grey,674,151,175,2.8559999465942383,0.0021671515423804,0.0017302132910117,0.0001963932008948,30,30,30,0.3807394497472384,0.3917498178039955,64,64,1,2.1,0.0803521685302257,0.2584131956100464,실측,0.27041733361111114
soft_2mm_r1,1920,1080,cycle,0,0.0362320579588413,0.0502493381500244,0.1260799020528793,0.2048385441303253,0.1524468064308166,0.2234929352998733,0.1264978051185608,0.2172366231679916,0.0836576223373413,0.549440324306488,0.9012075662612916,0.0483245328068733,0.1910722404718399,0.9070110321044922,0.0669233053922653,0.0701943412423133,86,81,none,grey,680,153,167,3.1895198822021484,0.0011758569162338,0.000947663502302,0.0002091923815896,30,30,29,0.1389613583903102,0.2424771454599168,64,4,16,249.9,0.043240698054432855,0.1524468064308166,실측,13001.472576000004
