approach,depth_mm,force_N,area_px,base_height_mm,step_mm,fine
2,0.41878853583673603,0.20072209781656056,19022,26.02014924641036,0.02,True
2,0.467231137051634,0.2975348882663894,57642,26.02014924641036,0.02,True
2,0.4500021820489799,0.26730157873808763,56452,26.02014924641036,0.02,True
2,0.47520646679055645,0.28575847975350543,74114,26.02014924641036,0.02,True
2,0.5064490336103908,0.3592679868257164,99366,26.02014924641036,0.02,True
2,0.5061215116838405,0.3698158109506181,101500,26.02014924641036,0.02,True
2,0.5156930856445463,0.4031454422626382,107372,26.02014924641036,0.02,True
2,0.5804266263039857,0.5494782383102546,117237,26.02014924641036,0.02,True
2,0.5401195845540592,0.45967912037032477,118238,26.02014924641036,0.02,True
2,0.5675035016212355,0.5155669511163268,124796,26.02014924641036,0.02,True
2,0.6041330881136489,0.5948311892253884,130884,26.02014924641036,0.02,True
2,0.5945096364640499,0.5847262751504985,130647,26.02014924641036,0.02,True
2,0.622730129747989,0.6223940501014653,135283,26.02014924641036,0.02,True
2,0.6580077324837852,0.7252038128892366,139966,26.02014924641036,0.02,True
2,0.653389139034001,0.6845732198403909,139603,26.02014924641036,0.02,True
2,0.6688000844320037,0.7255200501053082,142347,26.02014924641036,0.02,True
2,0.7229755828049989,0.8582314473792337,144415,26.02014924641036,0.02,True
2,0.6912564370433323,0.7664152525967978,143871,26.02014924641036,0.02,True
2,0.7166229857275823,0.8619732979401732,147037,26.02014924641036,0.02,True
2,0.7504314484070882,0.9018713640430291,149392,26.02014924641036,0.02,True
2,0.7511413822681199,0.9079780270685973,150293,26.02014924641036,0.02,True
2,0.7682869931923761,0.9484617210183359,152428,26.02014924641036,0.02,True
2,0.8272627246592457,1.0648824808285042,153339,26.02014924641036,0.02,True
3,0.05803797391520504,-0.012882918666781507,0,26.019931860885254,0.1,False
3,0.20864308794033803,-0.012977820419905584,0,26.019931860885254,0.1,False
3,0.25527852823125485,-0.02649105770141773,0,26.019931860885254,0.1,False
3,0.40662919082073756,0.1417475072112012,6799,26.019931860885254,0.1,False
3,0.3954336201524846,0.08862672987472706,9384,26.019931860885254,0.02,True
3,0.4185108663842456,0.16836138688777566,19416,26.019931860885254,0.02,True
3,0.4550909462813948,0.26246599121452335,49705,26.019931860885254,0.02,True
3,0.4516092012605739,0.26305419079695014,55934,26.019931860885254,0.02,True
3,0.463178914957993,0.2530879564428233,68032,26.019931860885254,0.02,True
3,0.5229023937240775,0.40496689115130097,92600,26.019931860885254,0.02,True
3,0.49023641218858316,0.3031221141704492,95327,26.019931860885254,0.02,True
3,0.5139459573364782,0.38247680912584203,104749,26.019931860885254,0.02,True
3,0.5515335405514499,0.4636163715995309,118137,26.019931860885254,0.02,True
3,0.5426249394081673,0.4640872388138121,117666,26.019931860885254,0.02,True
3,0.5529844280946712,0.488764720193916,122310,26.019931860885254,0.02,True
3,0.6027872324925774,0.5775453606195413,130480,26.019931860885254,0.02,True
3,0.5887858551978873,0.555701579316974,129680,26.019931860885254,0.02,True
3,0.6266864739698832,0.6443277080613228,135237,26.019931860885254,0.02,True
3,0.6545151139791123,0.7214575637715,138215,26.019931860885254,0.02,True
3,0.6485067135489757,0.6963469790178494,138468,26.019931860885254,0.02,True
3,0.6630606226559941,0.7278533308575987,141292,26.019931860885254,0.02,True
3,0.7250371088370642,0.8498846697851719,143302,26.019931860885254,0.02,True
3,0.6906311268666308,0.7488618332286592,143683,26.019931860885254,0.02,True
3,0.7282244800477784,0.8784716116140203,147357,26.019931860885254,0.02,True
3,0.7456302541144453,0.9404010859078141,149858,26.019931860885254,0.02,True
3,0.7536766495488116,0.9445821657436483,150652,26.019931860885254,0.02,True
3,0.7794179138638135,0.976127225408527,152906,26.019931860885254,0.02,True
3,0.8136909321310917,1.0734297849980323,155081,26.019931860885254,0.02,True
