t,x,y,z,rx,ry,rz
1788453661.873573,37.9005,362.8713,39.8147,-179.2432,-0.5675,-118.0183
1788453661.893724,37.9014,362.8734,39.8148,-179.2435,-0.5672,-118.0183
1788453661.913881,37.902,362.873,39.8152,-179.2432,-0.5672,-118.0185
1788453661.934070,37.9004,362.8717,39.8161,-179.2433,-0.5673,-118.0183
1788453661.954228,37.9021,362.8698,39.8156,-179.2432,-0.5675,-118.0185
1788453661.974411,37.9011,362.875,39.8169,-179.2436,-0.567,-118.0185
1788453661.994492,37.9018,362.8716,39.8143,-179.2433,-0.5673,-118.0185
1788453662.014560,37.9028,362.8736,39.8178,-179.2436,-0.567,-118.0187
1788453662.034620,37.9021,362.8724,39.8156,-179.243,-0.5674,-118.0185
1788453662.054678,37.9006,362.8735,39.8165,-179.2433,-0.567,-118.0183
1788453662.074692,37.902,362.873,39.8152,-179.2432,-0.5672,-118.0185
1788453662.094768,37.902,362.8734,39.8165,-179.2433,-0.567,-118.0185
1788453662.114850,37.9002,362.873,39.8152,-179.2433,-0.5673,-118.0183
1788453662.134910,37.9011,362.8708,39.8151,-179.2429,-0.5675,-118.0185
1788453662.154968,37.9018,362.8743,39.8143,-179.2432,-0.5672,-118.0187
1788453662.175025,37.901,362.8714,39.8147,-179.243,-0.5674,-118.0183
1788453662.195082,37.9004,362.8718,39.8143,-179.2433,-0.5673,-118.0183
1788453662.215140,37.9022,362.8721,39.8157,-179.2433,-0.567,-118.0185
1788453662.235198,37.9023,362.8716,39.8161,-179.2432,-0.5672,-118.0185
1788453662.255256,37.9001,362.8734,39.8165,-179.2435,-0.5672,-118.0183
1788453662.275330,37.9014,362.8738,39.8161,-179.2436,-0.567,-118.0185
1788453662.295389,37.9019,362.8711,39.8147,-179.2432,-0.5675,-118.0185
1788453662.315454,37.9016,362.8723,39.8156,-179.2432,-0.5675,-118.0187
1788453662.335515,37.9015,362.8733,39.8165,-179.2435,-0.5672,-118.0185
1788453662.355576,37.9005,362.8712,39.8165,-179.2432,-0.5675,-118.0183
1788453662.375636,37.9001,362.8734,39.8165,-179.2435,-0.5672,-118.0183
1788453662.395689,37.9016,362.8728,39.8169,-179.2433,-0.5673,-118.0185
1788453662.415762,37.9017,362.872,39.8157,-179.2435,-0.5672,-118.0185
1788453662.435821,37.9001,362.8735,39.8148,-179.2435,-0.5672,-118.0183
1788453662.455882,37.902,362.8734,39.8165,-179.2433,-0.567,-118.0185
1788453662.475955,37.9003,362.8752,39.8169,-179.2435,-0.5669,-118.018
1788453662.496031,37.9024,362.8711,39.8165,-179.243,-0.5674,-118.0185
1788453662.516179,37.9015,362.8729,39.8152,-179.2433,-0.5673,-118.0183
1788453662.536348,37.9016,362.8728,39.8169,-179.2433,-0.5673,-118.0185
1788453662.556417,37.9015,362.8733,39.8165,-179.2435,-0.5672,-118.0187
1788453662.576586,37.902,362.873,39.8152,-179.2432,-0.5672,-118.0185
1788453662.596736,37.9014,362.8739,39.8144,-179.2436,-0.567,-118.0185
1788453662.616816,37.9001,362.8734,39.8165,-179.2435,-0.5672,-118.0183
1788453662.636892,37.9001,362.8734,39.8165,-179.2435,-0.5672,-118.0185
1788453662.656961,37.9016,362.8723,39.8156,-179.2432,-0.5675,-118.0185
1788453662.677032,37.9012,362.8746,39.8156,-179.2435,-0.5672,-118.0185
1788453662.697178,37.9007,362.8731,39.8152,-179.2432,-0.5672,-118.0183
1788453662.717297,37.9016,362.8728,39.8169,-179.2433,-0.5673,-118.0185
1788453662.737429,37.901,362.8727,39.8169,-179.2435,-0.5675,-118.0185
1788453662.757619,37.9,362.8738,39.8178,-179.2436,-0.567,-118.0183
1788453662.777794,37.9016,362.8724,39.8138,-179.2432,-0.5675,-118.0185
1788453662.797854,37.9011,362.8751,39.8152,-179.2436,-0.567,-118.0185
1788453662.817923,37.9003,362.8752,39.8169,-179.2435,-0.5669,-118.0183
1788453662.858064,37.9001,362.8734,39.8182,-179.2435,-0.5672,-118.0183
1788453662.878135,37.902,362.8734,39.8165,-179.2433,-0.567,-118.0185
1788453662.898269,37.9002,362.8729,39.8169,-179.2433,-0.5673,-118.0183
1788453662.918399,37.9004,362.8748,39.8156,-179.2433,-0.567,-118.0185
1788453662.938530,37.9002,362.873,39.8152,-179.2433,-0.5673,-118.0183
1788453662.958667,37.9015,362.8733,39.8165,-179.2435,-0.5672,-118.0187
1788453662.978796,37.9011,362.8755,39.8165,-179.2438,-0.5668,-118.0183
