principle,unit,hardness,thickness_mm,rep,metric,value
9DTact,soft_1mm_r2,soft,1,2,Fx MAE 중앙 (N),0.0460932701826095
9DTact,soft_1mm_r2,soft,1,2,Fy MAE 중앙 (N),0.0325737185776233
9DTact,soft_1mm_r2,soft,1,2,Fz 최솟값 (N),0.0557767413556575
9DTact,soft_2mm_r1,soft,2,1,Fz MAE 중앙 (N),0.044151263311505304
9DTact,soft_2mm_r1,soft,2,1,Fx MAE 중앙 (N),0.02366733923554415
9DTact,soft_2mm_r1,soft,2,1,Fy MAE 중앙 (N),0.0246629705652594
9DTact,soft_2mm_r1,soft,2,1,Fz 최솟값 (N),0.0351876318454742
9DTact,soft_2mm_r2,soft,2,2,Fz MAE 중앙 (N),0.0452593211084604
9DTact,soft_2mm_r2,soft,2,2,Fx MAE 중앙 (N),0.02744274679571385
9DTact,soft_2mm_r2,soft,2,2,Fy MAE 중앙 (N),0.023068848997354452
9DTact,soft_2mm_r2,soft,2,2,Fz 최솟값 (N),0.0345242470502853
9DTact,soft_3mm_r1,soft,3,1,Fz MAE 중앙 (N),0.06634087115526195
9DTact,soft_3mm_r1,soft,3,1,Fx MAE 중앙 (N),0.04568812623620025
9DTact,soft_3mm_r1,soft,3,1,Fy MAE 중앙 (N),0.0371392220258712
9DTact,soft_3mm_r1,soft,3,1,Fz 최솟값 (N),0.0553495548665523
9DTact,soft_3mm_r2,soft,3,2,Fz MAE 중앙 (N),0.0548606365919113
9DTact,soft_3mm_r2,soft,3,2,Fx MAE 중앙 (N),0.036643745377659756
9DTact,soft_3mm_r2,soft,3,2,Fy MAE 중앙 (N),0.0319003919139504
9DTact,soft_3mm_r2,soft,3,2,Fz 최솟값 (N),0.0453799255192279
9DTact,hard_1mm_r1,hard,1,1,형상 MAE cyl4 최솟값 (mm),0.0370964563209486
9DTact,hard_1mm_r1,hard,1,1,형상 MAE cube4 최솟값 (mm),0.1159738221399451
9DTact,hard_1mm_r2,hard,1,2,형상 MAE cyl4 최솟값 (mm),0.0619354422287767
