unit,probe,width_px,depth_mm,dip,dip_sd,imprint_lvl,mtf,verdict,density_px_per_mm2
hard_2mm_r2,pair025,640,0.4,1.0,0.01190479867828832,18.046510696411133,1.0,분해,1198.752079507295
hard_2mm_r2,pair025,640,0.5,1.0,0.011739756028255834,18.6318359375,1.0,분해,1198.752079507295
hard_2mm_r2,pair025,640,0.6,1.0,0.013159402641081319,18.34939956665039,1.0,분해,1198.752079507295
hard_2mm_r2,pair025,640,0.7,1.0,0.013026027296777447,17.9018497467041,1.0,분해,1198.752079507295
hard_2mm_r2,pair025,640,0.8,1.0,0.011910095242344218,17.303138732910156,1.0,분해,1198.752079507295
hard_2mm_r2,pair025,640,0.9,1.0,0.01348393265597695,17.668054580688477,1.0,분해,1198.752079507295
hard_2mm_r2,pair025,426,0.1,0.7191503566192436,0.009256975160691535,17.937522888183594,0.5614635256649424,분해,531.1150692887351
hard_2mm_r2,pair025,426,0.2,0.9296400867731719,0.009189694052794017,17.581607818603516,0.8685303656137249,분해,531.1150692887351
hard_2mm_r2,pair025,426,0.3,0.998607886156023,0.011712376690274863,16.595157623291016,0.9972196428856761,분해,531.1150692887351
hard_2mm_r2,pair025,426,0.4,1.0,0.009063477143067357,17.517623901367188,1.0,분해,531.1150692887351
hard_2mm_r2,pair025,426,0.5,1.0,0.009794333643610285,18.569454193115234,1.0,분해,531.1150692887351
hard_2mm_r2,pair025,426,0.6,1.0,0.011005192959728866,18.202072143554688,1.0,분해,531.1150692887351
hard_2mm_r2,pair025,426,0.7,1.0,0.010889426793865136,17.7839298248291,1.0,분해,531.1150692887351
hard_2mm_r2,pair025,426,0.8,1.0,0.00984660744579681,17.903493881225586,1.0,분해,531.1150692887351
hard_2mm_r2,pair025,426,0.9,1.0,0.009848156672146792,18.331727981567383,1.0,분해,531.1150692887351
hard_2mm_r2,pair025,320,0.1,0.7180696574868992,0.008087620741648508,17.827096939086914,0.5601471731133166,분해,299.6880198768238
hard_2mm_r2,pair025,320,0.2,0.9285060344448592,0.00862588273553516,17.440807342529297,0.8665527425194602,분해,299.6880198768238
hard_2mm_r2,pair025,320,0.3,0.9975775440722119,0.008735856292048223,16.168615341186523,0.9951667963672143,분해,299.6880198768238
hard_2mm_r2,pair025,320,0.4,1.0,0.0077331405376338085,17.409093856811523,1.0,분해,299.6880198768238
hard_2mm_r2,pair025,320,0.5,1.0,0.00780763635521681,18.593414306640625,1.0,분해,299.6880198768238
hard_2mm_r2,pair025,320,0.6,1.0,0.00854179458101105,18.208036422729492,1.0,분해,299.6880198768238
hard_2mm_r2,pair025,320,0.7,1.0,0.00872102168049666,17.690540313720703,1.0,분해,299.6880198768238
hard_2mm_r2,pair025,320,0.8,1.0,0.008705936144919742,17.690073013305664,1.0,분해,299.6880198768238
hard_2mm_r2,pair025,320,0.9,1.0,0.008288504222255156,18.279800415039062,1.0,분해,299.6880198768238
