principle,probe,cell,n_r1,n_r2,n_ratio,span_r1,span_r2,span_ratio,r2_r1,r2_r2,worst
DIGIT,ball4,hard_3mm,25,22,1.1363636363636365,2.2064552027266764,2.032097028147942,1.0858020912208335,0.8642468039428851,0.9284882746989044,1.1363636363636365
9DTact,ball8,soft_2mm,17,18,1.0588235294117647,1.5185728740111057,1.6947477316325286,1.116013436455032,0.9204639503598294,0.8992034946097985,1.116013436455032
DIGIT_Marker,ball4,soft_2mm,32,30,1.0666666666666667,2.0534931467164945,1.846091796761229,1.112346173857188,0.981158376879115,0.979972398978014,1.112346173857188
DIGIT_Marker,ball4,hard_2mm,30,27,1.1111111111111112,1.7101835889083041,1.7317515534896302,1.0126114907903507,0.9913817899736808,0.9248446454620434,1.1111111111111112
DIGIT_Marker,ball4,medium_3mm,37,41,1.1081081081081081,2.4038295416353215,2.646433779168383,1.100924060267609,0.9027017701653464,0.9742703094791824,1.1081081081081081
9DTact,ball8,hard_2mm,10,11,1.1,0.9241913631085552,0.9708017273692064,1.0504336722038554,0.9141500779886492,0.9271299964116028,1.1
DIGIT,ball4,hard_2mm,17,18,1.0588235294117647,1.553123033407953,1.6992972622372773,1.0941163228444177,0.9335958497445394,0.9782631250839552,1.0941163228444177
DIGIT,ball8,medium_1mm,12,11,1.0909090909090908,1.0577370210801789,0.9994732630301364,1.0582944638993166,0.9700654299833265,0.9836754056842067,1.0909090909090908
DIGIT,ball4,medium_1mm,13,14,1.0769230769230769,1.1661825900684555,1.0754656600289711,1.0843513032643373,0.966750887635286,0.973218160180246,1.0843513032643373
DIGIT_Marker,ball4,soft_3mm,41,40,1.025,2.433141478304865,2.2680592667231387,1.072785669229991,0.9781308665807134,0.9511382141513216,1.072785669229991
DIGIT,ball8,hard_3mm,19,19,1.0,1.6845355721928386,1.7976399451477214,1.0671427631579484,0.9427178352778668,0.9779278541790812,1.0671427631579484
9DTact,ball8,hard_3mm,8,8,1.0,0.7077856062135055,0.7548754318006985,1.066531199806553,0.9639915756632348,0.9145643222125242,1.066531199806553
DIGIT_Marker,ball4,soft_1mm,19,20,1.0526315789473684,1.1623502948857904,1.2308507525489567,1.0589327141435423,0.9164624610914152,0.9800332139797908,1.0589327141435423
DIGIT,ball8,soft_2mm,18,17,1.0588235294117647,1.6399224218431172,1.5797648517796752,1.0380800788140538,0.9643947847697042,0.9677970160106572,1.0588235294117647
9DTact,ball8,soft_3mm,18,19,1.0555555555555556,1.7235900923484557,1.7096898982347462,1.0081302428750742,0.9311259012194952,0.903349609239954,1.0555555555555556
9DTact,ball8,medium_3mm,15,15,1.0,1.291473357811288,1.3562190866969606,1.0501332284511078,0.9472082684731266,0.8914410263290885,1.0501332284511078
DIGIT,ball8,hard_1mm,10,10,1.0,0.8198659736217665,0.8540605810723036,1.0417075577603034,0.9500192377034012,0.9614962004231318,1.0417075577603034
DIGIT,ball4,soft_2mm,26,27,1.0384615384615385,1.6220473525606671,1.6482723532262575,1.0161678391350228,0.9322895142305582,0.92673650838036,1.0384615384615385
9DTact,ball4,hard_2mm,4,4,1.0,0.30484988059384227,0.299819296148474,1.0167787214165063,0.9881662358695102,0.980956643570054,1.0167787214165063
