principle,unit,probe,centre_gap_mm,edge_gap_mm,hardness,thickness_mm,rep,depth_mm,dip,dip_sd,imprint_lvl,symmetry,verdict,mtf,verdict_mtf
9DTact,soft_2mm_r2,pair010,1.1,0.1,soft,2,2,0.7,0.065,0.019,19.4,0.95,미분해,0.034,미분해
9DTact,soft_2mm_r2,pair010,1.1,0.1,soft,2,2,0.8,0.075,0.017,23.09,0.97,미분해,0.039,미분해
9DTact,soft_2mm_r2,pair010,1.1,0.1,soft,2,2,0.9,0.054,0.013,26.3,0.98,미분해,0.028,미분해
9DTact,soft_3mm_r2,pair010,1.1,0.1,soft,3,2,0.1,0.478,0.09,1.82,0.54,신호부족,0.314,신호부족
9DTact,soft_3mm_r2,pair010,1.1,0.1,soft,3,2,0.2,0.226,0.054,3.89,0.71,미분해,0.127,미분해
9DTact,soft_3mm_r2,pair010,1.1,0.1,soft,3,2,0.3,0.182,0.034,7.44,0.89,미분해,0.1,미분해
9DTact,soft_3mm_r2,pair010,1.1,0.1,soft,3,2,0.4,0.111,0.027,10.46,0.94,미분해,0.059,미분해
9DTact,soft_3mm_r2,pair010,1.1,0.1,soft,3,2,0.5,0.091,0.027,12.17,0.93,미분해,0.048,미분해
9DTact,soft_3mm_r2,pair010,1.1,0.1,soft,3,2,0.6,0.105,0.019,14.92,1.0,미분해,0.055,미분해
9DTact,soft_3mm_r2,pair010,1.1,0.1,soft,3,2,0.7,0.036,0.022,17.11,0.93,미분해,0.018,미분해
9DTact,soft_3mm_r2,pair010,1.1,0.1,soft,3,2,0.8,0.105,0.021,20.54,0.95,미분해,0.055,미분해
9DTact,soft_3mm_r2,pair010,1.1,0.1,soft,3,2,0.9,0.066,0.019,24.34,0.96,미분해,0.034,미분해
9DTact,medium_1mm_r1,pair010,1.1,0.1,medium,1,1,0.1,0.49,0.057,3.82,1.0,분해,0.325,미분해
9DTact,medium_1mm_r1,pair010,1.1,0.1,medium,1,1,0.2,0.359,0.054,4.34,0.58,분해,0.219,미분해
9DTact,medium_1mm_r1,pair010,1.1,0.1,medium,1,1,0.3,0.001,0.044,6.65,0.67,미분해,0.0,미분해
9DTact,medium_1mm_r1,pair010,1.1,0.1,medium,1,1,0.4,0.043,0.025,10.78,0.85,미분해,0.022,미분해
9DTact,medium_1mm_r1,pair010,1.1,0.1,medium,1,1,0.5,0.015,0.019,14.07,0.95,미분해,0.007,미분해
9DTact,medium_1mm_r1,pair010,1.1,0.1,medium,1,1,0.6,0.016,0.018,16.6,1.0,미분해,0.008,미분해
9DTact,medium_1mm_r2,pair010,1.1,0.1,medium,1,2,0.1,0.274,0.069,3.95,0.73,분해,0.159,미분해
9DTact,medium_1mm_r2,pair010,1.1,0.1,medium,1,2,0.2,0.083,0.08,2.84,0.58,미분해,0.043,미분해
9DTact,medium_1mm_r2,pair010,1.1,0.1,medium,1,2,0.3,0.417,0.09,2.08,0.62,신호부족,0.264,신호부족
9DTact,medium_1mm_r2,pair010,1.1,0.1,medium,1,2,0.4,0.511,0.162,1.1,0.49,신호부족,0.343,신호부족
9DTact,medium_1mm_r2,pair010,1.1,0.1,medium,1,2,0.5,0.621,0.167,1.27,0.6,신호부족,0.451,신호부족
9DTact,medium_1mm_r2,pair010,1.1,0.1,medium,1,2,0.6,0.533,0.12,1.79,0.34,신호부족,0.364,신호부족
9DTact,medium_2mm_r2,pair010,1.1,0.1,medium,2,2,0.1,0.324,0.065,3.54,0.7,분해,0.193,미분해
9DTact,medium_2mm_r2,pair010,1.1,0.1,medium,2,2,0.2,0.083,0.043,7.24,0.89,미분해,0.043,미분해
9DTact,medium_2mm_r2,pair010,1.1,0.1,medium,2,2,0.3,0.12,0.036,10.05,0.94,미분해,0.064,미분해
9DTact,medium_2mm_r2,pair010,1.1,0.1,medium,2,2,0.4,0.079,0.027,12.57,0.99,미분해,0.041,미분해
9DTact,medium_2mm_r2,pair010,1.1,0.1,medium,2,2,0.5,0.077,0.021,16.26,0.97,미분해,0.04,미분해
9DTact,medium_2mm_r2,pair010,1.1,0.1,medium,2,2,0.6,0.024,0.022,18.44,0.92,미분해,0.012,미분해
9DTact,medium_2mm_r2,pair010,1.1,0.1,medium,2,2,0.7,0.035,0.016,22.05,0.99,미분해,0.018,미분해
9DTact,medium_2mm_r2,pair010,1.1,0.1,medium,2,2,0.8,0.025,0.014,24.51,0.93,미분해,0.013,미분해
9DTact,medium_2mm_r2,pair010,1.1,0.1,medium,2,2,0.9,0.042,0.014,27.89,0.96,미분해,0.021,미분해
9DTact,medium_3mm_r1,pair010,1.1,0.1,medium,3,1,0.1,0.709,0.146,0.77,0.92,신호부족,0.549,신호부족
9DTact,medium_3mm_r1,pair010,1.1,0.1,medium,3,1,0.2,0.637,0.131,1.0,0.57,신호부족,0.468,신호부족
9DTact,medium_3mm_r1,pair010,1.1,0.1,medium,3,1,0.3,0.405,0.094,1.7,0.56,신호부족,0.254,신호부족
9DTact,medium_3mm_r1,pair010,1.1,0.1,medium,3,1,0.4,0.225,0.059,3.11,0.63,미분해,0.127,미분해
9DTact,medium_3mm_r1,pair010,1.1,0.1,medium,3,1,0.5,0.092,0.037,6.02,0.85,미분해,0.048,미분해
9DTact,medium_3mm_r1,pair010,1.1,0.1,medium,3,1,0.6,0.142,0.03,7.9,0.97,미분해,0.076,미분해
9DTact,medium_3mm_r1,pair010,1.1,0.1,medium,3,1,0.7,0.053,0.021,9.37,1.0,미분해,0.027,미분해
