unit,probe,width_px,depth_mm,dip,dip_sd,imprint_lvl,mtf,verdict,density_px_per_mm2
hard_2mm_r1,pair050,426,0.3,0.28526445322626204,0.01741802467577712,5.3435492515563965,0.16636061097758478,분해,390.03723528357153
hard_2mm_r1,pair050,320,0.1,-0.3793244151969546,0.04257592341409397,1.347105860710144,-0.15942526070601226,신호부족,220.08316743281594
hard_2mm_r1,pair050,320,0.2,-0.12108435517666893,0.031930407803680075,2.972853422164917,-0.05708606302297849,미분해,220.08316743281594
hard_2mm_r1,pair050,320,0.3,0.27749552419975965,0.015130209593281353,5.420322895050049,0.16110003085527014,분해,220.08316743281594
hard_2mm_r1,pair050,160,0.1,,,,,접촉 없음,55.020791858203985
hard_2mm_r1,pair050,160,0.2,-0.19563882090159512,0.014134680826228358,3.0652449131011963,-0.08910337120986955,미분해,55.020791858203985
hard_2mm_r1,pair050,160,0.3,0.16321071271743648,0.010181214095752168,5.102634906768799,0.0888565247235835,미분해,55.020791858203985
hard_2mm_r1,pair050,80,0.1,,,,,접촉 없음,13.755197964550996
hard_2mm_r1,pair050,80,0.2,,,,,접촉 없음,13.755197964550996
hard_2mm_r1,pair050,80,0.3,0.21533191790408635,0.00843465017714037,4.999825477600098,0.120656563572987,미분해,13.755197964550996
hard_2mm_r1,pair050,48,0.1,,,,,접촉 없음,4.95187126723836
hard_2mm_r1,pair050,48,0.2,,,,,접촉 없음,4.95187126723836
hard_2mm_r1,pair050,48,0.3,0.07837747389901317,0.009769784340061339,4.377144813537598,0.04078713318272907,미분해,4.95187126723836
hard_2mm_r1,pair050,32,0.1,,,,,접촉 없음,2.2008316743281595
hard_2mm_r1,pair050,32,0.2,,,,,접촉 없음,2.2008316743281595
hard_2mm_r1,pair050,32,0.3,-0.07540608692899786,0.00747564279524607,3.931919574737549,-0.036333172290429774,미분해,2.2008316743281595
hard_2mm_r1,pair050,16,0.1,,,,,접촉 없음,0.5502079185820399
hard_2mm_r1,pair050,16,0.2,,,,,접촉 없음,0.5502079185820399
hard_2mm_r1,pair050,16,0.3,,,,,접촉 없음,0.5502079185820399
hard_2mm_r1,pair050,8,0.1,,,,,접촉 없음,0.13755197964550997
hard_2mm_r1,pair050,8,0.2,,,,,접촉 없음,0.13755197964550997
hard_2mm_r1,pair050,8,0.3,,,,,접촉 없음,0.13755197964550997
hard_3mm_r1,pair050,1920,0.1,0.5768888450147747,0.14047215997981816,1.434615969657898,0.4053715993960879,신호부족,5974.275732517353
hard_3mm_r1,pair050,1920,0.2,0.12371409797974364,0.1488688452660072,1.6368191242218018,0.06593563264880731,신호부족,5974.275732517353
hard_3mm_r1,pair050,1920,0.3,-0.08379580302858547,0.12081170401870248,2.1746058464050293,-0.04021305873963115,신호부족,5974.275732517353
hard_3mm_r1,pair050,1280,0.1,0.6541718179222378,0.10231961416949442,1.2320111989974976,0.48607379948924234,신호부족,2655.233658896602
