unit,probe,gap_mm,depth_mm,sep_px,px_per_mm_recorded,px_per_mm_from_pair,ratio
hard_3mm_r1,pair025,1.25,0.8792978474844126,146.86258,81.72066080898522,117.49007,1.4377034
hard_3mm_r2,pair025,1.25,0.0762034841168457,165.59915,96.62694639098942,132.47932,1.3710392
hard_3mm_r2,pair025,1.25,0.1751286545563921,166.45786,96.62694639098942,133.16629,1.3781486
hard_3mm_r2,pair025,1.25,0.2759252104873582,181.38644,96.62694639098942,145.10916,1.5017463
hard_3mm_r2,pair025,1.25,0.3782576221069398,180.83325,96.62694639098942,144.6666,1.4971662
hard_3mm_r2,pair025,1.25,0.4804233038308076,180.35706,96.62694639098942,144.28564,1.4932237
medium_1mm_r1,pair025,1.25,0.0887809714437288,101.55255,110.05490199956606,81.24204,0.7381956
medium_1mm_r1,pair025,1.25,0.1793705269284125,101.496826,110.05490199956606,81.197464,0.7377905
medium_1mm_r1,pair025,1.25,0.2768404066228136,117.8465,110.05490199956606,94.2772,0.8566379
medium_1mm_r1,pair025,1.25,0.3717003415344635,100.86069,110.05490199956606,80.68855,0.7331664
medium_1mm_r1,pair025,1.25,0.4759419045173523,117.124756,110.05490199956606,93.69981,0.8513915
medium_1mm_r1,pair025,1.25,0.578982081905167,100.42828,110.05490199956606,80.34263,0.7300232
medium_1mm_r2,pair025,1.25,0.0987059178639384,104.5242,106.82160956264525,83.61936,0.7827944
medium_1mm_r2,pair025,1.25,0.1895056368779819,104.16629,106.82160956264525,83.33303,0.780114
medium_1mm_r2,pair025,1.25,0.2841601465271104,86.82507,106.82160956264525,69.46006,0.6502435
medium_1mm_r2,pair025,1.25,0.3837347878093524,86.57385,106.82160956264525,69.25908,0.64836204
medium_1mm_r2,pair025,1.25,0.4814326309298948,86.498505,106.82160956264525,69.19881,0.6477978
medium_1mm_r2,pair025,1.25,0.5884488888886992,87.141785,106.82160956264525,69.713425,0.65261537
medium_2mm_r1,pair025,1.25,0.0934287451468769,163.58704,99.33155775055789,130.86963,1.317503
medium_2mm_r1,pair025,1.25,0.1942446288390584,163.98468,99.33155775055789,131.18774,1.3207055
medium_2mm_r1,pair025,1.25,0.2898366872059021,165.29102,99.33155775055789,132.23282,1.3312267
medium_2mm_r1,pair025,1.25,0.3860577172183568,165.82465,99.33155775055789,132.65971,1.3355243
medium_2mm_r1,pair025,1.25,0.4824380503888612,65.40683,99.33155775055789,52.325462,0.52677584
medium_2mm_r1,pair025,1.25,0.5863875055532262,64.516785,99.33155775055789,51.613426,0.51960754
medium_2mm_r1,pair025,1.25,0.6866417331454819,65.71658,99.33155775055789,52.573265,0.5292705
medium_2mm_r1,pair025,1.25,0.7949795470003842,48.93341,99.33155775055789,39.14673,0.39410162
medium_2mm_r1,pair025,1.25,0.8870514756218739,47.869537,99.33155775055789,38.29563,0.3855334
medium_2mm_r2,pair025,1.25,0.0884609337183839,131.46051,103.50675559732468,105.16841,1.0160537
medium_2mm_r2,pair025,1.25,0.1838258720392716,181.61346,103.50675559732468,145.29077,1.403684
medium_2mm_r2,pair025,1.25,0.2834358342108309,180.17743,103.50675559732468,144.14194,1.3925849
