index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
14,2026-09-01T15:34:59.136734,0014.png,step14,-0.01932,0.04488,0.01483,-0.002549,0.001218,-0.000309,-0.03926,0.02945,0.01409,0.05106,37.8674,362.8924,40.3728,1.2432,-0.3086,-82.123,-171.941,0.9569,0.018
15,2026-09-01T15:35:00.238244,0015.png,step15,-0.01636,0.04733,-0.00087,-0.002532,0.001283,-0.000128,-0.03781,0.0328,-0.00166,0.05008,37.8672,362.8934,40.2786,1.3373,-0.2145,1470.2,2901.85,0.9998,0.018
16,2026-09-01T15:35:01.339945,0016.png,step16,-0.02046,0.04506,0.01053,-0.002576,0.001179,-0.000379,-0.04031,0.02898,0.00979,0.0506,37.8674,362.8952,40.1857,1.4302,-0.1216,-112.006,-244.646,0.9781,0.018
17,2026-09-01T15:35:02.536682,0017.png,step17,-0.01676,0.04421,0.01214,-0.00253,0.001271,-0.00034,-0.03669,0.03011,0.01141,0.04882,37.8682,362.8911,40.0885,1.5275,-0.0244,-104.705,-208.327,0.9686,0.018
18,2026-09-01T15:35:03.729555,0018.png,step18,-0.01914,0.04339,-0.03935,-0.002281,0.001487,-0.000154,-0.03798,0.02739,-0.04005,0.06162,37.8664,362.8935,39.9935,1.6225,0.0706,37.783,57.971,0.7696,0.018
19,2026-09-01T15:35:04.830027,0019.png,step19,-0.01757,0.04646,-0.12682,-0.002326,0.001477,-0.000171,-0.03755,0.02943,-0.12757,0.1362,37.8681,362.8918,39.8962,1.7197,0.1679,11.645,18.339,0.3647,0.018
20,2026-09-01T15:35:06.035292,0020.png,step20,-0.01609,0.04034,-0.22738,-0.00214,0.001293,-0.000195,-0.03252,0.02326,-0.22801,0.23149,37.8709,362.8763,39.797,1.8192,0.2674,5.687,9.41,0.1876,0.018
21,2026-09-01T15:35:07.235729,0021.png,step21,-0.01644,0.05061,-0.3832,-0.002181,0.001438,-0.000137,-0.03687,0.02948,-0.38399,0.38688,37.868,362.8848,39.701,1.915,0.3632,3.751,5.692,0.1375,0.018
22,2026-09-01T15:35:08.432528,0022.png,step22,-0.01201,0.04868,-0.58073,-0.00221,0.001571,7.7e-05,-0.03069,0.02685,-0.58147,0.58289,37.8692,362.8853,39.597,2.019,0.4672,2.705,3.806,0.086,0.018
23,2026-09-01T15:35:09.633247,0023.png,step23,-0.00983,0.04785,-0.73842,-0.002442,0.001406,-2.9e-05,-0.02731,0.0247,-0.73911,0.74003,37.8697,362.8826,39.502,2.114,0.5622,1.904,3.308,0.066,0.018
24,2026-09-01T15:35:10.835617,0024.png,step24,-0.01061,0.05363,-0.94996,-0.002346,0.001363,4.3e-05,-0.0294,0.02593,-0.95073,0.95154,37.8695,362.884,39.4043,2.2117,0.6599,1.435,2.469,0.0575,0.018
25,2026-09-01T15:35:12.034267,0025.png,step25,-0.00243,0.05592,-1.14699,-0.002473,0.001468,0.000184,-0.02209,0.02884,-1.14778,1.14836,37.8695,362.8839,39.3092,2.3068,0.7549,1.28,2.156,0.0487,0.018
