t,Fx,Fy,Fz,Tx,Ty,Tz
1788791880.703086,-0.00554,-0.00822,-0.15189,0.0003,-3e-05,2e-05
1788791880.723490,0.00038,-0.01092,-0.14383,0.00015,-0.00026,5e-05
1788791880.743783,-0.00297,-0.00516,-0.13765,0.00018,-0.0002,-0.00013
1788791880.763055,0.00013,-0.00369,-0.15123,5e-05,-0.00031,-5e-05
1788791880.783354,-0.0066,0.00016,-0.14259,0.00027,-1e-05,-0.00017
1788791880.803668,-0.00174,-0.00863,-0.14475,2e-05,-0.00021,-0.00018
1788791880.823042,-0.00352,-0.00596,-0.13992,0.00028,3e-05,-0.00028
1788791880.843130,-0.00434,-0.00166,-0.16103,0.00027,-2e-05,-0.00012
1788791880.863877,-0.0015,-0.00791,-0.17213,0.00038,2e-05,-0.00015
1788791880.883267,0.00018,-0.00877,-0.1658,0.00012,-0.00018,-3e-05
1788791880.903675,-0.0006,-0.00386,-0.16047,0.0001,-0.00015,-0.00015
1788791880.922992,-0.00145,-0.00329,-0.15618,0.00032,-0.00014,-0.00031
1788791880.943380,-0.001,-0.00405,-0.14894,-5e-05,-0.0002,-0.00023
1788791880.963716,-0.00035,-0.00309,-0.15011,0.00014,-0.0001,-0.00027
1788791880.982994,0.00201,-0.00342,-0.17997,0.00031,-1e-05,-0.00015
1788791881.003297,-0.00294,-0.00282,-0.14703,0.00015,-0.00018,-0.00035
1788791881.023592,-0.00608,-0.00292,-0.16371,0.00023,-9e-05,-0.0003
1788791881.043908,0.00168,-0.00265,-0.15958,3e-05,-0.00022,-0.00024
1788791881.063180,-0.00206,-0.00083,-0.15325,8e-05,-0.00012,-0.00032
1788791881.083519,-0.00107,-0.0065,-0.16398,-7e-05,-0.00011,-0.00017
1788791881.103848,-0.00436,0.00014,-0.1828,-9e-05,-0.00018,-0.00015
1788791881.123179,-0.00264,0.00223,-0.17726,0.00018,1e-05,-0.00024
1788791881.143468,-0.0014,-0.00456,-0.18878,0.0002,-8e-05,-0.00026
1788791881.163774,0.0008,0.00088,-0.16821,-0.00014,-0.00015,-0.00022
1788791881.183038,-0.00165,-0.0036,-0.16918,0.00013,-0.00017,-0.00048
1788791881.203344,0.00056,0.00145,-0.17183,-4e-05,-9e-05,-0.00028
1788791881.223662,5e-05,-7e-05,-0.16604,4e-05,-0.00016,-0.00034
1788791881.243032,-0.00158,-0.00109,-0.18586,0.00018,-5e-05,-0.00021
1788791881.263907,-0.00265,0.00087,-0.17433,0.00016,-0.0,-0.00034
1788791881.283190,-0.00045,-0.00086,-0.19601,0.00029,-0.00013,-0.00028
1788791881.303471,-0.00552,-0.00079,-0.22153,0.00021,-0.00015,-0.00013
1788791881.323792,-0.00126,-0.00029,-0.24782,0.00011,-0.00019,-1e-05
1788791881.343092,-0.00292,0.00073,-0.24152,0.00026,-1e-05,-0.00027
1788791881.363417,0.00073,0.0024,-0.24802,0.00034,-4e-05,-0.00026
1788791881.383767,-0.00396,0.00057,-0.24038,0.00028,-0.0001,-0.0003
1788791881.403034,0.00058,0.00065,-0.22185,3e-05,-3e-05,-0.00035
1788791881.423350,-0.00279,0.00355,-0.23797,0.0001,-0.0,-0.00024
1788791881.443660,-0.00239,0.00375,-0.25918,0.00018,-4e-05,-0.0002
1788791881.463974,-0.00416,0.00291,-0.25846,-3e-05,-0.00015,-0.00025
1788791881.483295,-0.00506,0.00527,-0.27862,0.0003,8e-05,-0.00014
1788791881.503578,-0.00205,0.00187,-0.26949,8e-05,-0.00019,-0.00018
1788791881.523906,0.00271,0.00361,-0.28292,0.00018,-1e-05,-0.0
1788791881.543180,-0.00186,0.0,-0.27182,4e-05,-9e-05,-0.00033
1788791881.563483,0.00192,0.00086,-0.27931,-0.0001,-0.00017,-9e-05
1788791881.583777,0.00425,-0.00144,-0.27671,1e-05,-0.00039,-0.00024
1788791881.603052,-0.00238,0.00417,-0.27724,-3e-05,-0.0002,-0.00019
1788791881.623408,-9e-05,-0.00097,-0.27243,-8e-05,-0.00033,-0.00017
1788791881.643707,0.00099,0.00465,-0.28951,0.0002,-0.00021,-0.00028
1788791881.662985,0.00179,0.00561,-0.29555,0.00014,-3e-05,-0.00026
