approach,depth_mm,force_N,area_px,base_height_mm,step_mm,fine
2,0.20740452319713398,-0.048247466845162984,0,26.06307688608781,0.1,False
2,0.2594835933787891,-0.0009876497225064854,0,26.06307688608781,0.1,False
2,0.40179839719442256,0.19670879507166886,31454,26.06307688608781,0.1,False
2,0.4020716116186307,0.16805781023799113,37703,26.06307688608781,0.02,True
2,0.41476969910215544,0.2211134436592289,49082,26.06307688608781,0.02,True
2,0.4779924220924556,0.37842680530193606,64896,26.06307688608781,0.02,True
2,0.43418696833560944,0.24966771311546268,71023,26.06307688608781,0.02,True
2,0.45788763125918663,0.32135890501981806,86396,26.06307688608781,0.02,True
2,0.501060737842316,0.41973214971655753,105442,26.06307688608781,0.02,True
2,0.4881742945911576,0.40869188305250365,105659,26.06307688608781,0.02,True
2,0.508656316343167,0.4482900937409795,115091,26.06307688608781,0.02,True
2,0.5508571444582664,0.5406870637752377,124816,26.06307688608781,0.02,True
2,0.5371234359135606,0.4981990472856722,124527,26.06307688608781,0.02,True
2,0.5571009576697854,0.5281455218789063,128445,26.06307688608781,0.02,True
2,0.5993055940059193,0.6379047476871137,135584,26.06307688608781,0.02,True
2,0.5839026426829577,0.5568164532519972,134877,26.06307688608781,0.02,True
2,0.5941113166479575,0.6079692725729899,137417,26.06307688608781,0.02,True
2,0.6560105700015484,0.7340325129971319,141393,26.06307688608781,0.02,True
2,0.6205950941186629,0.6627113994649818,141888,26.06307688608781,0.02,True
2,0.6501834413736987,0.7274831847963811,145617,26.06307688608781,0.02,True
2,0.6850026571837873,0.7989596040512964,147298,26.06307688608781,0.02,True
2,0.6788780398575831,0.8141736649159839,148785,26.06307688608781,0.02,True
2,0.6940533290479038,0.8750543319658902,150354,26.06307688608781,0.02,True
2,0.7412680596188608,0.9625255779417785,152497,26.06307688608781,0.02,True
2,0.7206416106788254,0.876130531107026,152184,26.06307688608781,0.02,True
2,0.746056280751155,0.9465034489338507,154691,26.06307688608781,0.02,True
2,0.7839982224143363,1.0505222762570952,156618,26.06307688608781,0.02,True
2,0.7782102652737493,1.0092074988079929,156618,26.06307688608781,0.02,True
2,0.7942703132912854,1.0300829963819609,158412,26.06307688608781,0.02,True
2,0.8495700212477715,1.1686399373986005,158844,26.06307688608781,0.02,True
3,0.060970157348620546,0.007610923973658139,0,26.067848300611825,0.1,False
3,0.2070725245534497,-0.020885749304102325,0,26.067848300611825,0.1,False
3,0.26436637228086113,0.010833690249449995,0,26.067848300611825,0.1,False
3,0.40484307918196194,0.2063246583768887,31451,26.067848300611825,0.1,False
3,0.40636005156462573,0.2212418677980821,40139,26.067848300611825,0.02,True
3,0.42028620261299565,0.2539875598240485,53294,26.067848300611825,0.02,True
3,0.473873974386553,0.3835054342915015,77468,26.067848300611825,0.02,True
3,0.44723843592629464,0.30694349421633826,77774,26.067848300611825,0.02,True
3,0.4688862553936701,0.3421504589283444,91393,26.067848300611825,0.02,True
3,0.5062380346381623,0.449865883144156,107590,26.067848300611825,0.02,True
3,0.49881123638796865,0.39425345180924865,109337,26.067848300611825,0.02,True
3,0.5063781323272707,0.4122845129540451,113981,26.067848300611825,0.02,True
3,0.5661547133374754,0.5532858789172196,121484,26.067848300611825,0.02,True
3,0.5322998773756957,0.46128422422454496,121902,26.067848300611825,0.02,True
3,0.5542249952560283,0.5164778739091646,126873,26.067848300611825,0.02,True
3,0.6007283147624563,0.6402821978744413,132295,26.067848300611825,0.02,True
3,0.5803780499192541,0.543124350047313,131463,26.067848300611825,0.02,True
3,0.5975008055486022,0.632035093688421,134603,26.067848300611825,0.02,True
3,0.6343407509254,0.6998078131240221,141344,26.067848300611825,0.02,True
3,0.6239889560585361,0.6638543450614691,140111,26.067848300611825,0.02,True
3,0.6455222347757932,0.7336506783598964,143082,26.067848300611825,0.02,True
3,0.7029473008127702,0.8556831111684148,145838,26.067848300611825,0.02,True
3,0.6681006269476164,0.7552615694250931,146345,26.067848300611825,0.02,True
3,0.6920969545332163,0.8065345743444198,149260,26.067848300611825,0.02,True
3,0.7290472425418102,0.9110890303844229,151939,26.067848300611825,0.02,True
3,0.7177250249994209,0.889914278055366,151699,26.067848300611825,0.02,True
